profile,actor,DPS,increase,
azure-tyran,Mechagnome,87401,1.45%,
azure-tyran,Gnome,87001,0.99%,
azure-tyran,Human,86987,0.97%,
azure-tyran,Night_Elf_Haste,86977,0.96%,
azure-tyran,Goblin,86959,0.94%,
azure-tyran,Draenei,86901,0.87%,
azure-tyran,Kul_Tiran,86773,0.72%,
azure-tyran,Highmountain_Tauren,86757,0.70%,
azure-tyran,Nightborne,86753,0.70%,
azure-tyran,Orc,86704,0.64%,
azure-tyran,Night_Elf_Crit,86701,0.64%,
azure-tyran,Blood_Elf,86691,0.63%,
azure-tyran,Zandalari_Troll_Paku,86684,0.62%,
azure-tyran,Worgen,86662,0.59%,
azure-tyran,Panda_Fortune_Cookie,86644,0.57%,
azure-tyran,Void_Elf,86642,0.57%,
azure-tyran,Dwarf,86579,0.50%,
azure-tyran,Tauren,86557,0.47%,
azure-tyran,Dark_Iron_Dwarf,86541,0.45%,
azure-tyran,Troll,86540,0.45%,
azure-tyran,Maghar_Orc,86383,0.27%,
azure-tyran,Lightforged_Draenei,86361,0.24%,
azure-tyran,Zandalari_Troll_Bwonsamdi,86312,0.19%,
azure-tyran,Panda_Haste,86303,0.18%,
azure-tyran,Undead,86290,0.16%,
azure-tyran,Panda_Vers,86288,0.16%,
azure-tyran,Panda_Mastery,86270,0.14%,
azure-tyran,Zandalari_Troll_Kimbul,86270,0.14%,
azure-tyran,Panda_Crit,86259,0.13%,
azure-tyran,Vulpera,86171,0.02%,
azure-tyran,Base,86150,0.00%,
