profile,actor,DPS,increase,
bhh-tyran,Mechagnome,136028,1.29%,
bhh-tyran,Human,135761,1.09%,
bhh-tyran,Goblin,135609,0.98%,
bhh-tyran,Gnome,135552,0.94%,
bhh-tyran,Night_Elf_Haste,135537,0.93%,
bhh-tyran,Draenei,135414,0.83%,
bhh-tyran,Void_Elf,135413,0.83%,
bhh-tyran,Tauren,135392,0.82%,
bhh-tyran,Kul_Tiran,135385,0.81%,
bhh-tyran,Blood_Elf,135375,0.80%,
bhh-tyran,Dwarf,135372,0.80%,
bhh-tyran,Highmountain_Tauren,135345,0.78%,
bhh-tyran,Zandalari_Troll_Paku,135328,0.77%,
bhh-tyran,Troll,135265,0.72%,
bhh-tyran,Nightborne,135263,0.72%,
bhh-tyran,Orc,135218,0.69%,
bhh-tyran,Worgen,135175,0.66%,
bhh-tyran,Night_Elf_Crit,135129,0.62%,
bhh-tyran,Dark_Iron_Dwarf,135062,0.57%,
bhh-tyran,Panda_Fortune_Cookie,135006,0.53%,
bhh-tyran,Panda_Mastery,134801,0.38%,
bhh-tyran,Maghar_Orc,134759,0.35%,
bhh-tyran,Panda_Vers,134648,0.26%,
bhh-tyran,Panda_Crit,134619,0.24%,
bhh-tyran,Undead,134500,0.15%,
bhh-tyran,Zandalari_Troll_Bwonsamdi,134473,0.13%,
bhh-tyran,Zandalari_Troll_Kimbul,134381,0.06%,
bhh-tyran,Panda_Haste,134320,0.02%,
bhh-tyran,Base,134294,0.00%,
bhh-tyran,Vulpera,134280,-0.01%,
bhh-tyran,Lightforged_Draenei,134268,-0.02%,
