profile,actor,DPS,increase,
hov-fort,Mechagnome,93716,1.85%,
hov-fort,Night_Elf_Haste,93108,1.18%,
hov-fort,Goblin,93101,1.18%,
hov-fort,Gnome,93099,1.17%,
hov-fort,Draenei,93047,1.12%,
hov-fort,Human,93024,1.09%,
hov-fort,Orc,92897,0.96%,
hov-fort,Kul_Tiran,92870,0.93%,
hov-fort,Nightborne,92842,0.90%,
hov-fort,Highmountain_Tauren,92830,0.88%,
hov-fort,Zandalari_Troll_Paku,92801,0.85%,
hov-fort,Blood_Elf,92790,0.84%,
hov-fort,Night_Elf_Crit,92770,0.82%,
hov-fort,Panda_Fortune_Cookie,92750,0.80%,
hov-fort,Void_Elf,92714,0.76%,
hov-fort,Dark_Iron_Dwarf,92713,0.76%,
hov-fort,Worgen,92710,0.75%,
hov-fort,Troll,92704,0.75%,
hov-fort,Tauren,92597,0.63%,
hov-fort,Dwarf,92582,0.61%,
hov-fort,Maghar_Orc,92385,0.40%,
hov-fort,Lightforged_Draenei,92299,0.31%,
hov-fort,Zandalari_Troll_Bwonsamdi,92298,0.30%,
hov-fort,Undead,92225,0.22%,
hov-fort,Panda_Haste,92207,0.21%,
hov-fort,Panda_Crit,92206,0.20%,
hov-fort,Panda_Vers,92200,0.20%,
hov-fort,Panda_Mastery,92199,0.20%,
hov-fort,Zandalari_Troll_Kimbul,92176,0.17%,
hov-fort,Vulpera,92096,0.08%,
hov-fort,Base,92018,0.00%,
