profile,actor,DPS,increase,
hov-fort,Goblin,70432,0.20%,
hov-fort,Human,70426,0.19%,
hov-fort,Kul_Tiran,70416,0.18%,
hov-fort,Orc,70412,0.17%,
hov-fort,Draenei,70410,0.17%,
hov-fort,Void_Elf,70403,0.16%,
hov-fort,Night_Elf_Haste,70400,0.16%,
hov-fort,Blood_Elf,70397,0.15%,
hov-fort,Gnome,70396,0.15%,
hov-fort,Highmountain_Tauren,70390,0.14%,
hov-fort,Zandalari_Troll_Paku,70385,0.14%,
hov-fort,Night_Elf_Crit,70377,0.12%,
hov-fort,Dark_Iron_Dwarf,70376,0.12%,
hov-fort,Worgen,70368,0.11%,
hov-fort,Troll,70367,0.11%,
hov-fort,Nightborne,70357,0.10%,
hov-fort,Panda_Fortune_Cookie,70357,0.10%,
hov-fort,Maghar_Orc,70356,0.09%,
hov-fort,Undead,70352,0.09%,
hov-fort,Panda_Mastery,70346,0.08%,
hov-fort,Tauren,70346,0.08%,
hov-fort,Panda_Haste,70338,0.07%,
hov-fort,Lightforged_Draenei,70331,0.06%,
hov-fort,Panda_Vers,70329,0.06%,
hov-fort,Vulpera,70317,0.04%,
hov-fort,Dwarf,70315,0.04%,
hov-fort,Panda_Crit,70314,0.03%,
hov-fort,Mechagnome,70311,0.03%,
hov-fort,Zandalari_Troll_Kimbul,70307,0.02%,
hov-fort,Zandalari_Troll_Bwonsamdi,70297,0.01%,
hov-fort,Base,70290,0.00%,
