profile,actor,DPS,increase,
nokhud-fort,Goblin,92169,0.91%,
nokhud-fort,Night_Elf_Haste,92160,0.90%,
nokhud-fort,Draenei,92150,0.89%,
nokhud-fort,Human,92139,0.88%,
nokhud-fort,Gnome,92137,0.88%,
nokhud-fort,Highmountain_Tauren,92007,0.73%,
nokhud-fort,Kul_Tiran,91990,0.72%,
nokhud-fort,Nightborne,91961,0.68%,
nokhud-fort,Night_Elf_Crit,91928,0.65%,
nokhud-fort,Blood_Elf,91922,0.64%,
nokhud-fort,Worgen,91901,0.62%,
nokhud-fort,Zandalari_Troll_Paku,91897,0.61%,
nokhud-fort,Void_Elf,91874,0.59%,
nokhud-fort,Panda_Fortune_Cookie,91844,0.56%,
nokhud-fort,Tauren,91657,0.35%,
nokhud-fort,Dwarf,91649,0.34%,
nokhud-fort,Mechagnome,91600,0.29%,
nokhud-fort,Lightforged_Draenei,91583,0.27%,
nokhud-fort,Panda_Haste,91539,0.22%,
nokhud-fort,Zandalari_Troll_Bwonsamdi,91499,0.18%,
nokhud-fort,Undead,91495,0.17%,
nokhud-fort,Panda_Vers,91452,0.13%,
nokhud-fort,Panda_Crit,91445,0.12%,
nokhud-fort,Zandalari_Troll_Kimbul,91436,0.11%,
nokhud-fort,Panda_Mastery,91435,0.11%,
nokhud-fort,Orc,91368,0.04%,
nokhud-fort,Maghar_Orc,91343,0.01%,
nokhud-fort,Base,91336,0.00%,
nokhud-fort,Dark_Iron_Dwarf,91326,-0.01%,
nokhud-fort,Vulpera,91323,-0.01%,
nokhud-fort,Troll,91280,-0.06%,
