profile,actor,DPS,increase,
rlp-fort,Troll,82594,0.56%,
rlp-fort,Goblin,82592,0.55%,
rlp-fort,Night_Elf_Haste,82580,0.54%,
rlp-fort,Gnome,82577,0.53%,
rlp-fort,Orc,82510,0.45%,
rlp-fort,Human,82499,0.44%,
rlp-fort,Draenei,82488,0.43%,
rlp-fort,Kul_Tiran,82447,0.38%,
rlp-fort,Zandalari_Troll_Paku,82443,0.37%,
rlp-fort,Dark_Iron_Dwarf,82419,0.34%,
rlp-fort,Worgen,82417,0.34%,
rlp-fort,Highmountain_Tauren,82413,0.33%,
rlp-fort,Nightborne,82403,0.32%,
rlp-fort,Panda_Fortune_Cookie,82398,0.32%,
rlp-fort,Night_Elf_Crit,82373,0.29%,
rlp-fort,Void_Elf,82372,0.28%,
rlp-fort,Maghar_Orc,82353,0.26%,
rlp-fort,Panda_Haste,82329,0.23%,
rlp-fort,Tauren,82309,0.21%,
rlp-fort,Blood_Elf,82285,0.18%,
rlp-fort,Dwarf,82284,0.18%,
rlp-fort,Mechagnome,82277,0.17%,
rlp-fort,Panda_Mastery,82266,0.16%,
rlp-fort,Lightforged_Draenei,82256,0.14%,
rlp-fort,Panda_Crit,82236,0.12%,
rlp-fort,Zandalari_Troll_Bwonsamdi,82228,0.11%,
rlp-fort,Undead,82216,0.09%,
rlp-fort,Zandalari_Troll_Kimbul,82216,0.09%,
rlp-fort,Panda_Vers,82207,0.08%,
rlp-fort,Base,82138,0.00%,
rlp-fort,Vulpera,82130,-0.01%,
