profile,actor,DPS,increase,
temple-fort,Mechagnome,83643,1.33%,
temple-fort,Gnome,83348,0.97%,
temple-fort,Goblin,83305,0.92%,
temple-fort,Night_Elf_Haste,83280,0.89%,
temple-fort,Human,83265,0.87%,
temple-fort,Draenei,83214,0.81%,
temple-fort,Troll,83144,0.72%,
temple-fort,Orc,83118,0.69%,
temple-fort,Highmountain_Tauren,83112,0.68%,
temple-fort,Kul_Tiran,83070,0.63%,
temple-fort,Zandalari_Troll_Paku,83058,0.62%,
temple-fort,Blood_Elf,83032,0.59%,
temple-fort,Nightborne,83028,0.58%,
temple-fort,Night_Elf_Crit,83026,0.58%,
temple-fort,Panda_Fortune_Cookie,82975,0.52%,
temple-fort,Dark_Iron_Dwarf,82968,0.51%,
temple-fort,Worgen,82962,0.50%,
temple-fort,Void_Elf,82956,0.49%,
temple-fort,Tauren,82888,0.41%,
temple-fort,Dwarf,82860,0.38%,
temple-fort,Maghar_Orc,82800,0.30%,
temple-fort,Lightforged_Draenei,82678,0.16%,
temple-fort,Panda_Haste,82678,0.16%,
temple-fort,Zandalari_Troll_Bwonsamdi,82674,0.15%,
temple-fort,Panda_Mastery,82666,0.14%,
temple-fort,Zandalari_Troll_Kimbul,82649,0.12%,
temple-fort,Panda_Crit,82646,0.12%,
temple-fort,Panda_Vers,82637,0.11%,
temple-fort,Undead,82636,0.11%,
temple-fort,Base,82549,0.00%,
temple-fort,Vulpera,82469,-0.10%,
