profile,actor,DPS,increase,
ulda-tyran,Mechagnome,128910,0.97%,
ulda-tyran,Human,128772,0.87%,
ulda-tyran,Gnome,128740,0.84%,
ulda-tyran,Goblin,128727,0.83%,
ulda-tyran,Night_Elf_Haste,128704,0.81%,
ulda-tyran,Void_Elf,128525,0.67%,
ulda-tyran,Night_Elf_Crit,128456,0.62%,
ulda-tyran,Nightborne,128453,0.62%,
ulda-tyran,Draenei,128451,0.61%,
ulda-tyran,Highmountain_Tauren,128448,0.61%,
ulda-tyran,Blood_Elf,128439,0.60%,
ulda-tyran,Zandalari_Troll_Paku,128408,0.58%,
ulda-tyran,Worgen,128405,0.58%,
ulda-tyran,Kul_Tiran,128393,0.57%,
ulda-tyran,Tauren,128356,0.54%,
ulda-tyran,Dwarf,128319,0.51%,
ulda-tyran,Orc,128318,0.51%,
ulda-tyran,Dark_Iron_Dwarf,128256,0.46%,
ulda-tyran,Panda_Fortune_Cookie,128229,0.44%,
ulda-tyran,Troll,128151,0.38%,
ulda-tyran,Maghar_Orc,128018,0.27%,
ulda-tyran,Panda_Vers,127971,0.24%,
ulda-tyran,Panda_Mastery,127964,0.23%,
ulda-tyran,Panda_Crit,127952,0.22%,
ulda-tyran,Panda_Haste,127895,0.18%,
ulda-tyran,Zandalari_Troll_Bwonsamdi,127887,0.17%,
ulda-tyran,Undead,127848,0.14%,
ulda-tyran,Zandalari_Troll_Kimbul,127840,0.14%,
ulda-tyran,Lightforged_Draenei,127753,0.07%,
ulda-tyran,Vulpera,127753,0.07%,
ulda-tyran,Base,127667,0.00%,
