profile,actor,DPS,increase,
vtp-tyran,Mechagnome,125982,1.34%,
vtp-tyran,Human,125790,1.19%,
vtp-tyran,Gnome,125659,1.08%,
vtp-tyran,Goblin,125626,1.06%,
vtp-tyran,Night_Elf_Haste,125584,1.02%,
vtp-tyran,Void_Elf,125462,0.93%,
vtp-tyran,Orc,125451,0.92%,
vtp-tyran,Troll,125415,0.89%,
vtp-tyran,Nightborne,125404,0.88%,
vtp-tyran,Dwarf,125402,0.88%,
vtp-tyran,Kul_Tiran,125398,0.87%,
vtp-tyran,Zandalari_Troll_Paku,125378,0.86%,
vtp-tyran,Tauren,125361,0.84%,
vtp-tyran,Draenei,125342,0.83%,
vtp-tyran,Highmountain_Tauren,125319,0.81%,
vtp-tyran,Night_Elf_Crit,125268,0.77%,
vtp-tyran,Worgen,125240,0.75%,
vtp-tyran,Blood_Elf,125213,0.72%,
vtp-tyran,Dark_Iron_Dwarf,125200,0.71%,
vtp-tyran,Panda_Fortune_Cookie,125047,0.59%,
vtp-tyran,Maghar_Orc,124908,0.48%,
vtp-tyran,Panda_Mastery,124804,0.40%,
vtp-tyran,Panda_Vers,124763,0.36%,
vtp-tyran,Panda_Crit,124742,0.35%,
vtp-tyran,Zandalari_Troll_Bwonsamdi,124605,0.24%,
vtp-tyran,Undead,124592,0.23%,
vtp-tyran,Panda_Haste,124547,0.19%,
vtp-tyran,Zandalari_Troll_Kimbul,124545,0.19%,
vtp-tyran,Vulpera,124392,0.06%,
vtp-tyran,Lightforged_Draenei,124326,0.01%,
vtp-tyran,Base,124312,0.00%,
