profile,actor,DPS,increase,
2T,Embellishment_Blue_Silken_Lining,101375,1.13%,
2T,Azureweave_Mantle_Slippers_418,101169,0.92%,
2T,Neck_Elemental_Lariat_3Earth_418,100945,0.70%,
2T,Chronocloth_Sash_Leggings_418,100899,0.66%,
2T,Neck_Elemental_Lariat_1Earth-1Air-1Frost_418,100848,0.61%,
2T,Neck_Elemental_Lariat_1Earth-1Air-1Fire_418,100830,0.59%,
2T,Neck_Elemental_Lariat_2Earth-1Air_418,100813,0.57%,
2T,MH_Stormlashs_Last_Resort_424-OH_Witherrot_Tome_418,100746,0.50%,
2T,Embellishment_Potion_Absorption_Inhibitor,100735,0.49%,
2T,Shoulders_Amice_of_the_Blue_418,100588,0.35%,
2T,Finger2_Ring_Bound_Hourglass_418,100486,0.24%,
2T,Chronocloth_Gloves_Sash_418,100379,0.14%,
2T,MH_Stormlashs_Last_Resort_424-OH_Crackling_Codex_of_the_Isles_418,100373,0.13%,
2T,Azureweave_Robe_Slippers_418,100344,0.10%,
2T,Wrists_Allied_Wristguards_of_Time_Dilation_418,100326,0.08%,
2T,Base,100242,0.00%,
2T,Embellishment_Bronzed_Grip_Wrappings,100239,0.00%,
2T,Back_Vibrant_Wildercloth_Shawl_418,100188,-0.05%,
2T,Wrists_Vibrant_Wildercloth_Wristwraps_418,100115,-0.13%,
2T,Waist_Vibrant_Wildercloth_Girdle_418,100105,-0.14%,
2T,Legs_Vibrant_Wildercloth_Slacks_418,100047,-0.19%,
2T,Finger1_Ring_Bound_Hourglass_418,99992,-0.25%,
2T,Feet_Vibrant_Wildercloth_Slippers_418,99929,-0.31%,
2T,Feet_Blue_Dragon_Soles_418,99851,-0.39%,
2T,2h_Illuminating_Pillar_of_the_Isles_418,99642,-0.60%,
2T,Chest_Vibrant_Wildercloth_Vestments_418,99596,-0.64%,
2T,Shoulders_Vibrant_Wildercloth_Shoulderspikes_418,99558,-0.68%,
2T,Hands_Vibrant_Wildercloth_Handwraps_418,99553,-0.69%,
2T,Head_Vibrant_Wildercloth_Headcover_418,98824,-1.41%,
2T,Head_Hood_of_Surging_Time_418,98646,-1.59%,
2T,2h_Weathered_Explorers_Stave_418,97573,-2.66%,
