profile,actor,DPS,increase,
Dungeons-Push,Wrists_Allied_Wristguards_of_Time_Dilation_Allies_4_486,167582,1.51%,
Dungeons-Push,Embellishment_Blue_Silken_Lining_90%_1,167561,1.50%,
Dungeons-Push,Head_Hood_of_Surging_Time_486,167477,1.45%,
Dungeons-Push,2h_Iridal_the_Earths_Master_489,167302,1.34%,
Dungeons-Push,Chronocloth_Sash_Leggings_486,167171,1.26%,
Dungeons-Push,Wrists_Allied_Wristguards_of_Time_Dilation_Allies_AVG_486,167117,1.23%,
Dungeons-Push,Embellishment_Blue_Silken_Lining_70%_1,166975,1.14%,
Dungeons-Push,Chronocloth_Gloves_Sash_486,166918,1.11%,
Dungeons-Push,Vakash_the_Shadowed_Inferno_489-OH_Tricksters_Captivating_Chime_489,166833,1.06%,
Dungeons-Push,Embellishment_Dreamtenders_Charm_Ysemeralds_0_FULL_1,166639,0.94%,
Dungeons-Push,Azureweave_Robe_Slippers_486,166441,0.82%,
Dungeons-Push,Embellishment_Blue_Silken_Lining_50%_1,166436,0.82%,
Dungeons-Push,Embellishment_Shadowflame_Tempered_Armor_Patch_1,166377,0.78%,
Dungeons-Push,Neck_Elemental_Lariat_7Fire_486,166336,0.76%,
Dungeons-Push,Neck_Elemental_Lariat_7Frost_486,166335,0.76%,
Dungeons-Push,2h_Dreambinder_Loom_of_the_Great_Cycle_489,166269,0.72%,
Dungeons-Push,MH_Wand_of_Zealous_Purification_489-OH_Witherrot_Tome_486,166183,0.66%,
Dungeons-Push,Embellishment_Blue_Silken_Lining_40%_1,166171,0.66%,
Dungeons-Push,Azureweave_Mantle_Slippers_486,166166,0.65%,
Dungeons-Push,MH_Morchies_Distorted_Spellblade_489-OH_Witherrot_Tome_486,165975,0.54%,
Dungeons-Push,Embellishment_Dreamtenders_Charm_Ysemeralds_7_FULL_1,165946,0.52%,
Dungeons-Push,Neck_Elemental_Lariat_7Earth_486,165933,0.51%,
Dungeons-Push,Embellishment_Blue_Silken_Lining_30%_1,165886,0.48%,
Dungeons-Push,Embellishment_Dreamtenders_Charm_Ysemeralds_0_1,165868,0.47%,
Dungeons-Push,Embellishment_Verdant_Conduit_1_Allies_1,165829,0.45%,
Dungeons-Push,Embellishment_Verdant_Conduit_1_Allies_2,165820,0.44%,
Dungeons-Push,Embellishment_Verdant_Conduit_1_Allies_0,165793,0.43%,
Dungeons-Push,Wrists_Allied_Wristguards_of_Time_Dilation_486,165710,0.38%,
Dungeons-Push,Neck_Elemental_Lariat_7Air_486,165704,0.37%,
Dungeons-Push,Back_Undulating_Sporecloak_100%_486,165574,0.29%,
Dungeons-Push,Back_Undulating_Sporecloak_90%_486,165529,0.27%,
Dungeons-Push,Back_Undulating_Sporecloak_80%_486,165496,0.25%,
Dungeons-Push,Back_Undulating_Sporecloak_75%_486,165463,0.23%,
Dungeons-Push,2h_Iridal_the_Earths_Master_483,165415,0.20%,
Dungeons-Push,Embellishment_Potion_Absorption_Inhibitor_1,165392,0.18%,
Dungeons-Push,MH_Spore_Keepers_Baton_486-OH_Tricksters_Captivating_Chime_489,165364,0.17%,
Dungeons-Push,Embellishment_Dreamtenders_Charm_Ysemeralds_7_1,165281,0.12%,
Dungeons-Push,Base_Feet,165258,0.10%,
Dungeons-Push,Shoulders_Amice_of_the_Blue_486,165241,0.09%,
Dungeons-Push,Embellishment_Bronzed_Grip_Wrappings_1,165125,0.02%,
Dungeons-Push,Base,165088,0.00%,
Dungeons-Push,MH_Wand_of_Zealous_Purification_489-OH_Crackling_Codex_of_the_Isles_486,164935,-0.09%,
Dungeons-Push,Feet_Blue_Dragon_Soles_486,164933,-0.09%,
Dungeons-Push,Finger2_Ring_Bound_Hourglass_486,164891,-0.12%,
Dungeons-Push,Wrists_Vibrant_Wildercloth_Wristwraps_486,164875,-0.13%,
Dungeons-Push,Waist_Vibrant_Wildercloth_Girdle_486,164843,-0.15%,
Dungeons-Push,2h_Weathered_Explorers_Stave_486,164815,-0.17%,
Dungeons-Push,Back_Vibrant_Wildercloth_Shawl_486,164771,-0.19%,
Dungeons-Push,MH_Morchies_Distorted_Spellblade_489-OH_Crackling_Codex_of_the_Isles_486,164735,-0.21%,
Dungeons-Push,Feet_Vibrant_Wildercloth_Slippers_486,164649,-0.27%,
Dungeons-Push,Neck_Torc_of_Passed_Time_486,164601,-0.29%,
Dungeons-Push,Back_Voice_of_the_Silent_Star_457,164552,-0.32%,
Dungeons-Push,Chest_Vibrant_Wildercloth_Vestments_486,164548,-0.33%,
Dungeons-Push,2h_Dreambinder_Loom_of_the_Great_Cycle_483,164500,-0.36%,
Dungeons-Push,Head_Vibrant_Wildercloth_Headcover_486,164495,-0.36%,
Dungeons-Push,Finger1_Ring_Bound_Hourglass_486,164462,-0.38%,
Dungeons-Push,Shoulders_Vibrant_Wildercloth_Shoulderspikes_486,164292,-0.48%,
Dungeons-Push,Legs_Vibrant_Wildercloth_Slacks_486,164253,-0.51%,
Dungeons-Push,2h_Illuminating_Pillar_of_the_Isles_486,164206,-0.53%,
Dungeons-Push,Hands_Vibrant_Wildercloth_Handwraps_486,164055,-0.63%,
