profile,actor,DPS,increase,
Dungeons-Standard,2h_Iridal_the_Earths_Master_500,59662,6.29%,
Dungeons-Standard,Chronocloth_Sash_Leggings_497,59119,5.32%,
Dungeons-Standard,MH_Wand_of_Zealous_Purification_500-OH_Witherrot_Tome_497,58977,5.07%,
Dungeons-Standard,MH_Morchies_Distorted_Spellblade_500-OH_Witherrot_Tome_497,58711,4.60%,
Dungeons-Standard,Vakash_the_Shadowed_Inferno_500-OH_Tricksters_Captivating_Chime_500,58688,4.56%,
Dungeons-Standard,Shoulders_Amice_of_the_Blue_497,58568,4.34%,
Dungeons-Standard,Chronocloth_Gloves_Sash_497,58488,4.20%,
Dungeons-Standard,Embellishment_Shadowflame_Tempered_Armor_Patch_1,58421,4.08%,
Dungeons-Standard,2h_Dreambinder_Loom_of_the_Great_Cycle_500,58265,3.80%,
Dungeons-Standard,Wrists_Allied_Wristguards_of_Time_Dilation_Allies_4_497,57986,3.30%,
Dungeons-Standard,Neck_Elemental_Lariat_7Fire_497,57983,3.30%,
Dungeons-Standard,Neck_Elemental_Lariat_7Frost_497,57983,3.30%,
Dungeons-Standard,Azureweave_Mantle_Slippers_497,57834,3.03%,
Dungeons-Standard,Neck_Elemental_Lariat_7Air_497,57794,2.96%,
Dungeons-Standard,Wrists_Allied_Wristguards_of_Time_Dilation_Allies_AVG_497,57767,2.91%,
Dungeons-Standard,MH_Spore_Keepers_Baton_497-OH_Tricksters_Captivating_Chime_500,57764,2.91%,
Dungeons-Standard,Head_Hood_of_Surging_Time_497,57715,2.82%,
Dungeons-Standard,Azureweave_Robe_Slippers_497,57696,2.79%,
Dungeons-Standard,2h_Iridal_the_Earths_Master_483,57495,2.43%,
Dungeons-Standard,Neck_Elemental_Lariat_7Earth_497,57406,2.27%,
Dungeons-Standard,Legs_Vibrant_Wildercloth_Slacks_497,57363,2.20%,
Dungeons-Standard,Neck_Torc_of_Passed_Time_497,57232,1.96%,
Dungeons-Standard,Embellishment_Dreamtenders_Charm_Ysemeralds_7_FULL_1,57166,1.84%,
Dungeons-Standard,Shoulders_Vibrant_Wildercloth_Shoulderspikes_497,57091,1.71%,
Dungeons-Standard,Finger2_Ring_Bound_Hourglass_497,57060,1.65%,
Dungeons-Standard,Wrists_Allied_Wristguards_of_Time_Dilation_497,57050,1.64%,
Dungeons-Standard,Embellishment_Dreamtenders_Charm_Ysemeralds_7_1,56979,1.51%,
Dungeons-Standard,Feet_Vibrant_Wildercloth_Slippers_497,56885,1.34%,
Dungeons-Standard,Embellishment_Blue_Silken_Lining_90%_1,56875,1.33%,
Dungeons-Standard,Feet_Blue_Dragon_Soles_497,56867,1.31%,
Dungeons-Standard,Embellishment_Dreamtenders_Charm_Ysemeralds_0_FULL_1,56845,1.27%,
Dungeons-Standard,Hands_Vibrant_Wildercloth_Handwraps_497,56772,1.14%,
Dungeons-Standard,Wrists_Vibrant_Wildercloth_Wristwraps_497,56760,1.12%,
Dungeons-Standard,2h_Weathered_Explorers_Stave_497,56759,1.12%,
Dungeons-Standard,Embellishment_Blue_Silken_Lining_70%_1,56707,1.03%,
Dungeons-Standard,MH_Wand_of_Zealous_Purification_500-OH_Crackling_Codex_of_the_Isles_497,56645,0.92%,
Dungeons-Standard,Embellishment_Dreamtenders_Charm_Ysemeralds_0_1,56629,0.89%,
Dungeons-Standard,Chest_Vibrant_Wildercloth_Vestments_497,56601,0.84%,
Dungeons-Standard,Back_Vibrant_Wildercloth_Shawl_497,56575,0.79%,
Dungeons-Standard,Embellishment_Verdant_Conduit_1_Allies_1,56569,0.78%,
Dungeons-Standard,Embellishment_Verdant_Conduit_1_Allies_2,56564,0.77%,
Dungeons-Standard,Embellishment_Verdant_Conduit_1_Allies_0,56558,0.76%,
Dungeons-Standard,Embellishment_Blue_Silken_Lining_50%_1,56539,0.73%,
Dungeons-Standard,Head_Vibrant_Wildercloth_Headcover_497,56505,0.67%,
Dungeons-Standard,Embellishment_Blue_Silken_Lining_40%_1,56458,0.58%,
Dungeons-Standard,Waist_Vibrant_Wildercloth_Girdle_497,56442,0.55%,
Dungeons-Standard,Back_Undulating_Sporecloak_100%_497,56434,0.54%,
Dungeons-Standard,Back_Undulating_Sporecloak_90%_497,56414,0.50%,
Dungeons-Standard,Back_Undulating_Sporecloak_80%_497,56404,0.49%,
Dungeons-Standard,Back_Undulating_Sporecloak_75%_497,56391,0.46%,
Dungeons-Standard,2h_Dreambinder_Loom_of_the_Great_Cycle_483,56387,0.46%,
Dungeons-Standard,Embellishment_Blue_Silken_Lining_30%_1,56381,0.45%,
Dungeons-Standard,MH_Morchies_Distorted_Spellblade_500-OH_Crackling_Codex_of_the_Isles_497,56377,0.44%,
Dungeons-Standard,Back_Voice_of_the_Silent_Star_457,56283,0.27%,
Dungeons-Standard,Base_Feet,56200,0.12%,
Dungeons-Standard,Embellishment_Potion_Absorption_Inhibitor_1,56173,0.08%,
Dungeons-Standard,Embellishment_Bronzed_Grip_Wrappings_1,56135,0.01%,
Dungeons-Standard,2h_Illuminating_Pillar_of_the_Isles_497,56133,0.00%,
Dungeons-Standard,Base,56131,0.00%,
Dungeons-Standard,Finger1_Ring_Bound_Hourglass_497,55820,-0.55%,
