profile,actor,DPS,increase,
Single,Chronocloth_Sash_Leggings_418,85401,1.49%,
Single,Azureweave_Mantle_Slippers_418,85014,1.03%,
Single,Neck_Elemental_Lariat_3Earth_418,84915,0.92%,
Single,Chronocloth_Gloves_Sash_418,84884,0.88%,
Single,Embellishment_Blue_Silken_Lining,84823,0.81%,
Single,Neck_Elemental_Lariat_2Earth-1Air_418,84756,0.73%,
Single,Neck_Elemental_Lariat_1Earth-1Air-1Fire_418,84720,0.69%,
Single,Neck_Elemental_Lariat_1Earth-1Air-1Frost_418,84708,0.67%,
Single,Shoulders_Amice_of_the_Blue_418,84703,0.66%,
Single,MH_Stormlashs_Last_Resort_424-OH_Witherrot_Tome_418,84640,0.59%,
Single,Embellishment_Potion_Absorption_Inhibitor,84556,0.49%,
Single,MH_Stormlashs_Last_Resort_424-OH_Crackling_Codex_of_the_Isles_418,84254,0.13%,
Single,Azureweave_Robe_Slippers_418,84235,0.11%,
Single,Finger2_Ring_Bound_Hourglass_418,84203,0.07%,
Single,Wrists_Allied_Wristguards_of_Time_Dilation_418,84183,0.05%,
Single,Embellishment_Bronzed_Grip_Wrappings,84161,0.02%,
Single,Base,84144,0.00%,
Single,Back_Vibrant_Wildercloth_Shawl_418,84067,-0.09%,
Single,Waist_Vibrant_Wildercloth_Girdle_418,84021,-0.15%,
Single,Wrists_Vibrant_Wildercloth_Wristwraps_418,83983,-0.19%,
Single,Legs_Vibrant_Wildercloth_Slacks_418,83983,-0.19%,
Single,Feet_Vibrant_Wildercloth_Slippers_418,83882,-0.31%,
Single,Finger1_Ring_Bound_Hourglass_418,83770,-0.44%,
Single,Feet_Blue_Dragon_Soles_418,83735,-0.49%,
Single,Shoulders_Vibrant_Wildercloth_Shoulderspikes_418,83589,-0.66%,
Single,2h_Illuminating_Pillar_of_the_Isles_418,83572,-0.68%,
Single,Hands_Vibrant_Wildercloth_Handwraps_418,83537,-0.72%,
Single,Chest_Vibrant_Wildercloth_Vestments_418,83510,-0.75%,
Single,Head_Vibrant_Wildercloth_Headcover_418,82837,-1.55%,
Single,Head_Hood_of_Surging_Time_418,82574,-1.87%,
Single,2h_Weathered_Explorers_Stave_418,81823,-2.76%,
