profile,actor,DPS,increase,
Single,Embellishment_Blue_Silken_Lining_90%_1,206177,2.28%,
Single,Wrists_Allied_Wristguards_of_Time_Dilation_Allies_4_486,206048,2.22%,
Single,Back_Undulating_Sporecloak_100%_486,205993,2.19%,
Single,Back_Undulating_Sporecloak_90%_486,205523,1.96%,
Single,Wrists_Allied_Wristguards_of_Time_Dilation_Allies_AVG_486,205336,1.86%,
Single,2h_Iridal_the_Earths_Master_489,205317,1.85%,
Single,Chronocloth_Sash_Leggings_486,205271,1.83%,
Single,Vakash_the_Shadowed_Inferno_489-OH_Tricksters_Captivating_Chime_489,205173,1.78%,
Single,Embellishment_Blue_Silken_Lining_70%_1,205126,1.76%,
Single,Back_Undulating_Sporecloak_80%_486,205106,1.75%,
Single,Chronocloth_Gloves_Sash_486,205037,1.71%,
Single,Back_Undulating_Sporecloak_75%_486,204842,1.62%,
Single,Azureweave_Robe_Slippers_486,204730,1.56%,
Single,Embellishment_Dreamtenders_Charm_Ysemeralds_0_FULL_1,204356,1.38%,
Single,Embellishment_Blue_Silken_Lining_50%_1,204099,1.25%,
Single,MH_Jagged_Iris_Sica_489-OH_Witherrot_Tome_486,204012,1.21%,
Single,Embellishment_Shadowflame_Tempered_Armor_Patch_1,203978,1.19%,
Single,Neck_Elemental_Lariat_7Fire_486,203804,1.10%,
Single,Neck_Elemental_Lariat_7Frost_486,203722,1.06%,
Single,Embellishment_Blue_Silken_Lining_40%_1,203684,1.04%,
Single,Azureweave_Mantle_Slippers_486,203572,0.99%,
Single,2h_Dreambinder_Loom_of_the_Great_Cycle_489,203546,0.97%,
Single,Embellishment_Dreamtenders_Charm_Ysemeralds_7_FULL_1,203512,0.96%,
Single,Neck_Elemental_Lariat_7Earth_486,203366,0.89%,
Single,Embellishment_Dreamtenders_Charm_Ysemeralds_0_1,203077,0.74%,
Single,Embellishment_Blue_Silken_Lining_30%_1,203057,0.73%,
Single,Embellishment_Verdant_Conduit_1_Allies_0,203021,0.71%,
Single,Embellishment_Verdant_Conduit_1_Allies_2,202984,0.70%,
Single,Embellishment_Verdant_Conduit_1_Allies_1,202938,0.67%,
Single,Wrists_Allied_Wristguards_of_Time_Dilation_486,202774,0.59%,
Single,Neck_Elemental_Lariat_7Air_486,202586,0.50%,
Single,MH_Spore_Keepers_Baton_486-OH_Tricksters_Captivating_Chime_489,202578,0.49%,
Single,Embellishment_Dreamtenders_Charm_Ysemeralds_7_1,202332,0.37%,
Single,Shoulders_Amice_of_the_Blue_486,202130,0.27%,
Single,Embellishment_Potion_Absorption_Inhibitor_1,201999,0.21%,
Single,Base_Feet,201927,0.17%,
Single,2h_Iridal_the_Earths_Master_483,201910,0.16%,
Single,Embellishment_Bronzed_Grip_Wrappings_1,201660,0.04%,
Single,Feet_Blue_Dragon_Soles_486,201658,0.04%,
Single,Base,201581,0.00%,
Single,Wrists_Vibrant_Wildercloth_Wristwraps_486,201577,0.00%,
Single,2h_Weathered_Explorers_Stave_486,201571,0.00%,
Single,Waist_Vibrant_Wildercloth_Girdle_486,201464,-0.06%,
Single,MH_Jagged_Iris_Sica_489-OH_Crackling_Codex_of_the_Isles_486,201454,-0.06%,
Single,Head_Hood_of_Surging_Time_486,201420,-0.08%,
Single,Finger2_Ring_Bound_Hourglass_486,201374,-0.10%,
Single,Finger1_Ring_Bound_Hourglass_486,201268,-0.16%,
Single,Feet_Vibrant_Wildercloth_Slippers_486,201136,-0.22%,
Single,Back_Vibrant_Wildercloth_Shawl_486,201100,-0.24%,
Single,Chest_Vibrant_Wildercloth_Vestments_486,200911,-0.33%,
Single,Neck_Torc_of_Passed_Time_486,200908,-0.33%,
Single,2h_Dreambinder_Loom_of_the_Great_Cycle_483,200753,-0.41%,
Single,Head_Vibrant_Wildercloth_Headcover_486,200668,-0.45%,
Single,Legs_Vibrant_Wildercloth_Slacks_486,200666,-0.45%,
Single,Back_Voice_of_the_Silent_Star_457,200496,-0.54%,
Single,Shoulders_Vibrant_Wildercloth_Shoulderspikes_486,200460,-0.56%,
Single,2h_Illuminating_Pillar_of_the_Isles_486,200445,-0.56%,
Single,Hands_Vibrant_Wildercloth_Handwraps_486,200276,-0.65%,
