profile,actor,DPS,increase,
Single,Chronocloth_Sash_Leggings_447,129409,1.89%,
Single,Chronocloth_Gloves_Sash_447,129210,1.73%,
Single,Azureweave_Mantle_Slippers_447,129148,1.69%,
Single,Embellishment_Shadowflame_Tempered_Armor_Patch,128933,1.52%,
Single,Azureweave_Robe_Slippers_447,128900,1.49%,
Single,Embellishment_Blue_Silken_Lining,128648,1.29%,
Single,MH_Spore_Keepers_Baton_447-OH_Echos_Maddening_Volume_450,128502,1.18%,
Single,MH_Lavaflow_Control_Rod_447-OH_Witherrot_Tome_447,128277,1.00%,
Single,Neck_Elemental_Lariat_7Air_447,128224,0.96%,
Single,Neck_Elemental_Lariat_7Earth_447,128205,0.94%,
Single,Back_Voice_of_the_Silent_Star_457,127901,0.70%,
Single,Embellishment_Potion_Absorption_Inhibitor,127631,0.49%,
Single,Back_Vibrant_Wildercloth_Shawl_447,127274,0.21%,
Single,Wrists_Vibrant_Wildercloth_Wristwraps_447,127211,0.16%,
Single,Back_Voice_of_the_Silent_Star_444,127211,0.16%,
Single,Shoulders_Amice_of_the_Blue_447,127135,0.10%,
Single,Embellishment_Bronzed_Grip_Wrappings,127050,0.03%,
Single,Back_Voice_of_the_Silent_Star_441,127045,0.03%,
Single,Base,127008,0.00%,
Single,Waist_Vibrant_Wildercloth_Girdle_447,126971,-0.03%,
Single,Legs_Vibrant_Wildercloth_Slacks_447,126952,-0.04%,
Single,Wrists_Allied_Wristguards_of_Time_Dilation_447,126815,-0.15%,
Single,2h_Illuminating_Pillar_of_the_Isles_447,126800,-0.16%,
Single,Feet_Vibrant_Wildercloth_Slippers_447,126750,-0.20%,
Single,MH_Lavaflow_Control_Rod_447-OH_Crackling_Codex_of_the_Isles_447,126746,-0.21%,
Single,Feet_Blue_Dragon_Soles_447,126656,-0.28%,
Single,Back_Voice_of_the_Silent_Star_431,126612,-0.31%,
Single,Finger1_Ring_Bound_Hourglass_447,126589,-0.33%,
Single,Chest_Vibrant_Wildercloth_Vestments_447,126559,-0.35%,
Single,Finger2_Ring_Bound_Hourglass_447,126530,-0.38%,
Single,Hands_Vibrant_Wildercloth_Handwraps_447,126141,-0.68%,
Single,Head_Vibrant_Wildercloth_Headcover_447,125868,-0.90%,
Single,Shoulders_Vibrant_Wildercloth_Shoulderspikes_447,125776,-0.97%,
Single,2h_Weathered_Explorers_Stave_447,125674,-1.05%,
Single,Head_Hood_of_Surging_Time_447,125437,-1.24%,
