profile,actor,DPS,increase,
Single,Neck_Elemental_Lariat_3Earth_418,93626,1.70%,
Single,Azureweave_Mantle_Slippers_418,93539,1.61%,
Single,Neck_Elemental_Lariat_2Earth-1Air_418,93356,1.41%,
Single,Neck_Elemental_Lariat_1Earth-1Air-1Fire_418,93294,1.34%,
Single,Neck_Elemental_Lariat_1Earth-1Air-1Frost_418,93267,1.31%,
Single,Chronocloth_Sash_Leggings_418,93103,1.14%,
Single,Azureweave_Robe_Slippers_418,93008,1.03%,
Single,Embellishment_Blue_Silken_Lining,92885,0.90%,
Single,Shoulders_Amice_of_the_Blue_418,92671,0.67%,
Single,Finger2_Ring_Bound_Hourglass_418,92531,0.51%,
Single,MH_Stormlashs_Last_Resort_424-OH_Witherrot_Tome_418,92496,0.48%,
Single,Embellishment_Potion_Absorption_Inhibitor,92459,0.44%,
Single,Chronocloth_Gloves_Sash_418,92436,0.41%,
Single,Wrists_Allied_Wristguards_of_Time_Dilation_418,92302,0.27%,
Single,Legs_Vibrant_Wildercloth_Slacks_418,92227,0.18%,
Single,MH_Stormlashs_Last_Resort_424-OH_Crackling_Codex_of_the_Isles_418,92178,0.13%,
Single,Feet_Blue_Dragon_Soles_418,92147,0.10%,
Single,Back_Vibrant_Wildercloth_Shawl_418,92069,0.01%,
Single,Feet_Vibrant_Wildercloth_Slippers_418,92064,0.01%,
Single,Base,92058,0.00%,
Single,Waist_Vibrant_Wildercloth_Girdle_418,92055,0.00%,
Single,Embellishment_Bronzed_Grip_Wrappings,92013,-0.05%,
Single,Wrists_Vibrant_Wildercloth_Wristwraps_418,91842,-0.23%,
Single,Shoulders_Vibrant_Wildercloth_Shoulderspikes_418,91717,-0.37%,
Single,Chest_Vibrant_Wildercloth_Vestments_418,91635,-0.46%,
Single,Hands_Vibrant_Wildercloth_Handwraps_418,91389,-0.73%,
Single,Seal_of_Diurnas_Chosen_2-Eye_of_Skovald_421_2,91379,-0.74%,
Single,2h_Illuminating_Pillar_of_the_Isles_418,91292,-0.83%,
Single,Finger1_Ring_Bound_Hourglass_418,91147,-0.99%,
Single,Primalist_Wrists-Legs_395,91088,-1.05%,
Single,Primalist_Wrists-Waist_395,91045,-1.10%,
Single,Primalist_Wrists-Feet_395,90956,-1.20%,
Single,Primalist_Feet-Legs_395,90836,-1.33%,
Single,Seal_of_Diurnas_Chosen_2-Eye_of_Skovald_421_1,90835,-1.33%,
Single,Primalist_Feet-Waist_395,90776,-1.39%,
Single,Head_Vibrant_Wildercloth_Headcover_418,90648,-1.53%,
Single,Head_Hood_of_Surging_Time_418,90262,-1.95%,
Single,Onyx_Annulet_2_FLS1-FIS1-HAS1_424,90196,-2.02%,
Single,Onyx_Annulet_2_SIS1-FIS1-HAS1_424,90115,-2.11%,
Single,Onyx_Annulet_2_DBS1-FIS1-HAS1_424,90099,-2.13%,
Single,Seal_of_Diurnas_Chosen_1-Eye_of_Skovald_421_2,90089,-2.14%,
Single,Onyx_Annulet_2_FLS1-SIS1-HAS1_424,89929,-2.31%,
Single,Onyx_Annulet_2_DBS1-FLS1-HAS1_424,89922,-2.32%,
Single,Onyx_Annulet_2_DBS1-SIS1-HAS1_424,89790,-2.46%,
Single,Seal_of_Diurnas_Chosen_1-Eye_of_Skovald_421_1,89763,-2.49%,
Single,Onyx_Annulet_2_FIS1-HAS1-PPS1_424,89746,-2.51%,
Single,Onyx_Annulet_2_FLS1-SIS1-FIS1_424,89653,-2.61%,
Single,Onyx_Annulet_2_DBS1-FLS1-FIS1_424,89641,-2.63%,
Single,Onyx_Annulet_2_FLS1-ETS1-FIS1_424,89602,-2.67%,
Single,Onyx_Annulet_2_ETS1-FIS1-HAS1_424,89592,-2.68%,
Single,Onyx_Annulet_2_FLS1-HAS1-PPS1_424,89553,-2.72%,
Single,Onyx_Annulet_2_DBS1-SIS1-FIS1_424,89519,-2.76%,
Single,Onyx_Annulet_2_SIS1-ETS1-FIS1_424,89506,-2.77%,
Single,Onyx_Annulet_2_DBS1-ETS1-FIS1_424,89478,-2.80%,
Single,Onyx_Annulet_2_DBS1-HAS1-PPS1_424,89449,-2.83%,
Single,Onyx_Annulet_2_FLS1-ETS1-HAS1_424,89370,-2.92%,
Single,2h_Weathered_Explorers_Stave_418,89348,-2.94%,
Single,Onyx_Annulet_2_FLS1-EFS1-FIS1_424,89332,-2.96%,
Single,Onyx_Annulet_2_SIS1-ETS1-HAS1_424,89326,-2.97%,
Single,Onyx_Annulet_2_DBS1-FLS1-ETS1_424,89323,-2.97%,
Single,Onyx_Annulet_2_DBS1-FLS1-SIS1_424,89317,-2.98%,
Single,Onyx_Annulet_2_DBS1-ETS1-HAS1_424,89305,-2.99%,
Single,Onyx_Annulet_2_FLS1-SIS1-ETS1_424,89295,-3.00%,
Single,Onyx_Annulet_2_FLS1-FIS1-PPS1_424,89234,-3.07%,
Single,Onyx_Annulet_2_DBS1-SIS1-ETS1_424,89200,-3.10%,
Single,Onyx_Annulet_2_FIS1-HAS1-OPS1_424,89199,-3.11%,
Single,Onyx_Annulet_2_SIS1-FIS1-PPS1_424,89197,-3.11%,
Single,Onyx_Annulet_2_DBS1-FIS1-PPS1_424,89143,-3.17%,
Single,Onyx_Annulet_2_ETS1-FIS1-PPS1_424,89125,-3.19%,
Single,Onyx_Annulet_2_FLS1-EFS1-HAS1_424,89079,-3.24%,
Single,Onyx_Annulet_2_FLS1-HAS1-OPS1_424,89042,-3.28%,
Single,Onyx_Annulet_2_FLS1-SIS1-EFS1_424,89023,-3.30%,
Single,Onyx_Annulet_2_DBS1-FLS1-EFS1_424,88998,-3.32%,
Single,Onyx_Annulet_2_FLS1-ETS1-EFS1_424,88980,-3.34%,
Single,Onyx_Annulet_2_FLS1-SIS1-PPS1_424,88966,-3.36%,
Single,Onyx_Annulet_2_SIS1-HAS1-PPS1_424,88957,-3.37%,
Single,Onyx_Annulet_2_DBS1-FLS1-PPS1_424,88953,-3.37%,
Single,Onyx_Annulet_2_FLS1-ETS1-PPS1_424,88941,-3.39%,
Single,Onyx_Annulet_2_SIS1-HAS1-OPS1_424,88925,-3.40%,
Single,Onyx_Annulet_2_ETS1-HAS1-PPS1_424,88921,-3.41%,
Single,Onyx_Annulet_2_DBS1-HAS1-OPS1_424,88901,-3.43%,
Single,Onyx_Annulet_2_DBS1-SIS1-PPS1_424,88867,-3.47%,
Single,Onyx_Annulet_2_SIS1-ETS1-PPS1_424,88858,-3.48%,
Single,Onyx_Annulet_2_DBS1-ETS1-PPS1_424,88835,-3.50%,
Single,Onyx_Annulet_2_FLS1-FIS1-OPS1_424,88743,-3.60%,
Single,Onyx_Annulet_2_EFS1-FIS1-HAS1_424,88704,-3.64%,
Single,Onyx_Annulet_2_FLS1-EFS1-PPS1_424,88694,-3.65%,
Single,Onyx_Annulet_2_ETS1-FIS1-OPS1_424,88656,-3.70%,
Single,Onyx_Annulet_2_SIS1-FIS1-OPS1_424,88655,-3.70%,
Single,Onyx_Annulet_2_ETS1-EFS1-FIS1_424,88650,-3.70%,
Single,Onyx_Annulet_2_DBS1-FIS1-OPS1_424,88636,-3.72%,
Single,Onyx_Annulet_2_DBS1-EFS1-FIS1_424,88621,-3.73%,
Single,Onyx_Annulet_2_SIS1-EFS1-FIS1_424,88614,-3.74%,
Single,Onyx_Annulet_2_HAS1-PPS1-OPS1_424,88541,-3.82%,
Single,Onyx_Annulet_2_DBS1-EFS1-HAS1_424,88462,-3.91%,
Single,Onyx_Annulet_2_FLS1-ETS1-OPS1_424,88450,-3.92%,
Single,Onyx_Annulet_2_SIS1-EFS1-HAS1_424,88445,-3.92%,
Single,Onyx_Annulet_2_FLS1-SIS1-OPS1_424,88428,-3.94%,
Single,Onyx_Annulet_2_ETS1-HAS1-OPS1_424,88411,-3.96%,
Single,Onyx_Annulet_2_DBS1-FLS1-OPS1_424,88409,-3.96%,
Single,Onyx_Annulet_2_DBS1-SIS1-OPS1_424,88368,-4.01%,
Single,Onyx_Annulet_2_SIS1-ETS1-EFS1_424,88349,-4.03%,
Single,Onyx_Annulet_2_DBS1-SIS1-EFS1_424,88335,-4.04%,
Single,Onyx_Annulet_2_DBS1-ETS1-EFS1_424,88332,-4.05%,
Single,Onyx_Annulet_2_SIS1-ETS1-OPS1_424,88330,-4.05%,
Single,Onyx_Annulet_2_DBS1-ETS1-OPS1_424,88316,-4.06%,
Single,Onyx_Annulet_2_FIS1-PPS1-OPS1_424,88288,-4.10%,
Single,Onyx_Annulet_2_EFS1-FIS1-PPS1_424,88267,-4.12%,
Single,Onyx_Annulet_2_FLS1-EFS1-OPS1_424,88108,-4.29%,
Single,Onyx_Annulet_2_FLS1-PPS1-OPS1_424,88079,-4.32%,
Single,Onyx_Annulet_2_EFS1-HAS1-PPS1_424,88049,-4.36%,
Single,Onyx_Annulet_2_DBS1-PPS1-OPS1_424,87989,-4.42%,
