profile,actor,DPS,increase,
azure-tyran,Chronocloth_Sash_Leggings_418,94171,1.12%,
azure-tyran,Chronocloth_Gloves_Sash_418,93720,0.64%,
azure-tyran,Embellishment_Blue_Silken_Lining,93688,0.61%,
azure-tyran,Azureweave_Mantle_Slippers_418,93685,0.60%,
azure-tyran,Neck_Elemental_Lariat_3Earth_418,93628,0.54%,
azure-tyran,Azureweave_Robe_Slippers_418,93596,0.51%,
azure-tyran,Neck_Elemental_Lariat_1Earth-1Air-1Frost_418,93505,0.41%,
azure-tyran,Neck_Elemental_Lariat_2Earth-1Air_418,93501,0.40%,
azure-tyran,Neck_Elemental_Lariat_1Earth-1Air-1Fire_418,93500,0.40%,
azure-tyran,MH_Stormlashs_Last_Resort_424-OH_Witherrot_Tome_418,93468,0.37%,
azure-tyran,Embellishment_Potion_Absorption_Inhibitor,93439,0.34%,
azure-tyran,Shoulders_Amice_of_the_Blue_418,93243,0.13%,
azure-tyran,Wrists_Allied_Wristguards_of_Time_Dilation_418,93231,0.11%,
azure-tyran,MH_Stormlashs_Last_Resort_424-OH_Crackling_Codex_of_the_Isles_418,93202,0.08%,
azure-tyran,Base,93124,0.00%,
azure-tyran,Embellishment_Bronzed_Grip_Wrappings,93097,-0.03%,
azure-tyran,Finger2_Ring_Bound_Hourglass_418,93092,-0.03%,
azure-tyran,Wrists_Vibrant_Wildercloth_Wristwraps_418,93061,-0.07%,
azure-tyran,Back_Vibrant_Wildercloth_Shawl_418,92997,-0.14%,
azure-tyran,Legs_Vibrant_Wildercloth_Slacks_418,92979,-0.16%,
azure-tyran,Waist_Vibrant_Wildercloth_Girdle_418,92956,-0.18%,
azure-tyran,Feet_Vibrant_Wildercloth_Slippers_418,92877,-0.27%,
azure-tyran,Feet_Blue_Dragon_Soles_418,92775,-0.37%,
azure-tyran,Finger2_Ring_Bound_Hourglass_405,92714,-0.44%,
azure-tyran,2h_Illuminating_Pillar_of_the_Isles_418,92628,-0.53%,
azure-tyran,Finger1_Ring_Bound_Hourglass_418,92625,-0.54%,
azure-tyran,Primalist_Wrists-Waist_395,92595,-0.57%,
azure-tyran,Primalist_Wrists-Feet_395,92550,-0.62%,
azure-tyran,Hands_Vibrant_Wildercloth_Handwraps_418,92541,-0.63%,
azure-tyran,Primalist_Wrists-Legs_395,92467,-0.71%,
azure-tyran,Shoulders_Vibrant_Wildercloth_Shoulderspikes_418,92455,-0.72%,
azure-tyran,Chest_Vibrant_Wildercloth_Vestments_418,92426,-0.75%,
azure-tyran,Onyx_Annulet_2_FLS1-FIS1-HAS1_424,92386,-0.79%,
azure-tyran,Head_Hood_of_Surging_Time_418,92357,-0.82%,
azure-tyran,Onyx_Annulet_2_DBS1-FIS1-HAS1_424,92343,-0.84%,
azure-tyran,Primalist_Feet-Waist_395,92343,-0.84%,
azure-tyran,Finger2_Ring_Bound_Hourglass_392,92329,-0.85%,
azure-tyran,Seal_of_Diurnas_Chosen_2-Eye_of_Skovald_421_1,92207,-0.98%,
azure-tyran,Onyx_Annulet_2_SIS1-FIS1-HAS1_424,92154,-1.04%,
azure-tyran,Primalist_Feet-Legs_395,92130,-1.07%,
azure-tyran,Seal_of_Diurnas_Chosen_1-Eye_of_Skovald_421_1,92007,-1.20%,
azure-tyran,Onyx_Annulet_2_DBS1-FLS1-HAS1_424,91993,-1.21%,
azure-tyran,Onyx_Annulet_2_FIS1-HAS1-PPS1_424,91956,-1.25%,
azure-tyran,Onyx_Annulet_2_ETS1-FIS1-HAS1_424,91879,-1.34%,
azure-tyran,Seal_of_Diurnas_Chosen_2-Eye_of_Skovald_421_2,91824,-1.40%,
azure-tyran,Onyx_Annulet_2_FLS1-SIS1-HAS1_424,91783,-1.44%,
azure-tyran,Head_Vibrant_Wildercloth_Headcover_418,91738,-1.49%,
azure-tyran,Onyx_Annulet_2_DBS1-SIS1-HAS1_424,91729,-1.50%,
azure-tyran,Onyx_Annulet_2_DBS1-FLS1-FIS1_424,91718,-1.51%,
azure-tyran,Onyx_Annulet_2_FLS1-HAS1-PPS1_424,91640,-1.59%,
azure-tyran,Onyx_Annulet_2_FLS1-SIS1-FIS1_424,91576,-1.66%,
azure-tyran,Onyx_Annulet_2_DBS1-HAS1-PPS1_424,91560,-1.68%,
azure-tyran,Onyx_Annulet_2_DBS1-ETS1-HAS1_424,91521,-1.72%,
azure-tyran,Onyx_Annulet_2_FLS1-ETS1-HAS1_424,91520,-1.72%,
azure-tyran,Onyx_Annulet_2_DBS1-SIS1-FIS1_424,91510,-1.73%,
azure-tyran,Seal_of_Diurnas_Chosen_1-Eye_of_Skovald_421_2,91430,-1.82%,
azure-tyran,Onyx_Annulet_2_FLS1-EFS1-FIS1_424,91397,-1.85%,
azure-tyran,Onyx_Annulet_2_FLS1-FIS1-PPS1_424,91368,-1.89%,
azure-tyran,Onyx_Annulet_2_FIS1-HAS1-OPS1_424,91365,-1.89%,
azure-tyran,Onyx_Annulet_2_DBS1-FIS1-PPS1_424,91327,-1.93%,
azure-tyran,Onyx_Annulet_2_FLS1-ETS1-FIS1_424,91294,-1.97%,
azure-tyran,Onyx_Annulet_2_DBS1-ETS1-FIS1_424,91256,-2.01%,
azure-tyran,Onyx_Annulet_2_DBS1-FLS1-SIS1_424,91179,-2.09%,
azure-tyran,Onyx_Annulet_2_SIS1-FIS1-PPS1_424,91159,-2.11%,
azure-tyran,Onyx_Annulet_2_FLS1-EFS1-HAS1_424,91130,-2.14%,
azure-tyran,Onyx_Annulet_2_SIS1-ETS1-FIS1_424,91100,-2.17%,
azure-tyran,Onyx_Annulet_2_FLS1-HAS1-OPS1_424,91082,-2.19%,
azure-tyran,Onyx_Annulet_2_DBS1-FLS1-EFS1_424,91078,-2.20%,
azure-tyran,Onyx_Annulet_2_DBS1-HAS1-OPS1_424,91075,-2.20%,
azure-tyran,Onyx_Annulet_2_DBS1-FLS1-PPS1_424,91043,-2.23%,
azure-tyran,2h_Weathered_Explorers_Stave_418,90986,-2.30%,
azure-tyran,Onyx_Annulet_2_DBS1-FLS1-ETS1_424,90976,-2.31%,
azure-tyran,Onyx_Annulet_2_SIS1-HAS1-PPS1_424,90887,-2.40%,
azure-tyran,Onyx_Annulet_2_ETS1-FIS1-PPS1_424,90873,-2.42%,
azure-tyran,Onyx_Annulet_2_FLS1-SIS1-EFS1_424,90851,-2.44%,
azure-tyran,Onyx_Annulet_2_EFS1-FIS1-HAS1_424,90842,-2.45%,
azure-tyran,Onyx_Annulet_2_SIS1-HAS1-OPS1_424,90840,-2.45%,
azure-tyran,Onyx_Annulet_2_DBS1-FIS1-OPS1_424,90827,-2.47%,
azure-tyran,Onyx_Annulet_2_SIS1-ETS1-HAS1_424,90826,-2.47%,
azure-tyran,Onyx_Annulet_2_FLS1-SIS1-PPS1_424,90818,-2.48%,
azure-tyran,Onyx_Annulet_2_DBS1-SIS1-PPS1_424,90811,-2.48%,
azure-tyran,Onyx_Annulet_2_FLS1-FIS1-OPS1_424,90804,-2.49%,
azure-tyran,Onyx_Annulet_2_DBS1-EFS1-FIS1_424,90780,-2.52%,
azure-tyran,Onyx_Annulet_2_FLS1-SIS1-ETS1_424,90771,-2.53%,
azure-tyran,Onyx_Annulet_2_DBS1-SIS1-ETS1_424,90728,-2.57%,
azure-tyran,Onyx_Annulet_2_FLS1-EFS1-PPS1_424,90694,-2.61%,
azure-tyran,Onyx_Annulet_2_FLS1-ETS1-EFS1_424,90609,-2.70%,
