profile,actor,DPS,increase,
cos-tyran,Chronocloth_Sash_Leggings_418,72199,1.25%,
cos-tyran,Chronocloth_Gloves_Sash_418,71883,0.81%,
cos-tyran,Neck_Elemental_Lariat_3Earth_418,71878,0.80%,
cos-tyran,Azureweave_Robe_Slippers_418,71810,0.71%,
cos-tyran,Embellishment_Blue_Silken_Lining,71801,0.70%,
cos-tyran,Neck_Elemental_Lariat_1Earth-1Air-1Frost_418,71778,0.66%,
cos-tyran,Azureweave_Mantle_Slippers_418,71769,0.65%,
cos-tyran,Neck_Elemental_Lariat_2Earth-1Air_418,71769,0.65%,
cos-tyran,Neck_Elemental_Lariat_1Earth-1Air-1Fire_418,71730,0.60%,
cos-tyran,MH_Stormlashs_Last_Resort_424-OH_Witherrot_Tome_418,71615,0.43%,
cos-tyran,Shoulders_Amice_of_the_Blue_418,71595,0.41%,
cos-tyran,Embellishment_Potion_Absorption_Inhibitor,71470,0.23%,
cos-tyran,Finger2_Ring_Bound_Hourglass_418,71422,0.16%,
cos-tyran,Wrists_Allied_Wristguards_of_Time_Dilation_418,71395,0.13%,
cos-tyran,Embellishment_Bronzed_Grip_Wrappings,71332,0.04%,
cos-tyran,MH_Stormlashs_Last_Resort_424-OH_Crackling_Codex_of_the_Isles_418,71314,0.01%,
cos-tyran,Base,71305,0.00%,
cos-tyran,Wrists_Vibrant_Wildercloth_Wristwraps_418,71271,-0.05%,
cos-tyran,Legs_Vibrant_Wildercloth_Slacks_418,71242,-0.09%,
cos-tyran,Waist_Vibrant_Wildercloth_Girdle_418,71239,-0.09%,
cos-tyran,Back_Vibrant_Wildercloth_Shawl_418,71237,-0.10%,
cos-tyran,Feet_Vibrant_Wildercloth_Slippers_418,71158,-0.21%,
cos-tyran,Seal_of_Diurnas_Chosen_2-Eye_of_Skovald_421_1,71124,-0.25%,
cos-tyran,Feet_Blue_Dragon_Soles_418,71117,-0.26%,
cos-tyran,Finger1_Ring_Bound_Hourglass_418,70942,-0.51%,
cos-tyran,2h_Illuminating_Pillar_of_the_Isles_418,70894,-0.58%,
cos-tyran,Hands_Vibrant_Wildercloth_Handwraps_418,70890,-0.58%,
cos-tyran,Seal_of_Diurnas_Chosen_1-Eye_of_Skovald_421_1,70884,-0.59%,
cos-tyran,Shoulders_Vibrant_Wildercloth_Shoulderspikes_418,70796,-0.71%,
cos-tyran,Chest_Vibrant_Wildercloth_Vestments_418,70788,-0.73%,
cos-tyran,Seal_of_Diurnas_Chosen_2-Eye_of_Skovald_421_2,70587,-1.01%,
cos-tyran,Head_Hood_of_Surging_Time_418,70533,-1.08%,
cos-tyran,Head_Vibrant_Wildercloth_Headcover_418,70361,-1.32%,
cos-tyran,Seal_of_Diurnas_Chosen_1-Eye_of_Skovald_421_2,70282,-1.43%,
cos-tyran,2h_Weathered_Explorers_Stave_418,69850,-2.04%,
cos-tyran,Onyx_Annulet_1-EFS2-FLS1_411,67478,-5.37%,
cos-tyran,Onyx_Annulet_1-FIS3_411,67462,-5.39%,
cos-tyran,Onyx_Annulet_1-ETS3_411,67450,-5.41%,
cos-tyran,Onyx_Annulet_1-EFS1-FLS2_411,67449,-5.41%,
cos-tyran,Onyx_Annulet_1-FLS3_411,67449,-5.41%,
