profile,actor,DPS,increase,
freehold-tyran,Embellishment_Blue_Silken_Lining_90%_2,142229,2.44%,
freehold-tyran,Embellishment_BSL1_90%_STAP_1,141960,2.25%,
freehold-tyran,Azureweave_Robe_Slippers_447,141804,2.14%,
freehold-tyran,Embellishment_Shadowflame_Tempered_Armor_Patch_2,141744,2.09%,
freehold-tyran,Azureweave_Mantle_Slippers_447,141604,1.99%,
freehold-tyran,Embellishment_BSL1_70%_STAP_1,141576,1.97%,
freehold-tyran,Embellishment_Blue_Silken_Lining_70%_2,141419,1.86%,
freehold-tyran,Embellishment_BSL1_50%_STAP_1,141204,1.70%,
freehold-tyran,Embellishment_Blue_Silken_Lining_50%_2,140651,1.31%,
freehold-tyran,Embellishment_Blue_Silken_Lining_90%_1,140570,1.25%,
freehold-tyran,Chronocloth_Gloves_Sash_447,140517,1.21%,
freehold-tyran,Embellishment_Shadowflame_Tempered_Armor_Patch_1,140381,1.11%,
freehold-tyran,Neck_Elemental_Lariat_7Earth_447,140355,1.09%,
freehold-tyran,Shoulders_Amice_of_the_Blue_447,140272,1.03%,
freehold-tyran,Neck_Elemental_Lariat_7Air_447,140224,1.00%,
freehold-tyran,Embellishment_Blue_Silken_Lining_70%_1,140206,0.99%,
freehold-tyran,Embellishment_Blue_Silken_Lining_50%_1,139864,0.74%,
freehold-tyran,Back_Voice_of_the_Silent_Star_457,139655,0.59%,
freehold-tyran,Head_Hood_of_Surging_Time_447,139639,0.58%,
freehold-tyran,Wrists_Allied_Wristguards_of_Time_Dilation_447,139588,0.54%,
freehold-tyran,Chronocloth_Sash_Leggings_447,139496,0.47%,
freehold-tyran,Embellishment_Potion_Absorption_Inhibitor_2,139411,0.41%,
freehold-tyran,MH_Lavaflow_Control_Rod_447-OH_Witherrot_Tome_447,139334,0.36%,
freehold-tyran,Neck_Torc_of_Passed_Time_447,139293,0.33%,
freehold-tyran,MH_Spore_Keepers_Baton_447-OH_Echos_Maddening_Volume_450,139229,0.28%,
freehold-tyran,Finger2_Ring_Bound_Hourglass_447,139218,0.27%,
freehold-tyran,Back_Voice_of_the_Silent_Star_447,139170,0.24%,
freehold-tyran,Embellishment_Potion_Absorption_Inhibitor_1,139141,0.22%,
freehold-tyran,Finger1_Ring_Bound_Hourglass_447,139078,0.17%,
freehold-tyran,Back_Voice_of_the_Silent_Star_444,139068,0.17%,
freehold-tyran,Wrists_Vibrant_Wildercloth_Wristwraps_447,139055,0.16%,
freehold-tyran,Hands_Vibrant_Wildercloth_Handwraps_447,139036,0.14%,
freehold-tyran,Back_Voice_of_the_Silent_Star_441,138874,0.03%,
freehold-tyran,Embellishment_Bronzed_Grip_Wrappings_2,138851,0.01%,
freehold-tyran,Embellishment_Bronzed_Grip_Wrappings_1,138849,0.01%,
freehold-tyran,Base,138838,0.00%,
freehold-tyran,Feet_Blue_Dragon_Soles_447,138836,0.00%,
freehold-tyran,Shoulders_Vibrant_Wildercloth_Shoulderspikes_447,138734,-0.07%,
freehold-tyran,Back_Undulating_Sporecloak_447,138709,-0.09%,
freehold-tyran,Head_Vibrant_Wildercloth_Headcover_447,138631,-0.15%,
freehold-tyran,Waist_Vibrant_Wildercloth_Girdle_447,138621,-0.16%,
freehold-tyran,Back_Vibrant_Wildercloth_Shawl_447,138596,-0.17%,
freehold-tyran,Feet_Vibrant_Wildercloth_Slippers_447,138516,-0.23%,
freehold-tyran,Back_Voice_of_the_Silent_Star_431,138506,-0.24%,
freehold-tyran,Legs_Vibrant_Wildercloth_Slacks_447,138303,-0.39%,
freehold-tyran,2h_Illuminating_Pillar_of_the_Isles_447,138251,-0.42%,
freehold-tyran,MH_Lavaflow_Control_Rod_447-OH_Crackling_Codex_of_the_Isles_447,138188,-0.47%,
freehold-tyran,2h_Weathered_Explorers_Stave_447,136743,-1.51%,
