profile,actor,DPS,increase,
hov-tyran,Chronocloth_Sash_Leggings_418,86854,1.42%,
hov-tyran,Chronocloth_Gloves_Sash_418,86531,1.04%,
hov-tyran,Embellishment_Blue_Silken_Lining,86107,0.55%,
hov-tyran,Azureweave_Mantle_Slippers_418,86065,0.50%,
hov-tyran,Neck_Elemental_Lariat_3Earth_418,86023,0.45%,
hov-tyran,Neck_Elemental_Lariat_1Earth-1Air-1Frost_418,86017,0.44%,
hov-tyran,MH_Stormlashs_Last_Resort_424-OH_Witherrot_Tome_418,85957,0.37%,
hov-tyran,Neck_Elemental_Lariat_2Earth-1Air_418,85943,0.36%,
hov-tyran,Neck_Elemental_Lariat_1Earth-1Air-1Fire_418,85932,0.34%,
hov-tyran,Shoulders_Amice_of_the_Blue_418,85917,0.33%,
hov-tyran,Embellishment_Potion_Absorption_Inhibitor,85897,0.30%,
hov-tyran,MH_Stormlashs_Last_Resort_424-OH_Crackling_Codex_of_the_Isles_418,85733,0.11%,
hov-tyran,Finger2_Ring_Bound_Hourglass_418,85698,0.07%,
hov-tyran,Base,85638,0.00%,
hov-tyran,Embellishment_Bronzed_Grip_Wrappings,85631,-0.01%,
hov-tyran,Wrists_Allied_Wristguards_of_Time_Dilation_418,85607,-0.04%,
hov-tyran,Waist_Vibrant_Wildercloth_Girdle_418,85539,-0.12%,
hov-tyran,Back_Vibrant_Wildercloth_Shawl_418,85536,-0.12%,
hov-tyran,Azureweave_Robe_Slippers_418,85512,-0.15%,
hov-tyran,Wrists_Vibrant_Wildercloth_Wristwraps_418,85465,-0.20%,
hov-tyran,Finger1_Ring_Bound_Hourglass_418,85418,-0.26%,
hov-tyran,Legs_Vibrant_Wildercloth_Slacks_418,85408,-0.27%,
hov-tyran,Feet_Blue_Dragon_Soles_418,85405,-0.27%,
hov-tyran,Feet_Vibrant_Wildercloth_Slippers_418,85355,-0.33%,
hov-tyran,Hands_Vibrant_Wildercloth_Handwraps_418,85173,-0.54%,
hov-tyran,2h_Illuminating_Pillar_of_the_Isles_418,85170,-0.55%,
hov-tyran,Shoulders_Vibrant_Wildercloth_Shoulderspikes_418,85123,-0.60%,
hov-tyran,Chest_Vibrant_Wildercloth_Vestments_418,85079,-0.65%,
hov-tyran,Head_Hood_of_Surging_Time_418,84908,-0.85%,
hov-tyran,Head_Vibrant_Wildercloth_Headcover_418,84568,-1.25%,
hov-tyran,2h_Weathered_Explorers_Stave_418,84067,-1.83%,
