profile,actor,DPS,increase,
neltharus-tyran,Embellishment_Blue_Silken_Lining_90%_2,152020,2.16%,
neltharus-tyran,Azureweave_Mantle_Slippers_447,151991,2.14%,
neltharus-tyran,Azureweave_Robe_Slippers_447,151927,2.09%,
neltharus-tyran,Embellishment_BSL1_90%_STAP_1,151525,1.82%,
neltharus-tyran,Embellishment_BSL1_70%_STAP_1,151224,1.62%,
neltharus-tyran,Embellishment_Blue_Silken_Lining_70%_2,151184,1.59%,
neltharus-tyran,Embellishment_Shadowflame_Tempered_Armor_Patch_2,151170,1.58%,
neltharus-tyran,Head_Hood_of_Surging_Time_447,150887,1.39%,
neltharus-tyran,Embellishment_BSL1_50%_STAP_1,150835,1.36%,
neltharus-tyran,Shoulders_Amice_of_the_Blue_447,150634,1.22%,
neltharus-tyran,Embellishment_Blue_Silken_Lining_50%_2,150501,1.13%,
neltharus-tyran,Chronocloth_Gloves_Sash_447,150451,1.10%,
neltharus-tyran,Embellishment_Blue_Silken_Lining_90%_1,150369,1.05%,
neltharus-tyran,Neck_Elemental_Lariat_7Earth_447,150301,1.00%,
neltharus-tyran,Neck_Elemental_Lariat_7Air_447,150262,0.97%,
neltharus-tyran,Embellishment_Shadowflame_Tempered_Armor_Patch_1,150013,0.81%,
neltharus-tyran,Embellishment_Blue_Silken_Lining_70%_1,149902,0.73%,
neltharus-tyran,Chronocloth_Sash_Leggings_447,149834,0.69%,
neltharus-tyran,Back_Voice_of_the_Silent_Star_457,149694,0.59%,
neltharus-tyran,Embellishment_Potion_Absorption_Inhibitor_2,149690,0.59%,
neltharus-tyran,Embellishment_Blue_Silken_Lining_50%_1,149687,0.59%,
neltharus-tyran,Wrists_Allied_Wristguards_of_Time_Dilation_447,149610,0.54%,
neltharus-tyran,Hands_Vibrant_Wildercloth_Handwraps_447,149524,0.48%,
neltharus-tyran,Finger2_Ring_Bound_Hourglass_447,149378,0.38%,
neltharus-tyran,Neck_Torc_of_Passed_Time_447,149358,0.37%,
neltharus-tyran,Shoulders_Vibrant_Wildercloth_Shoulderspikes_447,149340,0.35%,
neltharus-tyran,MH_Lavaflow_Control_Rod_447-OH_Witherrot_Tome_447,149316,0.34%,
neltharus-tyran,Embellishment_Potion_Absorption_Inhibitor_1,149273,0.31%,
neltharus-tyran,Finger1_Ring_Bound_Hourglass_447,149262,0.30%,
neltharus-tyran,Back_Voice_of_the_Silent_Star_444,149159,0.23%,
neltharus-tyran,Back_Voice_of_the_Silent_Star_441,149097,0.19%,
neltharus-tyran,Head_Vibrant_Wildercloth_Headcover_447,149062,0.17%,
neltharus-tyran,Wrists_Vibrant_Wildercloth_Wristwraps_447,149039,0.15%,
neltharus-tyran,Embellishment_Bronzed_Grip_Wrappings_2,148814,0.00%,
neltharus-tyran,Base,148813,0.00%,
neltharus-tyran,Back_Vibrant_Wildercloth_Shawl_447,148782,-0.02%,
neltharus-tyran,Embellishment_Bronzed_Grip_Wrappings_1,148780,-0.02%,
neltharus-tyran,Back_Undulating_Sporecloak_447,148762,-0.03%,
neltharus-tyran,Feet_Vibrant_Wildercloth_Slippers_447,148732,-0.05%,
neltharus-tyran,Back_Voice_of_the_Silent_Star_431,148700,-0.08%,
neltharus-tyran,MH_Lavaflow_Control_Rod_447-OH_Crackling_Codex_of_the_Isles_447,148690,-0.08%,
neltharus-tyran,Feet_Blue_Dragon_Soles_447,148684,-0.09%,
neltharus-tyran,MH_Spore_Keepers_Baton_447-OH_Echos_Maddening_Volume_450,148606,-0.14%,
neltharus-tyran,Waist_Vibrant_Wildercloth_Girdle_447,148606,-0.14%,
neltharus-tyran,Legs_Vibrant_Wildercloth_Slacks_447,148588,-0.15%,
neltharus-tyran,2h_Illuminating_Pillar_of_the_Isles_447,148483,-0.22%,
neltharus-tyran,2h_Weathered_Explorers_Stave_447,147374,-0.97%,
