profile,actor,DPS,increase,
smbg-tyran,Chronocloth_Sash_Leggings_447,109149,1.96%,
smbg-tyran,Chronocloth_Gloves_Sash_447,109014,1.83%,
smbg-tyran,Embellishment_Shadowflame_Tempered_Armor_Patch,108558,1.40%,
smbg-tyran,Azureweave_Robe_Slippers_447,108369,1.23%,
smbg-tyran,Azureweave_Mantle_Slippers_447,108178,1.05%,
smbg-tyran,Embellishment_Blue_Silken_Lining,108114,0.99%,
smbg-tyran,Neck_Elemental_Lariat_7Air_447,108039,0.92%,
smbg-tyran,Neck_Elemental_Lariat_7Earth_447,108017,0.90%,
smbg-tyran,MH_Spore_Keepers_Baton_447-OH_Echos_Maddening_Volume_450,107998,0.88%,
smbg-tyran,MH_Lavaflow_Control_Rod_447-OH_Witherrot_Tome_447,107947,0.83%,
smbg-tyran,Back_Voice_of_the_Silent_Star_457,107683,0.59%,
smbg-tyran,Head_Hood_of_Surging_Time_447,107433,0.35%,
smbg-tyran,Embellishment_Potion_Absorption_Inhibitor,107418,0.34%,
smbg-tyran,Shoulders_Amice_of_the_Blue_447,107339,0.27%,
smbg-tyran,Back_Voice_of_the_Silent_Star_444,107193,0.13%,
smbg-tyran,Back_Voice_of_the_Silent_Star_441,107100,0.04%,
smbg-tyran,Embellishment_Bronzed_Grip_Wrappings,107099,0.04%,
smbg-tyran,Wrists_Vibrant_Wildercloth_Wristwraps_447,107096,0.04%,
smbg-tyran,Back_Vibrant_Wildercloth_Shawl_447,107087,0.03%,
smbg-tyran,Base,107054,0.00%,
smbg-tyran,Waist_Vibrant_Wildercloth_Girdle_447,107034,-0.02%,
smbg-tyran,Legs_Vibrant_Wildercloth_Slacks_447,107033,-0.02%,
smbg-tyran,Feet_Vibrant_Wildercloth_Slippers_447,107018,-0.03%,
smbg-tyran,2h_Illuminating_Pillar_of_the_Isles_447,106839,-0.20%,
smbg-tyran,Wrists_Allied_Wristguards_of_Time_Dilation_447,106827,-0.21%,
smbg-tyran,Feet_Blue_Dragon_Soles_447,106793,-0.24%,
smbg-tyran,Chest_Vibrant_Wildercloth_Vestments_447,106791,-0.25%,
smbg-tyran,MH_Lavaflow_Control_Rod_447-OH_Crackling_Codex_of_the_Isles_447,106777,-0.26%,
smbg-tyran,Back_Voice_of_the_Silent_Star_431,106695,-0.34%,
smbg-tyran,Finger1_Ring_Bound_Hourglass_447,106637,-0.39%,
smbg-tyran,Finger2_Ring_Bound_Hourglass_447,106609,-0.42%,
smbg-tyran,Hands_Vibrant_Wildercloth_Handwraps_447,106510,-0.51%,
smbg-tyran,Head_Vibrant_Wildercloth_Headcover_447,106300,-0.70%,
smbg-tyran,Shoulders_Vibrant_Wildercloth_Shoulderspikes_447,106057,-0.93%,
smbg-tyran,2h_Weathered_Explorers_Stave_447,105928,-1.05%,
