profile,actor,DPS,increase,
temple-fort,Chronocloth_Sash_Leggings_418,84091,1.35%,
temple-fort,Chronocloth_Gloves_Sash_418,83704,0.88%,
temple-fort,Embellishment_Blue_Silken_Lining,83502,0.64%,
temple-fort,Neck_Elemental_Lariat_3Earth_418,83442,0.57%,
temple-fort,Azureweave_Mantle_Slippers_418,83437,0.56%,
temple-fort,Neck_Elemental_Lariat_1Earth-1Air-1Fire_418,83355,0.46%,
temple-fort,Neck_Elemental_Lariat_2Earth-1Air_418,83344,0.45%,
temple-fort,Shoulders_Amice_of_the_Blue_418,83343,0.45%,
temple-fort,MH_Stormlashs_Last_Resort_424-OH_Witherrot_Tome_418,83332,0.43%,
temple-fort,Neck_Elemental_Lariat_1Earth-1Air-1Frost_418,83277,0.37%,
temple-fort,Embellishment_Potion_Absorption_Inhibitor,83221,0.30%,
temple-fort,Finger2_Ring_Bound_Hourglass_418,83100,0.15%,
temple-fort,MH_Stormlashs_Last_Resort_424-OH_Crackling_Codex_of_the_Isles_418,83039,0.08%,
temple-fort,Wrists_Allied_Wristguards_of_Time_Dilation_418,83024,0.06%,
temple-fort,Embellishment_Bronzed_Grip_Wrappings,83018,0.06%,
temple-fort,Base,82972,0.00%,
temple-fort,Back_Vibrant_Wildercloth_Shawl_418,82928,-0.05%,
temple-fort,Waist_Vibrant_Wildercloth_Girdle_418,82887,-0.10%,
temple-fort,Wrists_Vibrant_Wildercloth_Wristwraps_418,82870,-0.12%,
temple-fort,Azureweave_Robe_Slippers_418,82835,-0.17%,
temple-fort,Legs_Vibrant_Wildercloth_Slacks_418,82808,-0.20%,
temple-fort,Finger1_Ring_Bound_Hourglass_418,82721,-0.30%,
temple-fort,Feet_Vibrant_Wildercloth_Slippers_418,82694,-0.34%,
temple-fort,Feet_Blue_Dragon_Soles_418,82589,-0.46%,
temple-fort,Hands_Vibrant_Wildercloth_Handwraps_418,82511,-0.56%,
temple-fort,2h_Illuminating_Pillar_of_the_Isles_418,82497,-0.57%,
temple-fort,Chest_Vibrant_Wildercloth_Vestments_418,82401,-0.69%,
temple-fort,Head_Hood_of_Surging_Time_418,82392,-0.70%,
temple-fort,Shoulders_Vibrant_Wildercloth_Shoulderspikes_418,82384,-0.71%,
temple-fort,Head_Vibrant_Wildercloth_Headcover_418,81849,-1.35%,
temple-fort,2h_Weathered_Explorers_Stave_418,81138,-2.21%,
