profile,actor,DPS,increase,
temple-tyran,Chronocloth_Sash_Leggings_418,74486,1.33%,
temple-tyran,Chronocloth_Gloves_Sash_418,74273,1.04%,
temple-tyran,Azureweave_Mantle_Slippers_418,73928,0.57%,
temple-tyran,Embellishment_Blue_Silken_Lining,73862,0.48%,
temple-tyran,MH_Stormlashs_Last_Resort_424-OH_Witherrot_Tome_418,73849,0.46%,
temple-tyran,Neck_Elemental_Lariat_3Earth_418,73809,0.41%,
temple-tyran,Shoulders_Amice_of_the_Blue_418,73764,0.35%,
temple-tyran,Neck_Elemental_Lariat_1Earth-1Air-1Fire_418,73744,0.32%,
temple-tyran,Neck_Elemental_Lariat_1Earth-1Air-1Frost_418,73726,0.30%,
temple-tyran,Neck_Elemental_Lariat_2Earth-1Air_418,73710,0.27%,
temple-tyran,Embellishment_Potion_Absorption_Inhibitor,73624,0.16%,
temple-tyran,MH_Stormlashs_Last_Resort_424-OH_Crackling_Codex_of_the_Isles_418,73595,0.12%,
temple-tyran,Finger2_Ring_Bound_Hourglass_418,73518,0.01%,
temple-tyran,Base,73508,0.00%,
temple-tyran,Azureweave_Robe_Slippers_418,73500,-0.01%,
temple-tyran,Wrists_Allied_Wristguards_of_Time_Dilation_418,73498,-0.01%,
temple-tyran,Embellishment_Bronzed_Grip_Wrappings,73490,-0.02%,
temple-tyran,Back_Vibrant_Wildercloth_Shawl_418,73423,-0.12%,
temple-tyran,Wrists_Vibrant_Wildercloth_Wristwraps_418,73376,-0.18%,
temple-tyran,Waist_Vibrant_Wildercloth_Girdle_418,73356,-0.21%,
temple-tyran,Legs_Vibrant_Wildercloth_Slacks_418,73312,-0.27%,
temple-tyran,Finger1_Ring_Bound_Hourglass_418,73299,-0.28%,
temple-tyran,Feet_Blue_Dragon_Soles_418,73239,-0.37%,
temple-tyran,Feet_Vibrant_Wildercloth_Slippers_418,73226,-0.38%,
temple-tyran,2h_Illuminating_Pillar_of_the_Isles_418,73120,-0.53%,
temple-tyran,Hands_Vibrant_Wildercloth_Handwraps_418,73108,-0.54%,
temple-tyran,Shoulders_Vibrant_Wildercloth_Shoulderspikes_418,73014,-0.67%,
temple-tyran,Chest_Vibrant_Wildercloth_Vestments_418,72978,-0.72%,
temple-tyran,Head_Hood_of_Surging_Time_418,72912,-0.81%,
temple-tyran,Head_Vibrant_Wildercloth_Headcover_418,72492,-1.38%,
temple-tyran,2h_Weathered_Explorers_Stave_418,71970,-2.09%,
