profile,actor,DPS,increase,
vtp-fort,Embellishment_Blue_Silken_Lining_90%_2,141223,2.58%,
vtp-fort,Azureweave_Robe_Slippers_447,141202,2.56%,
vtp-fort,Azureweave_Mantle_Slippers_447,141171,2.54%,
vtp-fort,Embellishment_BSL1_90%_STAP_1,140858,2.31%,
vtp-fort,Embellishment_Blue_Silken_Lining_70%_2,140500,2.05%,
vtp-fort,Embellishment_Shadowflame_Tempered_Armor_Patch_2,140464,2.03%,
vtp-fort,Embellishment_BSL1_70%_STAP_1,140421,1.99%,
vtp-fort,Embellishment_BSL1_50%_STAP_1,140044,1.72%,
vtp-fort,Shoulders_Amice_of_the_Blue_447,139667,1.45%,
vtp-fort,Embellishment_Blue_Silken_Lining_50%_2,139621,1.41%,
vtp-fort,Embellishment_Blue_Silken_Lining_90%_1,139460,1.30%,
vtp-fort,Head_Hood_of_Surging_Time_447,139444,1.28%,
vtp-fort,Chronocloth_Gloves_Sash_447,139363,1.23%,
vtp-fort,Neck_Elemental_Lariat_7Earth_447,139123,1.05%,
vtp-fort,Neck_Elemental_Lariat_7Air_447,139100,1.03%,
vtp-fort,Embellishment_Shadowflame_Tempered_Armor_Patch_1,139074,1.02%,
vtp-fort,Embellishment_Blue_Silken_Lining_70%_1,139047,1.00%,
vtp-fort,Embellishment_Blue_Silken_Lining_50%_1,138646,0.70%,
vtp-fort,Embellishment_Potion_Absorption_Inhibitor_2,138634,0.70%,
vtp-fort,Back_Voice_of_the_Silent_Star_457,138620,0.69%,
vtp-fort,Chronocloth_Sash_Leggings_447,138440,0.55%,
vtp-fort,Wrists_Allied_Wristguards_of_Time_Dilation_447,138401,0.53%,
vtp-fort,MH_Lavaflow_Control_Rod_447-OH_Witherrot_Tome_447,138183,0.37%,
vtp-fort,Neck_Torc_of_Passed_Time_447,138153,0.35%,
vtp-fort,Embellishment_Potion_Absorption_Inhibitor_1,138126,0.33%,
vtp-fort,Hands_Vibrant_Wildercloth_Handwraps_447,138110,0.32%,
vtp-fort,Finger2_Ring_Bound_Hourglass_447,138041,0.27%,
vtp-fort,Finger1_Ring_Bound_Hourglass_447,137974,0.22%,
vtp-fort,Shoulders_Vibrant_Wildercloth_Shoulderspikes_447,137971,0.21%,
vtp-fort,Back_Voice_of_the_Silent_Star_444,137964,0.21%,
vtp-fort,Wrists_Vibrant_Wildercloth_Wristwraps_447,137899,0.16%,
vtp-fort,Back_Voice_of_the_Silent_Star_441,137883,0.15%,
vtp-fort,Head_Vibrant_Wildercloth_Headcover_447,137711,0.03%,
vtp-fort,Embellishment_Bronzed_Grip_Wrappings_2,137698,0.02%,
vtp-fort,Base,137676,0.00%,
vtp-fort,Embellishment_Bronzed_Grip_Wrappings_1,137616,-0.04%,
vtp-fort,Feet_Blue_Dragon_Soles_447,137585,-0.07%,
vtp-fort,MH_Spore_Keepers_Baton_447-OH_Echos_Maddening_Volume_450,137584,-0.07%,
vtp-fort,Back_Vibrant_Wildercloth_Shawl_447,137518,-0.11%,
vtp-fort,Back_Undulating_Sporecloak_447,137495,-0.13%,
vtp-fort,Waist_Vibrant_Wildercloth_Girdle_447,137481,-0.14%,
vtp-fort,Back_Voice_of_the_Silent_Star_431,137469,-0.15%,
vtp-fort,Feet_Vibrant_Wildercloth_Slippers_447,137412,-0.19%,
vtp-fort,MH_Lavaflow_Control_Rod_447-OH_Crackling_Codex_of_the_Isles_447,137330,-0.25%,
vtp-fort,Legs_Vibrant_Wildercloth_Slacks_447,137328,-0.25%,
vtp-fort,2h_Illuminating_Pillar_of_the_Isles_447,137261,-0.30%,
vtp-fort,2h_Weathered_Explorers_Stave_447,136290,-1.01%,
