profile,actor,DPS,increase,
vtp-fort,Embellishment_Blue_Silken_Lining_90%_2,143280,3.02%,
vtp-fort,Azureweave_Robe_Slippers_447,142859,2.72%,
vtp-fort,Embellishment_BSL1_90%_STAP_1,142716,2.62%,
vtp-fort,Azureweave_Mantle_Slippers_447,142494,2.46%,
vtp-fort,Embellishment_Blue_Silken_Lining_70%_2,142323,2.33%,
vtp-fort,Embellishment_BSL1_70%_STAP_1,142304,2.32%,
vtp-fort,Embellishment_Shadowflame_Tempered_Armor_Patch_2,142287,2.31%,
vtp-fort,Embellishment_BSL1_50%_STAP_1,141792,1.95%,
vtp-fort,Chronocloth_Gloves_Sash_447,141633,1.84%,
vtp-fort,Embellishment_Blue_Silken_Lining_50%_2,141392,1.66%,
vtp-fort,Embellishment_Blue_Silken_Lining_90%_1,141252,1.56%,
vtp-fort,Head_Hood_of_Surging_Time_447,141218,1.54%,
vtp-fort,Chronocloth_Sash_Leggings_447,141063,1.43%,
vtp-fort,Back_Voice_of_the_Silent_Star_457,140789,1.23%,
vtp-fort,Embellishment_Blue_Silken_Lining_70%_1,140736,1.19%,
vtp-fort,Embellishment_Shadowflame_Tempered_Armor_Patch_1,140727,1.19%,
vtp-fort,Shoulders_Amice_of_the_Blue_447,140591,1.09%,
vtp-fort,Neck_Elemental_Lariat_7Earth_447,140536,1.05%,
vtp-fort,Neck_Elemental_Lariat_7Air_447,140426,0.97%,
vtp-fort,Embellishment_Blue_Silken_Lining_50%_1,140300,0.88%,
vtp-fort,Back_Voice_of_the_Silent_Star_444,140035,0.69%,
vtp-fort,Embellishment_Potion_Absorption_Inhibitor_2,139850,0.56%,
vtp-fort,Back_Voice_of_the_Silent_Star_441,139806,0.52%,
vtp-fort,Wrists_Allied_Wristguards_of_Time_Dilation_447,139457,0.27%,
vtp-fort,Embellishment_Potion_Absorption_Inhibitor_1,139393,0.23%,
vtp-fort,Feet_Vibrant_Wildercloth_Slippers_447,139355,0.20%,
vtp-fort,MH_Lavaflow_Control_Rod_447-OH_Witherrot_Tome_447,139351,0.20%,
vtp-fort,Back_Voice_of_the_Silent_Star_431,139345,0.19%,
vtp-fort,Back_Vibrant_Wildercloth_Shawl_447,139280,0.15%,
vtp-fort,Back_Undulating_Sporecloak_447,139269,0.14%,
vtp-fort,Hands_Vibrant_Wildercloth_Handwraps_447,139255,0.13%,
vtp-fort,Finger2_Ring_Bound_Hourglass_447,139174,0.07%,
vtp-fort,Neck_Torc_of_Passed_Time_447,139170,0.07%,
vtp-fort,Finger1_Ring_Bound_Hourglass_447,139169,0.07%,
vtp-fort,Base,139078,0.00%,
vtp-fort,Wrists_Vibrant_Wildercloth_Wristwraps_447,139075,0.00%,
vtp-fort,Embellishment_Bronzed_Grip_Wrappings_2,139060,-0.01%,
vtp-fort,Embellishment_Bronzed_Grip_Wrappings_1,139011,-0.05%,
vtp-fort,Waist_Vibrant_Wildercloth_Girdle_447,138960,-0.08%,
vtp-fort,MH_Spore_Keepers_Baton_447-OH_Echos_Maddening_Volume_450,138905,-0.12%,
vtp-fort,Feet_Blue_Dragon_Soles_447,138826,-0.18%,
vtp-fort,Legs_Vibrant_Wildercloth_Slacks_447,138586,-0.35%,
vtp-fort,Shoulders_Vibrant_Wildercloth_Shoulderspikes_447,138507,-0.41%,
vtp-fort,MH_Lavaflow_Control_Rod_447-OH_Crackling_Codex_of_the_Isles_447,138322,-0.54%,
vtp-fort,2h_Illuminating_Pillar_of_the_Isles_447,138284,-0.57%,
vtp-fort,Head_Vibrant_Wildercloth_Headcover_447,138206,-0.63%,
vtp-fort,2h_Weathered_Explorers_Stave_447,137180,-1.36%,
