profile,actor,DPS,increase,
vtp-fort,Embellishment_Blue_Silken_Lining_90%_2,133157,2.89%,
vtp-fort,Embellishment_BSL1_90%_STAP_1,132761,2.58%,
vtp-fort,Azureweave_Robe_Slippers_447,132534,2.40%,
vtp-fort,Embellishment_Blue_Silken_Lining_70%_2,132306,2.23%,
vtp-fort,Embellishment_BSL1_70%_STAP_1,132293,2.22%,
vtp-fort,Embellishment_Shadowflame_Tempered_Armor_Patch_2,132263,2.19%,
vtp-fort,Azureweave_Mantle_Slippers_447,132165,2.12%,
vtp-fort,Embellishment_BSL1_50%_STAP_1,131852,1.88%,
vtp-fort,Embellishment_Blue_Silken_Lining_50%_2,131359,1.50%,
vtp-fort,Embellishment_Blue_Silken_Lining_90%_1,131151,1.34%,
vtp-fort,Chronocloth_Gloves_Sash_447,130899,1.14%,
vtp-fort,Embellishment_Shadowflame_Tempered_Armor_Patch_1,130829,1.09%,
vtp-fort,Neck_Elemental_Lariat_7Earth_447,130797,1.06%,
vtp-fort,Embellishment_Blue_Silken_Lining_70%_1,130724,1.01%,
vtp-fort,Neck_Elemental_Lariat_7Air_447,130655,0.95%,
vtp-fort,Shoulders_Amice_of_the_Blue_447,130444,0.79%,
vtp-fort,Embellishment_Blue_Silken_Lining_50%_1,130325,0.70%,
vtp-fort,Back_Voice_of_the_Silent_Star_457,130072,0.50%,
vtp-fort,Head_Hood_of_Surging_Time_447,129898,0.37%,
vtp-fort,Embellishment_Potion_Absorption_Inhibitor_2,129891,0.36%,
vtp-fort,Wrists_Allied_Wristguards_of_Time_Dilation_447,129825,0.31%,
vtp-fort,Chronocloth_Sash_Leggings_447,129822,0.31%,
vtp-fort,Neck_Torc_of_Passed_Time_447,129726,0.23%,
vtp-fort,Finger1_Ring_Bound_Hourglass_447,129670,0.19%,
vtp-fort,Embellishment_Potion_Absorption_Inhibitor_1,129656,0.18%,
vtp-fort,MH_Lavaflow_Control_Rod_447-OH_Witherrot_Tome_447,129643,0.17%,
vtp-fort,MH_Spore_Keepers_Baton_447-OH_Echos_Maddening_Volume_450,129627,0.16%,
vtp-fort,Back_Voice_of_the_Silent_Star_447,129605,0.14%,
vtp-fort,Finger2_Ring_Bound_Hourglass_447,129590,0.13%,
vtp-fort,Wrists_Vibrant_Wildercloth_Wristwraps_447,129563,0.11%,
vtp-fort,Back_Voice_of_the_Silent_Star_444,129543,0.09%,
vtp-fort,Feet_Blue_Dragon_Soles_447,129453,0.02%,
vtp-fort,Back_Voice_of_the_Silent_Star_441,129443,0.02%,
vtp-fort,Embellishment_Bronzed_Grip_Wrappings_2,129426,0.00%,
vtp-fort,Base,129423,0.00%,
vtp-fort,Back_Undulating_Sporecloak_447,129377,-0.04%,
vtp-fort,Embellishment_Bronzed_Grip_Wrappings_1,129349,-0.06%,
vtp-fort,Hands_Vibrant_Wildercloth_Handwraps_447,129313,-0.08%,
vtp-fort,Waist_Vibrant_Wildercloth_Girdle_447,129256,-0.13%,
vtp-fort,Back_Vibrant_Wildercloth_Shawl_447,129251,-0.13%,
vtp-fort,Feet_Vibrant_Wildercloth_Slippers_447,129228,-0.15%,
vtp-fort,Shoulders_Vibrant_Wildercloth_Shoulderspikes_447,129117,-0.24%,
vtp-fort,Back_Voice_of_the_Silent_Star_431,129084,-0.26%,
vtp-fort,Head_Vibrant_Wildercloth_Headcover_447,129047,-0.29%,
vtp-fort,2h_Illuminating_Pillar_of_the_Isles_447,128951,-0.36%,
vtp-fort,Legs_Vibrant_Wildercloth_Slacks_447,128937,-0.38%,
vtp-fort,MH_Lavaflow_Control_Rod_447-OH_Crackling_Codex_of_the_Isles_447,128798,-0.48%,
vtp-fort,2h_Weathered_Explorers_Stave_447,127861,-1.21%,
vtp-fort,Feet_Imbued_Frostweave_Slippers_441,119697,-7.51%,
vtp-fort,2h_Iridal_the_Earths_Master_441,98416,-23.96%,
