profile,actor,DPS,increase,
vtp-tyran,Embellishment_Blue_Silken_Lining_90%_2,124750,2.99%,
vtp-tyran,Embellishment_BSL1_90%_STAP_1,124508,2.79%,
vtp-tyran,Embellishment_Shadowflame_Tempered_Armor_Patch_2,124165,2.51%,
vtp-tyran,Embellishment_BSL1_70%_STAP_1,124107,2.46%,
vtp-tyran,Embellishment_Blue_Silken_Lining_70%_2,123935,2.32%,
vtp-tyran,Azureweave_Robe_Slippers_447,123926,2.31%,
vtp-tyran,Embellishment_BSL1_50%_STAP_1,123676,2.10%,
vtp-tyran,Azureweave_Mantle_Slippers_447,123589,2.03%,
vtp-tyran,Embellishment_Blue_Silken_Lining_50%_2,123216,1.72%,
vtp-tyran,Embellishment_Blue_Silken_Lining_90%_1,123040,1.58%,
vtp-tyran,Chronocloth_Gloves_Sash_447,122990,1.54%,
vtp-tyran,Embellishment_Shadowflame_Tempered_Armor_Patch_1,122791,1.37%,
vtp-tyran,Embellishment_Blue_Silken_Lining_70%_1,122619,1.23%,
vtp-tyran,Neck_Elemental_Lariat_7Earth_447,122534,1.16%,
vtp-tyran,Neck_Elemental_Lariat_7Air_447,122385,1.04%,
vtp-tyran,Back_Voice_of_the_Silent_Star_457,122282,0.95%,
vtp-tyran,Embellishment_Blue_Silken_Lining_50%_1,122221,0.90%,
vtp-tyran,Chronocloth_Sash_Leggings_447,122095,0.80%,
vtp-tyran,Shoulders_Amice_of_the_Blue_447,122066,0.78%,
vtp-tyran,Back_Voice_of_the_Silent_Star_447,121774,0.53%,
vtp-tyran,Embellishment_Potion_Absorption_Inhibitor_2,121720,0.49%,
vtp-tyran,Back_Voice_of_the_Silent_Star_444,121633,0.42%,
vtp-tyran,Back_Voice_of_the_Silent_Star_441,121549,0.35%,
vtp-tyran,Head_Hood_of_Surging_Time_447,121543,0.34%,
vtp-tyran,Embellishment_Potion_Absorption_Inhibitor_1,121469,0.28%,
vtp-tyran,Wrists_Allied_Wristguards_of_Time_Dilation_447,121463,0.28%,
vtp-tyran,MH_Spore_Keepers_Baton_447-OH_Echos_Maddening_Volume_450,121430,0.25%,
vtp-tyran,Finger1_Ring_Bound_Hourglass_447,121313,0.15%,
vtp-tyran,MH_Lavaflow_Control_Rod_447-OH_Witherrot_Tome_447,121310,0.15%,
vtp-tyran,Neck_Torc_of_Passed_Time_447,121285,0.13%,
vtp-tyran,Finger2_Ring_Bound_Hourglass_447,121256,0.11%,
vtp-tyran,Wrists_Vibrant_Wildercloth_Wristwraps_447,121234,0.09%,
vtp-tyran,Back_Vibrant_Wildercloth_Shawl_447,121212,0.07%,
vtp-tyran,Base,121127,0.00%,
vtp-tyran,Back_Voice_of_the_Silent_Star_431,121127,0.00%,
vtp-tyran,Embellishment_Bronzed_Grip_Wrappings_1,121119,-0.01%,
vtp-tyran,Feet_Vibrant_Wildercloth_Slippers_447,121098,-0.02%,
vtp-tyran,Embellishment_Bronzed_Grip_Wrappings_2,121063,-0.05%,
vtp-tyran,Feet_Blue_Dragon_Soles_447,121019,-0.09%,
vtp-tyran,Back_Undulating_Sporecloak_447,120972,-0.13%,
vtp-tyran,Waist_Vibrant_Wildercloth_Girdle_447,120921,-0.17%,
vtp-tyran,Hands_Vibrant_Wildercloth_Handwraps_447,120842,-0.24%,
vtp-tyran,Feet_Imbued_Frostweave_Slippers_441,120465,-0.55%,
vtp-tyran,Legs_Vibrant_Wildercloth_Slacks_447,120401,-0.60%,
vtp-tyran,Shoulders_Vibrant_Wildercloth_Shoulderspikes_447,120388,-0.61%,
vtp-tyran,2h_Illuminating_Pillar_of_the_Isles_447,120316,-0.67%,
vtp-tyran,Head_Vibrant_Wildercloth_Headcover_447,120259,-0.72%,
vtp-tyran,MH_Lavaflow_Control_Rod_447-OH_Crackling_Codex_of_the_Isles_447,120175,-0.79%,
vtp-tyran,2h_Iridal_the_Earths_Master_441,119086,-1.69%,
vtp-tyran,2h_Weathered_Explorers_Stave_447,118905,-1.83%,
