profile,actor,DPS,increase,
2T,M6_V0_H6_C0,70529,63.54%,
2T,M5_V0_H7_C0,70494,63.45%,
2T,M4_V0_H8_C0,70492,63.45%,
2T,M5_V1_H6_C0,70380,63.19%,
2T,M5_V0_H6_C1,70377,63.18%,
2T,M3_V0_H9_C0,70298,63.00%,
2T,M4_V0_H7_C1,70274,62.94%,
2T,M4_V1_H7_C0,70274,62.94%,
2T,M3_V1_H8_C0,70179,62.72%,
2T,M3_V0_H8_C1,70164,62.69%,
2T,M4_V1_H6_C1,70136,62.62%,
2T,M4_V2_H6_C0,70106,62.55%,
2T,M4_V0_H6_C2,70075,62.48%,
2T,M7_V0_H5_C0,70052,62.43%,
2T,M6_V1_H5_C0,69994,62.29%,
2T,M6_V0_H5_C1,69972,62.24%,
2T,M3_V1_H7_C1,69943,62.18%,
2T,M3_V0_H7_C2,69888,62.05%,
2T,M3_V2_H7_C0,69887,62.05%,
2T,M2_V1_H9_C0,69886,62.04%,
2T,M2_V0_H9_C1,69877,62.02%,
2T,M5_V1_H5_C1,69824,61.90%,
2T,M3_V1_H6_C2,69788,61.82%,
2T,M3_V2_H6_C1,69772,61.78%,
2T,M2_V1_H8_C1,69756,61.74%,
2T,M5_V2_H5_C0,69749,61.73%,
2T,M5_V0_H5_C2,69741,61.71%,
2T,M2_V2_H8_C0,69711,61.64%,
2T,M2_V0_H8_C2,69675,61.55%,
2T,M3_V3_H6_C0,69650,61.50%,
2T,M3_V0_H6_C3,69619,61.43%,
2T,M2_V0_H10_C0,69562,61.29%,
2T,M4_V2_H5_C1,69532,61.22%,
2T,M4_V1_H5_C2,69500,61.15%,
2T,M2_V2_H7_C1,69468,61.07%,
2T,M2_V1_H7_C2,69460,61.06%,
2T,M4_V3_H5_C0,69419,60.96%,
2T,M4_V0_H5_C3,69387,60.89%,
2T,M1_V1_H9_C1,69355,60.81%,
2T,M2_V3_H7_C0,69336,60.77%,
2T,M2_V0_H7_C3,69310,60.71%,
2T,M1_V2_H9_C0,69299,60.68%,
2T,M2_V2_H6_C2,69290,60.66%,
2T,M1_V0_H9_C2,69288,60.66%,
2T,M7_V1_H4_C0,69253,60.58%,
2T,M7_V0_H4_C1,69248,60.56%,
2T,M2_V1_H6_C3,69230,60.52%,
2T,M2_V3_H6_C1,69228,60.52%,
2T,M1_V0_H11_C0,69226,60.51%,
2T,M6_V1_H4_C1,69199,60.45%,
2T,M1_V2_H8_C1,69188,60.43%,
2T,M1_V1_H8_C2,69172,60.39%,
2T,M6_V2_H4_C0,69154,60.35%,
2T,M3_V2_H5_C2,69146,60.33%,
2T,M6_V0_H4_C2,69111,60.25%,
2T,M3_V3_H5_C1,69069,60.15%,
2T,M3_V1_H5_C3,69063,60.13%,
2T,M8_V0_H4_C0,69061,60.13%,
2T,M1_V1_H10_C0,69059,60.13%,
2T,M1_V0_H10_C1,69052,60.11%,
2T,M2_V0_H6_C4,69042,60.09%,
2T,M2_V4_H6_C0,69038,60.08%,
2T,M1_V0_H8_C3,69033,60.07%,
2T,M1_V3_H8_C0,69014,60.02%,
2T,M5_V2_H4_C1,69003,60.00%,
2T,M5_V1_H4_C2,69003,60.00%,
2T,M3_V4_H5_C0,68931,59.83%,
2T,M5_V3_H4_C0,68891,59.74%,
2T,M3_V0_H5_C4,68880,59.71%,
2T,M5_V0_H4_C3,68868,59.68%,
2T,M1_V2_H7_C2,68855,59.65%,
2T,M1_V3_H7_C1,68813,59.56%,
2T,M1_V1_H7_C3,68812,59.55%,
2T,M4_V2_H4_C2,68728,59.36%,
2T,M4_V3_H4_C1,68692,59.28%,
2T,M4_V1_H4_C3,68673,59.23%,
2T,M0_V1_H9_C2,68654,59.19%,
2T,M0_V2_H9_C1,68648,59.17%,
2T,M1_V4_H7_C0,68642,59.16%,
2T,M1_V3_H6_C2,68632,59.14%,
2T,M1_V0_H7_C4,68611,59.09%,
2T,M1_V2_H6_C3,68609,59.08%,
2T,M2_V3_H5_C2,68600,59.06%,
2T,M2_V2_H5_C3,68591,59.04%,
2T,M0_V0_H11_C1,68591,59.04%,
2T,M0_V1_H11_C0,68581,59.02%,
2T,M0_V3_H9_C0,68530,58.90%,
2T,M1_V4_H6_C1,68528,58.90%,
2T,M0_V0_H9_C3,68515,58.87%,
2T,M1_V1_H6_C4,68504,58.84%,
2T,M2_V4_H5_C1,68480,58.78%,
2T,M4_V0_H4_C4,68479,58.78%,
2T,M2_V1_H5_C4,68470,58.76%,
2T,M0_V2_H8_C2,68459,58.73%,
2T,M4_V4_H4_C0,68458,58.73%,
2T,M7_V1_H3_C1,68454,58.72%,
2T,M0_V1_H10_C1,68409,58.62%,
2T,M0_V3_H8_C1,68406,58.61%,
2T,M7_V2_H3_C0,68401,58.60%,
2T,M0_V1_H8_C3,68385,58.56%,
2T,M7_V0_H3_C2,68381,58.55%,
2T,M6_V2_H3_C1,68357,58.50%,
2T,M6_V1_H3_C2,68341,58.46%,
2T,M0_V0_H10_C2,68329,58.43%,
2T,M3_V3_H4_C2,68329,58.43%,
2T,M0_V2_H10_C0,68329,58.43%,
2T,M3_V2_H4_C3,68318,58.41%,
2T,M1_V5_H6_C0,68292,58.35%,
2T,M8_V1_H3_C0,68281,58.32%,
2T,M8_V0_H3_C1,68271,58.30%,
2T,M1_V0_H6_C5,68259,58.27%,
2T,M2_V5_H5_C0,68245,58.24%,
2T,M6_V3_H3_C0,68222,58.19%,
2T,M6_V0_H3_C3,68216,58.17%,
2T,M3_V4_H4_C1,68208,58.15%,
2T,M0_V0_H8_C4,68200,58.14%,
2T,M0_V4_H8_C0,68193,58.12%,
2T,M2_V0_H5_C5,68191,58.11%,
2T,M3_V1_H4_C4,68163,58.05%,
2T,M5_V2_H3_C2,68156,58.03%,
2T,M0_V2_H7_C3,68134,57.98%,
2T,M5_V3_H3_C1,68121,57.95%,
2T,M0_V3_H7_C2,68115,57.94%,
2T,M5_V1_H3_C3,68110,57.93%,
2T,M0_V0_H12_C0,68058,57.80%,
2T,M0_V1_H7_C4,68002,57.68%,
2T,M0_V4_H7_C1,68002,57.68%,
2T,M9_V0_H3_C0,67960,57.58%,
2T,M3_V5_H4_C0,67940,57.53%,
2T,M1_V3_H5_C3,67940,57.53%,
2T,M3_V0_H4_C5,67932,57.51%,
2T,M5_V4_H3_C0,67926,57.50%,
2T,M1_V4_H5_C2,67921,57.49%,
2T,M5_V0_H3_C4,67897,57.43%,
2T,M0_V3_H6_C3,67891,57.42%,
2T,M1_V2_H5_C4,67886,57.41%,
2T,M4_V3_H3_C2,67841,57.30%,
2T,M4_V2_H3_C3,67831,57.28%,
2T,M0_V2_H6_C4,67828,57.27%,
2T,M0_V4_H6_C2,67827,57.27%,
2T,M2_V3_H4_C3,67782,57.16%,
2T,M0_V0_H7_C5,67760,57.11%,
2T,M2_V4_H4_C2,67746,57.08%,
2T,M0_V5_H7_C0,67735,57.06%,
2T,M2_V2_H4_C4,67728,57.04%,
2T,M1_V5_H5_C1,67726,57.04%,
2T,M4_V4_H3_C1,67721,57.02%,
2T,M1_V1_H5_C5,67688,56.95%,
