profile,actor,DPS,increase,
4T,M4_V0_H8_C0,143625,63.60%,
4T,M5_V0_H7_C0,143466,63.42%,
4T,M3_V0_H9_C0,143328,63.26%,
4T,M4_V0_H7_C1,143134,63.04%,
4T,M3_V0_H8_C1,143119,63.03%,
4T,M6_V0_H6_C0,143041,62.94%,
4T,M5_V0_H6_C1,142928,62.81%,
4T,M4_V1_H7_C0,142834,62.70%,
4T,M3_V1_H8_C0,142819,62.69%,
4T,M2_V0_H9_C1,142661,62.50%,
4T,M5_V1_H6_C0,142539,62.37%,
4T,M4_V0_H6_C2,142514,62.34%,
4T,M3_V0_H7_C2,142512,62.34%,
4T,M3_V1_H7_C1,142338,62.14%,
4T,M2_V0_H8_C2,142279,62.07%,
4T,M4_V1_H6_C1,142276,62.07%,
4T,M2_V1_H9_C0,142250,62.04%,
4T,M2_V1_H8_C1,142100,61.87%,
4T,M2_V0_H10_C0,141889,61.63%,
4T,M3_V2_H7_C0,141885,61.62%,
4T,M6_V0_H5_C1,141878,61.61%,
4T,M4_V2_H6_C0,141843,61.57%,
4T,M7_V0_H5_C0,141776,61.50%,
4T,M3_V0_H6_C3,141737,61.45%,
4T,M5_V0_H5_C2,141686,61.39%,
4T,M3_V1_H6_C2,141683,61.39%,
4T,M2_V2_H8_C0,141619,61.32%,
4T,M2_V0_H7_C3,141593,61.29%,
4T,M1_V0_H9_C2,141566,61.26%,
4T,M6_V1_H5_C0,141506,61.19%,
4T,M2_V1_H7_C2,141478,61.16%,
4T,M3_V2_H6_C1,141418,61.09%,
4T,M5_V1_H5_C1,141362,61.03%,
4T,M1_V1_H9_C1,141322,60.98%,
4T,M2_V2_H7_C1,141209,60.85%,
4T,M4_V0_H5_C3,141157,60.79%,
4T,M1_V0_H8_C3,141101,60.73%,
4T,M1_V1_H8_C2,141084,60.71%,
4T,M4_V1_H5_C2,141076,60.70%,
4T,M5_V2_H5_C0,140966,60.57%,
4T,M1_V0_H10_C1,140965,60.57%,
4T,M1_V2_H9_C0,140951,60.56%,
4T,M7_V0_H4_C1,140799,60.38%,
4T,M3_V3_H6_C0,140796,60.38%,
4T,M4_V2_H5_C1,140780,60.36%,
4T,M6_V0_H4_C2,140746,60.32%,
4T,M1_V2_H8_C1,140744,60.32%,
4T,M2_V1_H6_C3,140716,60.29%,
4T,M2_V0_H6_C4,140670,60.24%,
4T,M1_V0_H11_C0,140652,60.22%,
4T,M1_V1_H10_C0,140644,60.21%,
4T,M2_V2_H6_C2,140610,60.17%,
4T,M2_V3_H7_C0,140598,60.15%,
4T,M6_V1_H4_C1,140497,60.04%,
4T,M7_V1_H4_C0,140405,59.93%,
4T,M5_V0_H4_C3,140396,59.93%,
4T,M1_V1_H7_C3,140348,59.87%,
4T,M5_V1_H4_C2,140275,59.79%,
4T,M3_V1_H5_C3,140256,59.76%,
4T,M1_V3_H8_C0,140229,59.73%,
4T,M1_V0_H7_C4,140225,59.73%,
4T,M3_V0_H5_C4,140206,59.71%,
4T,M3_V2_H5_C2,140180,59.68%,
4T,M2_V3_H6_C1,140177,59.68%,
4T,M4_V3_H5_C0,140169,59.67%,
4T,M8_V0_H4_C0,140168,59.67%,
4T,M1_V2_H7_C2,140148,59.64%,
4T,M6_V2_H4_C0,140104,59.59%,
4T,M0_V1_H9_C2,140057,59.54%,
4T,M5_V2_H4_C1,140050,59.53%,
4T,M0_V0_H9_C3,140019,59.50%,
4T,M4_V1_H4_C3,139888,59.35%,
4T,M1_V3_H7_C1,139773,59.22%,
4T,M0_V2_H9_C1,139727,59.16%,
