profile,actor,DPS,increase,
Dungeons,M5_V0_H6_C0,122655,80.48%,
Dungeons,M4_V0_H6_C1,122514,80.27%,
Dungeons,M4_V0_H7_C0,122465,80.20%,
Dungeons,M4_V1_H6_C0,122223,79.84%,
Dungeons,M5_V0_H5_C1,122186,79.79%,
Dungeons,M3_V0_H7_C1,122061,79.60%,
Dungeons,M5_V1_H5_C0,121890,79.35%,
Dungeons,M3_V0_H6_C2,121884,79.34%,
Dungeons,M4_V0_H5_C2,121825,79.26%,
Dungeons,M3_V1_H6_C1,121811,79.23%,
Dungeons,M4_V1_H5_C1,121775,79.18%,
Dungeons,M3_V1_H7_C0,121758,79.16%,
Dungeons,M6_V0_H5_C0,121609,78.94%,
Dungeons,M3_V2_H6_C0,121326,78.52%,
Dungeons,M4_V2_H5_C0,121277,78.45%,
Dungeons,M3_V0_H8_C0,121218,78.36%,
Dungeons,M3_V1_H5_C2,121151,78.26%,
Dungeons,M2_V0_H7_C2,121122,78.22%,
Dungeons,M2_V1_H7_C1,121056,78.12%,
Dungeons,M3_V0_H5_C3,121016,78.06%,
Dungeons,M5_V0_H4_C2,120968,77.99%,
Dungeons,M5_V1_H4_C1,120911,77.91%,
Dungeons,M3_V2_H5_C1,120889,77.88%,
Dungeons,M2_V1_H6_C2,120881,77.87%,
Dungeons,M2_V0_H6_C3,120768,77.70%,
Dungeons,M2_V0_H9_C0,120713,77.62%,
Dungeons,M6_V0_H4_C1,120635,77.50%,
Dungeons,M2_V2_H6_C1,120609,77.47%,
Dungeons,M4_V1_H4_C2,120576,77.42%,
Dungeons,M2_V2_H7_C0,120559,77.39%,
Dungeons,M2_V0_H8_C1,120512,77.32%,
Dungeons,M5_V2_H4_C0,120451,77.23%,
Dungeons,M4_V0_H4_C3,120437,77.21%,
Dungeons,M6_V1_H4_C0,120377,77.12%,
Dungeons,M4_V2_H4_C1,120304,77.02%,
Dungeons,M3_V3_H5_C0,120235,76.92%,
Dungeons,M2_V1_H8_C0,120222,76.90%,
Dungeons,M2_V1_H5_C3,120057,76.65%,
Dungeons,M2_V2_H5_C2,119968,76.52%,
Dungeons,M2_V3_H6_C0,119961,76.51%,
Dungeons,M7_V0_H4_C0,119821,76.31%,
Dungeons,M1_V1_H7_C2,119790,76.26%,
Dungeons,M3_V1_H4_C3,119770,76.23%,
Dungeons,M3_V2_H4_C2,119711,76.14%,
Dungeons,M2_V0_H5_C4,119700,76.13%,
Dungeons,M4_V3_H4_C0,119671,76.08%,
Dungeons,M1_V0_H7_C3,119668,76.08%,
Dungeons,M1_V0_H9_C1,119609,75.99%,
Dungeons,M2_V3_H5_C1,119538,75.89%,
Dungeons,M1_V2_H7_C1,119515,75.86%,
Dungeons,M5_V1_H3_C2,119443,75.75%,
Dungeons,M1_V1_H6_C3,119440,75.75%,
Dungeons,M3_V0_H4_C4,119411,75.70%,
Dungeons,M1_V2_H6_C2,119366,75.64%,
Dungeons,M1_V1_H9_C0,119320,75.57%,
Dungeons,M5_V0_H3_C3,119309,75.55%,
Dungeons,M1_V0_H8_C2,119259,75.48%,
Dungeons,M3_V3_H4_C1,119259,75.48%,
Dungeons,M5_V2_H3_C1,119181,75.36%,
Dungeons,M1_V1_H8_C1,119177,75.36%,
Dungeons,M6_V0_H3_C2,119155,75.33%,
Dungeons,M1_V0_H6_C4,119107,75.26%,
Dungeons,M6_V1_H3_C1,119090,75.23%,
Dungeons,M4_V1_H3_C3,118931,75.00%,
Dungeons,M1_V3_H6_C1,118922,74.98%,
Dungeons,M4_V2_H3_C2,118866,74.90%,
Dungeons,M1_V3_H7_C0,118853,74.88%,
Dungeons,M2_V4_H5_C0,118721,74.69%,
Dungeons,M1_V2_H8_C0,118688,74.64%,
Dungeons,M2_V2_H4_C3,118617,74.54%,
Dungeons,M6_V2_H3_C0,118606,74.52%,
Dungeons,M4_V0_H3_C4,118579,74.48%,
Dungeons,M7_V0_H3_C1,118534,74.41%,
Dungeons,M1_V2_H5_C3,118534,74.41%,
Dungeons,M5_V3_H3_C0,118530,74.41%,
Dungeons,M2_V1_H4_C4,118466,74.31%,
Dungeons,M3_V4_H4_C0,118451,74.29%,
Dungeons,M4_V3_H3_C1,118418,74.24%,
Dungeons,M1_V1_H5_C4,118397,74.21%,
Dungeons,M2_V3_H4_C2,118369,74.17%,
Dungeons,M1_V3_H5_C2,118291,74.06%,
Dungeons,M7_V1_H3_C0,118265,74.02%,
Dungeons,M1_V4_H6_C0,118104,73.78%,
Dungeons,M3_V2_H3_C3,118073,73.73%,
Dungeons,M0_V1_H7_C3,117979,73.60%,
Dungeons,M1_V0_H10_C0,117966,73.58%,
Dungeons,M3_V1_H3_C4,117938,73.54%,
Dungeons,M0_V2_H7_C2,117908,73.49%,
Dungeons,M0_V0_H9_C2,117908,73.49%,
Dungeons,M3_V3_H3_C2,117851,73.41%,
Dungeons,M0_V1_H9_C1,117817,73.36%,
Dungeons,M2_V4_H4_C1,117767,73.28%,
Dungeons,M2_V0_H4_C5,117693,73.18%,
Dungeons,M1_V4_H5_C1,117689,73.17%,
Dungeons,M0_V0_H7_C4,117686,73.16%,
Dungeons,M1_V0_H5_C5,117661,73.13%,
Dungeons,M4_V4_H3_C0,117599,73.04%,
Dungeons,M0_V2_H6_C3,117581,73.01%,
Dungeons,M0_V1_H8_C2,117569,72.99%,
Dungeons,M0_V3_H7_C1,117462,72.83%,
Dungeons,M0_V1_H6_C4,117452,72.82%,
Dungeons,M0_V0_H8_C3,117445,72.81%,
Dungeons,M0_V2_H9_C0,117329,72.64%,
Dungeons,M0_V3_H6_C2,117312,72.61%,
Dungeons,M0_V2_H8_C1,117276,72.56%,
Dungeons,M8_V0_H3_C0,117230,72.49%,
Dungeons,M3_V4_H3_C1,117224,72.49%,
Dungeons,M3_V0_H3_C5,117201,72.45%,
Dungeons,M5_V1_H2_C3,117186,72.43%,
Dungeons,M5_V2_H2_C2,117110,72.32%,
Dungeons,M1_V2_H4_C4,117007,72.17%,
Dungeons,M6_V1_H2_C2,117001,72.16%,
Dungeons,M1_V3_H4_C3,116972,72.11%,
Dungeons,M6_V0_H2_C3,116883,71.98%,
Dungeons,M5_V0_H2_C4,116856,71.94%,
Dungeons,M2_V2_H3_C4,116828,71.90%,
Dungeons,M2_V5_H4_C0,116816,71.88%,
Dungeons,M2_V3_H3_C3,116772,71.82%,
Dungeons,M6_V2_H2_C1,116763,71.81%,
Dungeons,M0_V0_H6_C5,116749,71.79%,
Dungeons,M1_V5_H5_C0,116744,71.78%,
Dungeons,M0_V4_H6_C1,116726,71.75%,
Dungeons,M5_V3_H2_C1,116687,71.69%,
Dungeons,M0_V4_H7_C0,116670,71.67%,
Dungeons,M0_V3_H8_C0,116641,71.63%,
Dungeons,M4_V2_H2_C3,116631,71.61%,
Dungeons,M0_V2_H5_C4,116575,71.53%,
Dungeons,M1_V4_H4_C2,116570,71.52%,
Dungeons,M0_V3_H5_C3,116533,71.47%,
Dungeons,M4_V1_H2_C4,116502,71.42%,
Dungeons,M0_V0_H10_C1,116464,71.37%,
Dungeons,M7_V0_H2_C2,116451,71.35%,
Dungeons,M1_V1_H4_C5,116450,71.35%,
Dungeons,M7_V1_H2_C1,116399,71.27%,
Dungeons,M4_V3_H2_C2,116378,71.24%,
Dungeons,M2_V4_H3_C2,116370,71.23%,
Dungeons,M2_V1_H3_C5,116286,71.10%,
Dungeons,M3_V5_H3_C0,116280,71.10%,
Dungeons,M0_V1_H10_C0,116158,70.92%,
Dungeons,M6_V3_H2_C0,116134,70.88%,
Dungeons,M0_V4_H5_C2,116127,70.87%,
Dungeons,M0_V1_H5_C5,116066,70.78%,
Dungeons,M7_V2_H2_C0,115959,70.62%,
Dungeons,M5_V4_H2_C0,115897,70.53%,
Dungeons,M1_V5_H4_C1,115829,70.43%,
Dungeons,M4_V4_H2_C1,115788,70.37%,
Dungeons,M0_V5_H6_C0,115765,70.34%,
Dungeons,M4_V0_H2_C5,115762,70.33%,
Dungeons,M3_V2_H2_C4,115684,70.22%,
Dungeons,M3_V3_H2_C3,115658,70.18%,
Dungeons,M2_V5_H3_C1,115616,70.12%,
Dungeons,M1_V0_H4_C6,115422,69.83%,
Dungeons,M8_V0_H2_C1,115368,69.75%,
Dungeons,M0_V5_H5_C1,115360,69.74%,
Dungeons,M3_V4_H2_C2,115222,69.54%,
Dungeons,M1_V3_H3_C4,115220,69.54%,
Dungeons,M2_V0_H3_C6,115216,69.53%,
Dungeons,M3_V1_H2_C5,115133,69.41%,
Dungeons,M8_V1_H2_C0,115098,69.36%,
Dungeons,M0_V0_H5_C6,115015,69.23%,
Dungeons,M0_V3_H4_C4,115012,69.23%,
Dungeons,M1_V4_H3_C3,115007,69.22%,
Dungeons,M4_V5_H2_C0,114827,68.96%,
Dungeons,M1_V2_H3_C5,114825,68.96%,
Dungeons,M0_V4_H4_C3,114814,68.94%,
Dungeons,M0_V2_H4_C5,114634,68.67%,
Dungeons,M1_V6_H4_C0,114618,68.65%,
Dungeons,M0_V0_H11_C0,114588,68.61%,
