profile,actor,DPS,increase,
Single,M6_V0_H6_C0,57034,69.28%,
Single,M7_V0_H5_C0,56945,69.01%,
Single,M5_V0_H7_C0,56904,68.89%,
Single,M5_V0_H6_C1,56729,68.37%,
Single,M6_V0_H5_C1,56713,68.32%,
Single,M5_V1_H6_C0,56631,68.08%,
Single,M4_V0_H8_C0,56626,68.07%,
Single,M6_V1_H5_C0,56592,67.97%,
Single,M4_V0_H7_C1,56476,67.62%,
Single,M4_V1_H7_C0,56373,67.31%,
Single,M5_V0_H5_C2,56355,67.26%,
Single,M5_V1_H5_C1,56292,67.07%,
Single,M4_V0_H6_C2,56259,66.98%,
Single,M7_V0_H4_C1,56210,66.83%,
Single,M4_V1_H6_C1,56205,66.82%,
Single,M8_V0_H4_C0,56197,66.79%,
Single,M5_V2_H5_C0,56110,66.53%,
Single,M3_V0_H8_C1,56109,66.53%,
Single,M7_V1_H4_C0,56094,66.48%,
Single,M3_V0_H9_C0,56079,66.44%,
Single,M4_V2_H6_C0,56044,66.34%,
Single,M3_V1_H8_C0,55960,66.09%,
Single,M6_V0_H4_C2,55931,66.00%,
Single,M3_V0_H7_C2,55919,65.97%,
Single,M6_V1_H4_C1,55882,65.86%,
Single,M3_V1_H7_C1,55871,65.83%,
Single,M4_V1_H5_C2,55833,65.71%,
Single,M4_V0_H5_C3,55830,65.70%,
Single,M6_V2_H4_C0,55732,65.41%,
Single,M4_V2_H5_C1,55723,65.38%,
Single,M3_V2_H7_C0,55680,65.26%,
Single,M3_V0_H6_C3,55650,65.17%,
Single,M3_V1_H6_C2,55640,65.14%,
Single,M8_V0_H3_C1,55634,65.12%,
Single,M7_V0_H3_C2,55610,65.05%,
Single,M3_V2_H6_C1,55545,64.86%,
Single,M5_V1_H4_C2,55541,64.85%,
Single,M7_V1_H3_C1,55536,64.83%,
Single,M5_V0_H4_C3,55514,64.76%,
Single,M8_V1_H3_C0,55503,64.73%,
Single,M4_V3_H5_C0,55500,64.72%,
Single,M9_V0_H3_C0,55486,64.68%,
Single,M2_V0_H9_C1,55468,64.63%,
