profile,actor,DPS,increase,
bhh-tyran,M4_V0_H5_C2,132543,60.59%,
bhh-tyran,M5_V0_H5_C1,132534,60.58%,
bhh-tyran,M4_V0_H6_C1,132485,60.52%,
bhh-tyran,M5_V0_H6_C0,132183,60.16%,
bhh-tyran,M3_V0_H6_C2,132169,60.14%,
bhh-tyran,M5_V0_H4_C2,132088,60.04%,
bhh-tyran,M4_V1_H5_C1,132081,60.03%,
bhh-tyran,M3_V0_H5_C3,131974,59.90%,
bhh-tyran,M3_V1_H5_C2,131831,59.73%,
bhh-tyran,M4_V0_H4_C3,131784,59.67%,
bhh-tyran,M4_V1_H6_C0,131772,59.66%,
bhh-tyran,M5_V1_H5_C0,131744,59.63%,
bhh-tyran,M3_V1_H6_C1,131718,59.59%,
bhh-tyran,M4_V1_H4_C2,131695,59.57%,
bhh-tyran,M5_V1_H4_C1,131671,59.54%,
bhh-tyran,M6_V0_H5_C0,131404,59.21%,
bhh-tyran,M6_V0_H4_C1,131329,59.12%,
bhh-tyran,M2_V0_H6_C3,131325,59.12%,
bhh-tyran,M4_V0_H7_C0,131275,59.06%,
bhh-tyran,M3_V0_H7_C1,131223,58.99%,
bhh-tyran,M2_V1_H6_C2,131217,58.99%,
bhh-tyran,M4_V2_H5_C0,131184,58.95%,
bhh-tyran,M3_V2_H5_C1,131176,58.94%,
bhh-tyran,M3_V1_H4_C3,131132,58.88%,
bhh-tyran,M3_V0_H4_C4,131101,58.85%,
bhh-tyran,M4_V2_H4_C1,131025,58.75%,
bhh-tyran,M2_V1_H5_C3,130958,58.67%,
bhh-tyran,M3_V2_H6_C0,130862,58.56%,
bhh-tyran,M2_V0_H5_C4,130844,58.54%,
bhh-tyran,M3_V2_H4_C2,130794,58.47%,
bhh-tyran,M5_V2_H4_C0,130780,58.46%,
bhh-tyran,M6_V1_H4_C0,130616,58.26%,
bhh-tyran,M2_V2_H6_C1,130600,58.24%,
bhh-tyran,M2_V2_H5_C2,130576,58.21%,
bhh-tyran,M2_V0_H7_C2,130573,58.21%,
bhh-tyran,M5_V0_H3_C3,130519,58.14%,
bhh-tyran,M3_V1_H7_C0,130511,58.13%,
bhh-tyran,M5_V1_H3_C2,130356,57.94%,
bhh-tyran,M2_V1_H7_C1,130198,57.75%,
bhh-tyran,M4_V1_H3_C3,130154,57.70%,
bhh-tyran,M2_V1_H4_C4,130091,57.62%,
bhh-tyran,M7_V0_H4_C0,130079,57.61%,
bhh-tyran,M4_V0_H3_C4,130055,57.58%,
bhh-tyran,M6_V0_H3_C2,130036,57.56%,
bhh-tyran,M3_V3_H5_C0,130026,57.54%,
