profile,actor,DPS,increase,
cos-tyran,M5_V0_H7_C0,51488,53.49%,
cos-tyran,M4_V0_H8_C0,51424,53.30%,
cos-tyran,M4_V0_H7_C1,51323,53.00%,
cos-tyran,M6_V0_H6_C0,51321,52.99%,
cos-tyran,M4_V1_H7_C0,51235,52.74%,
cos-tyran,M3_V0_H8_C1,51215,52.68%,
cos-tyran,M5_V0_H6_C1,51204,52.64%,
cos-tyran,M3_V0_H9_C0,51156,52.50%,
cos-tyran,M5_V1_H6_C0,51150,52.48%,
cos-tyran,M3_V1_H8_C0,51093,52.31%,
cos-tyran,M3_V0_H7_C2,51046,52.17%,
cos-tyran,M3_V1_H7_C1,51007,52.06%,
cos-tyran,M4_V0_H6_C2,50985,51.99%,
cos-tyran,M4_V1_H6_C1,50963,51.92%,
cos-tyran,M3_V2_H7_C0,50883,51.69%,
cos-tyran,M2_V0_H9_C1,50861,51.62%,
cos-tyran,M2_V0_H8_C2,50858,51.61%,
cos-tyran,M7_V0_H5_C0,50853,51.60%,
cos-tyran,M6_V0_H5_C1,50849,51.58%,
cos-tyran,M4_V2_H6_C0,50827,51.52%,
cos-tyran,M2_V1_H8_C1,50817,51.49%,
cos-tyran,M2_V1_H9_C0,50789,51.41%,
cos-tyran,M6_V1_H5_C0,50779,51.38%,
cos-tyran,M5_V0_H5_C2,50704,51.15%,
cos-tyran,M3_V0_H6_C3,50675,51.07%,
cos-tyran,M2_V2_H8_C0,50672,51.06%,
cos-tyran,M3_V1_H6_C2,50672,51.06%,
cos-tyran,M2_V1_H7_C2,50667,51.04%,
cos-tyran,M5_V1_H5_C1,50664,51.03%,
cos-tyran,M3_V2_H6_C1,50641,50.96%,
cos-tyran,M2_V0_H7_C3,50625,50.92%,
cos-tyran,M2_V0_H10_C0,50589,50.81%,
cos-tyran,M2_V2_H7_C1,50569,50.75%,
cos-tyran,M5_V2_H5_C0,50528,50.63%,
cos-tyran,M4_V1_H5_C2,50471,50.46%,
cos-tyran,M4_V0_H5_C3,50453,50.40%,
cos-tyran,M3_V3_H6_C0,50452,50.40%,
cos-tyran,M7_V0_H4_C1,50452,50.40%,
cos-tyran,M1_V1_H9_C1,50448,50.39%,
cos-tyran,M1_V0_H9_C2,50442,50.37%,
cos-tyran,M2_V3_H7_C0,50408,50.27%,
cos-tyran,M4_V2_H5_C1,50391,50.22%,
cos-tyran,M1_V1_H8_C2,50382,50.19%,
cos-tyran,M6_V0_H4_C2,50372,50.16%,
cos-tyran,M1_V0_H8_C3,50369,50.15%,
cos-tyran,M7_V1_H4_C0,50359,50.12%,
cos-tyran,M6_V1_H4_C1,50345,50.08%,
cos-tyran,M2_V1_H6_C3,50337,50.06%,
cos-tyran,M1_V2_H9_C0,50314,49.99%,
cos-tyran,M8_V0_H4_C0,50314,49.99%,
cos-tyran,M1_V2_H8_C1,50312,49.98%,
cos-tyran,M2_V2_H6_C2,50292,49.92%,
cos-tyran,M2_V0_H6_C4,50271,49.86%,
cos-tyran,M1_V0_H10_C1,50246,49.79%,
cos-tyran,M6_V2_H4_C0,50230,49.74%,
cos-tyran,M5_V1_H4_C2,50227,49.73%,
cos-tyran,M4_V3_H5_C0,50220,49.71%,
cos-tyran,M1_V1_H7_C3,50215,49.69%,
cos-tyran,M1_V0_H11_C0,50207,49.67%,
cos-tyran,M1_V2_H7_C2,50187,49.61%,
cos-tyran,M5_V0_H4_C3,50183,49.60%,
cos-tyran,M3_V1_H5_C3,50174,49.57%,
cos-tyran,M1_V3_H8_C0,50161,49.53%,
cos-tyran,M1_V1_H10_C0,50157,49.52%,
cos-tyran,M3_V2_H5_C2,50152,49.51%,
cos-tyran,M2_V3_H6_C1,50148,49.49%,
cos-tyran,M1_V0_H7_C4,50139,49.47%,
cos-tyran,M5_V2_H4_C1,50137,49.46%,
cos-tyran,M3_V0_H5_C4,50103,49.36%,
cos-tyran,M1_V3_H7_C1,50070,49.26%,
cos-tyran,M3_V3_H5_C1,50041,49.18%,
cos-tyran,M4_V1_H4_C3,49981,49.00%,
cos-tyran,M0_V1_H9_C2,49979,48.99%,
cos-tyran,M0_V0_H9_C3,49962,48.94%,
cos-tyran,M5_V3_H4_C0,49959,48.93%,
cos-tyran,M2_V4_H6_C0,49955,48.92%,
cos-tyran,M4_V2_H4_C2,49949,48.90%,
cos-tyran,M4_V0_H4_C4,49923,48.82%,
cos-tyran,M7_V0_H3_C2,49920,48.82%,
cos-tyran,M7_V1_H3_C1,49901,48.76%,
cos-tyran,M0_V1_H8_C3,49896,48.74%,
cos-tyran,M0_V2_H9_C1,49891,48.73%,
cos-tyran,M1_V4_H7_C0,49878,48.69%,
cos-tyran,M0_V2_H8_C2,49862,48.64%,
cos-tyran,M1_V1_H6_C4,49856,48.62%,
cos-tyran,M1_V2_H6_C3,49856,48.62%,
cos-tyran,M3_V4_H5_C0,49822,48.52%,
cos-tyran,M4_V3_H4_C1,49822,48.52%,
cos-tyran,M6_V1_H3_C2,49822,48.52%,
cos-tyran,M0_V0_H11_C1,49821,48.52%,
cos-tyran,M0_V0_H8_C4,49818,48.51%,
cos-tyran,M6_V0_H3_C3,49809,48.48%,
cos-tyran,M0_V0_H10_C2,49796,48.45%,
cos-tyran,M8_V0_H3_C1,49796,48.45%,
cos-tyran,M1_V3_H6_C2,49792,48.43%,
cos-tyran,M2_V2_H5_C3,49783,48.41%,
cos-tyran,M2_V1_H5_C4,49775,48.38%,
cos-tyran,M0_V3_H9_C0,49772,48.37%,
cos-tyran,M7_V2_H3_C0,49767,48.36%,
cos-tyran,M0_V1_H10_C1,49751,48.31%,
cos-tyran,M0_V1_H11_C0,49746,48.30%,
cos-tyran,M6_V2_H3_C1,49745,48.29%,
cos-tyran,M0_V3_H8_C1,49744,48.29%,
cos-tyran,M1_V0_H6_C5,49735,48.26%,
cos-tyran,M8_V1_H3_C0,49726,48.24%,
cos-tyran,M2_V3_H5_C2,49723,48.23%,
cos-tyran,M0_V2_H7_C3,49704,48.17%,
cos-tyran,M0_V1_H7_C4,49668,48.06%,
cos-tyran,M3_V2_H4_C3,49663,48.05%,
cos-tyran,M2_V0_H5_C5,49654,48.02%,
cos-tyran,M1_V4_H6_C1,49646,48.00%,
cos-tyran,M5_V1_H3_C3,49646,48.00%,
cos-tyran,M0_V2_H10_C0,49642,47.99%,
cos-tyran,M4_V4_H4_C0,49639,47.98%,
