profile,actor,DPS,increase,
hov-tyran,M5_V0_H6_C0,105963,72.06%,
hov-tyran,M5_V0_H5_C1,105911,71.97%,
hov-tyran,M4_V0_H6_C1,105829,71.84%,
hov-tyran,M5_V1_H5_C0,105631,71.52%,
hov-tyran,M4_V1_H6_C0,105598,71.46%,
hov-tyran,M4_V1_H5_C1,105471,71.26%,
hov-tyran,M6_V0_H5_C0,105451,71.23%,
hov-tyran,M4_V0_H5_C2,105445,71.22%,
hov-tyran,M5_V0_H4_C2,105222,70.85%,
hov-tyran,M3_V0_H6_C2,105199,70.82%,
hov-tyran,M5_V1_H4_C1,105199,70.82%,
hov-tyran,M4_V0_H7_C0,105152,70.74%,
hov-tyran,M3_V1_H6_C1,105150,70.74%,
hov-tyran,M6_V0_H4_C1,105025,70.53%,
hov-tyran,M4_V2_H5_C0,104976,70.45%,
hov-tyran,M4_V1_H4_C2,104842,70.24%,
hov-tyran,M3_V1_H5_C2,104812,70.19%,
hov-tyran,M5_V2_H4_C0,104729,70.05%,
hov-tyran,M6_V1_H4_C0,104711,70.02%,
hov-tyran,M3_V0_H5_C3,104684,69.98%,
hov-tyran,M3_V0_H7_C1,104669,69.96%,
hov-tyran,M3_V2_H6_C0,104652,69.93%,
hov-tyran,M4_V0_H4_C3,104650,69.92%,
hov-tyran,M3_V2_H5_C1,104564,69.79%,
hov-tyran,M4_V2_H4_C1,104543,69.75%,
hov-tyran,M3_V1_H7_C0,104441,69.59%,
hov-tyran,M7_V0_H4_C0,104246,69.27%,
hov-tyran,M2_V1_H6_C2,104234,69.25%,
hov-tyran,M2_V0_H6_C3,104062,68.97%,
hov-tyran,M3_V1_H4_C3,103986,68.85%,
hov-tyran,M4_V3_H4_C0,103939,68.77%,
hov-tyran,M2_V2_H6_C1,103933,68.76%,
hov-tyran,M3_V2_H4_C2,103930,68.76%,
hov-tyran,M3_V3_H5_C0,103920,68.74%,
hov-tyran,M3_V0_H8_C0,103835,68.60%,
hov-tyran,M2_V0_H7_C2,103774,68.50%,
hov-tyran,M5_V1_H3_C2,103733,68.44%,
hov-tyran,M5_V0_H3_C3,103677,68.35%,
hov-tyran,M3_V0_H4_C4,103674,68.34%,
hov-tyran,M2_V1_H5_C3,103661,68.32%,
hov-tyran,M2_V1_H7_C1,103656,68.31%,
hov-tyran,M2_V2_H5_C2,103630,68.27%,
hov-tyran,M6_V0_H3_C2,103503,68.06%,
hov-tyran,M3_V3_H4_C1,103482,68.03%,
hov-tyran,M6_V1_H3_C1,103476,68.02%,
hov-tyran,M5_V2_H3_C1,103453,67.98%,
hov-tyran,M2_V0_H5_C4,103328,67.78%,
hov-tyran,M2_V3_H6_C0,103279,67.70%,
hov-tyran,M4_V1_H3_C3,103212,67.59%,
hov-tyran,M2_V3_H5_C1,103157,67.50%,
hov-tyran,M2_V2_H7_C0,103144,67.48%,
hov-tyran,M4_V2_H3_C2,103139,67.47%,
hov-tyran,M7_V0_H3_C1,103048,67.32%,
hov-tyran,M2_V0_H8_C1,103042,67.31%,
hov-tyran,M6_V2_H3_C0,103019,67.28%,
hov-tyran,M4_V0_H3_C4,102972,67.20%,
hov-tyran,M2_V2_H4_C3,102880,67.05%,
hov-tyran,M5_V3_H3_C0,102870,67.03%,
hov-tyran,M7_V1_H3_C0,102769,66.87%,
hov-tyran,M1_V1_H6_C3,102753,66.84%,
hov-tyran,M2_V1_H8_C0,102753,66.84%,
hov-tyran,M2_V1_H4_C4,102709,66.77%,
hov-tyran,M4_V3_H3_C1,102706,66.77%,
hov-tyran,M2_V0_H9_C0,102683,66.73%,
hov-tyran,M3_V4_H4_C0,102655,66.69%,
hov-tyran,M1_V2_H6_C2,102621,66.63%,
hov-tyran,M2_V3_H4_C2,102621,66.63%,
hov-tyran,M3_V2_H3_C3,102460,66.37%,
hov-tyran,M1_V0_H6_C4,102427,66.32%,
hov-tyran,M2_V4_H5_C0,102393,66.26%,
hov-tyran,M1_V1_H7_C2,102367,66.22%,
hov-tyran,M3_V1_H3_C4,102298,66.11%,
hov-tyran,M2_V0_H4_C5,102273,66.07%,
hov-tyran,M1_V0_H7_C3,102252,66.03%,
hov-tyran,M1_V3_H6_C1,102221,65.98%,
hov-tyran,M3_V3_H3_C2,102189,65.93%,
hov-tyran,M1_V2_H5_C3,102167,65.89%,
hov-tyran,M1_V2_H7_C1,102092,65.77%,
hov-tyran,M1_V1_H5_C4,102064,65.73%,
hov-tyran,M2_V4_H4_C1,102051,65.70%,
hov-tyran,M5_V1_H2_C3,102008,65.64%,
hov-tyran,M4_V4_H3_C0,101970,65.57%,
hov-tyran,M8_V0_H3_C0,101966,65.57%,
hov-tyran,M1_V3_H5_C2,101948,65.54%,
hov-tyran,M3_V0_H3_C5,101934,65.51%,
hov-tyran,M5_V2_H2_C2,101930,65.51%,
hov-tyran,M6_V1_H2_C2,101898,65.46%,
hov-tyran,M6_V0_H2_C3,101807,65.31%,
hov-tyran,M1_V0_H8_C2,101756,65.23%,
hov-tyran,M1_V1_H8_C1,101734,65.19%,
hov-tyran,M5_V0_H2_C4,101718,65.16%,
hov-tyran,M1_V0_H5_C5,101674,65.09%,
hov-tyran,M3_V4_H3_C1,101633,65.03%,
hov-tyran,M6_V2_H2_C1,101630,65.02%,
hov-tyran,M1_V0_H9_C1,101583,64.94%,
hov-tyran,M7_V0_H2_C2,101521,64.84%,
hov-tyran,M1_V3_H7_C0,101517,64.84%,
hov-tyran,M1_V4_H6_C0,101502,64.81%,
hov-tyran,M5_V3_H2_C1,101480,64.78%,
hov-tyran,M4_V2_H2_C3,101462,64.75%,
hov-tyran,M1_V4_H5_C1,101431,64.70%,
hov-tyran,M7_V1_H2_C1,101399,64.65%,
hov-tyran,M4_V1_H2_C4,101397,64.64%,
hov-tyran,M1_V1_H9_C0,101350,64.57%,
hov-tyran,M1_V2_H4_C4,101297,64.48%,
hov-tyran,M1_V2_H8_C0,101284,64.46%,
hov-tyran,M1_V3_H4_C3,101273,64.44%,
hov-tyran,M4_V3_H2_C2,101267,64.43%,
hov-tyran,M2_V2_H3_C4,101256,64.41%,
hov-tyran,M2_V3_H3_C3,101209,64.34%,
hov-tyran,M2_V5_H4_C0,101179,64.29%,
