profile,actor,DPS,increase,
nokhud-fort,M3_V0_H9_C0,64120,55.31%,
nokhud-fort,M2_V0_H9_C1,64088,55.24%,
nokhud-fort,M4_V0_H8_C0,64031,55.10%,
nokhud-fort,M3_V0_H8_C1,64017,55.06%,
nokhud-fort,M2_V1_H9_C0,63971,54.95%,
nokhud-fort,M3_V1_H8_C0,63964,54.94%,
nokhud-fort,M1_V0_H9_C2,63947,54.90%,
nokhud-fort,M2_V0_H8_C2,63932,54.86%,
nokhud-fort,M2_V1_H8_C1,63914,54.82%,
nokhud-fort,M1_V1_H9_C1,63901,54.78%,
nokhud-fort,M1_V2_H9_C0,63816,54.58%,
nokhud-fort,M4_V0_H7_C1,63789,54.51%,
nokhud-fort,M1_V1_H8_C2,63773,54.47%,
nokhud-fort,M2_V2_H8_C0,63772,54.47%,
nokhud-fort,M2_V0_H10_C0,63759,54.44%,
nokhud-fort,M1_V0_H10_C1,63749,54.42%,
nokhud-fort,M3_V0_H7_C2,63741,54.40%,
nokhud-fort,M1_V0_H8_C3,63729,54.37%,
nokhud-fort,M3_V1_H7_C1,63709,54.32%,
nokhud-fort,M4_V1_H7_C0,63704,54.31%,
nokhud-fort,M1_V2_H8_C1,63703,54.30%,
nokhud-fort,M0_V1_H9_C2,63698,54.29%,
nokhud-fort,M5_V0_H7_C0,63691,54.28%,
nokhud-fort,M4_V0_H6_C2,63689,54.27%,
nokhud-fort,M0_V0_H9_C3,63682,54.25%,
nokhud-fort,M4_V1_H6_C1,63663,54.21%,
nokhud-fort,M2_V1_H7_C2,63658,54.20%,
nokhud-fort,M3_V1_H6_C2,63651,54.18%,
nokhud-fort,M0_V2_H9_C1,63638,54.15%,
nokhud-fort,M5_V0_H6_C1,63635,54.14%,
nokhud-fort,M1_V1_H10_C0,63622,54.11%,
nokhud-fort,M1_V0_H11_C0,63620,54.10%,
nokhud-fort,M2_V0_H7_C3,63620,54.10%,
nokhud-fort,M2_V2_H7_C1,63600,54.05%,
nokhud-fort,M3_V0_H6_C3,63596,54.05%,
nokhud-fort,M3_V2_H6_C1,63596,54.05%,
nokhud-fort,M3_V2_H7_C0,63592,54.04%,
