profile,actor,DPS,increase,
nokhud-tyran,M5_V0_H7_C0,61949,55.05%,
nokhud-tyran,M4_V0_H8_C0,61948,55.05%,
nokhud-tyran,M4_V0_H7_C1,61905,54.94%,
nokhud-tyran,M3_V0_H9_C0,61872,54.86%,
nokhud-tyran,M3_V0_H8_C1,61835,54.77%,
nokhud-tyran,M4_V1_H7_C0,61831,54.76%,
nokhud-tyran,M3_V1_H8_C0,61787,54.65%,
nokhud-tyran,M3_V0_H7_C2,61732,54.51%,
nokhud-tyran,M2_V0_H9_C1,61728,54.50%,
nokhud-tyran,M3_V1_H7_C1,61723,54.49%,
nokhud-tyran,M5_V0_H6_C1,61708,54.45%,
nokhud-tyran,M6_V0_H6_C0,61701,54.43%,
nokhud-tyran,M2_V1_H9_C0,61666,54.35%,
nokhud-tyran,M5_V1_H6_C0,61658,54.33%,
nokhud-tyran,M3_V2_H7_C0,61644,54.29%,
nokhud-tyran,M2_V1_H8_C1,61639,54.28%,
nokhud-tyran,M4_V1_H6_C1,61622,54.24%,
nokhud-tyran,M2_V0_H8_C2,61619,54.23%,
nokhud-tyran,M4_V0_H6_C2,61616,54.22%,
nokhud-tyran,M2_V2_H8_C0,61515,53.97%,
nokhud-tyran,M2_V1_H7_C2,61514,53.97%,
nokhud-tyran,M4_V2_H6_C0,61507,53.95%,
nokhud-tyran,M2_V0_H7_C3,61487,53.90%,
nokhud-tyran,M2_V2_H7_C1,61470,53.86%,
nokhud-tyran,M3_V1_H6_C2,61464,53.84%,
nokhud-tyran,M1_V1_H9_C1,61458,53.83%,
nokhud-tyran,M1_V0_H9_C2,61457,53.82%,
nokhud-tyran,M3_V2_H6_C1,61423,53.74%,
nokhud-tyran,M3_V0_H6_C3,61421,53.73%,
nokhud-tyran,M2_V0_H10_C0,61415,53.72%,
nokhud-tyran,M1_V1_H8_C2,61359,53.58%,
nokhud-tyran,M6_V0_H5_C1,61318,53.48%,
nokhud-tyran,M1_V2_H9_C0,61311,53.46%,
nokhud-tyran,M2_V3_H7_C0,61311,53.46%,
nokhud-tyran,M1_V2_H8_C1,61310,53.46%,
nokhud-tyran,M1_V0_H8_C3,61294,53.42%,
nokhud-tyran,M5_V0_H5_C2,61294,53.42%,
nokhud-tyran,M5_V1_H5_C1,61292,53.41%,
nokhud-tyran,M6_V1_H5_C0,61276,53.37%,
nokhud-tyran,M7_V0_H5_C0,61264,53.34%,
nokhud-tyran,M1_V0_H11_C0,61254,53.32%,
nokhud-tyran,M3_V3_H6_C0,61249,53.30%,
nokhud-tyran,M1_V2_H7_C2,61209,53.20%,
nokhud-tyran,M1_V0_H10_C1,61204,53.19%,
nokhud-tyran,M2_V1_H6_C3,61203,53.19%,
nokhud-tyran,M2_V2_H6_C2,61186,53.14%,
nokhud-tyran,M4_V1_H5_C2,61185,53.14%,
nokhud-tyran,M1_V1_H10_C0,61181,53.13%,
nokhud-tyran,M1_V1_H7_C3,61178,53.12%,
nokhud-tyran,M5_V2_H5_C0,61145,53.04%,
nokhud-tyran,M4_V0_H5_C3,61135,53.02%,
nokhud-tyran,M4_V2_H5_C1,61129,53.00%,
nokhud-tyran,M1_V3_H8_C0,61114,52.96%,
nokhud-tyran,M1_V0_H7_C4,61108,52.95%,
nokhud-tyran,M2_V0_H6_C4,61090,52.90%,
nokhud-tyran,M2_V3_H6_C1,61089,52.90%,
nokhud-tyran,M1_V3_H7_C1,61073,52.86%,
nokhud-tyran,M0_V1_H9_C2,61069,52.85%,
nokhud-tyran,M0_V0_H9_C3,61043,52.79%,
nokhud-tyran,M0_V2_H9_C1,61024,52.74%,
nokhud-tyran,M3_V2_H5_C2,60952,52.56%,
nokhud-tyran,M6_V0_H4_C2,60952,52.56%,
nokhud-tyran,M3_V1_H5_C3,60951,52.56%,
nokhud-tyran,M4_V3_H5_C0,60950,52.55%,
nokhud-tyran,M0_V1_H8_C3,60947,52.55%,
nokhud-tyran,M0_V0_H11_C1,60940,52.53%,
nokhud-tyran,M6_V1_H4_C1,60916,52.47%,
nokhud-tyran,M7_V0_H4_C1,60911,52.46%,
nokhud-tyran,M0_V2_H8_C2,60906,52.44%,
nokhud-tyran,M2_V4_H6_C0,60903,52.44%,
nokhud-tyran,M5_V1_H4_C2,60896,52.42%,
nokhud-tyran,M0_V3_H9_C0,60891,52.41%,
nokhud-tyran,M3_V0_H5_C4,60887,52.40%,
nokhud-tyran,M0_V1_H11_C0,60878,52.37%,
nokhud-tyran,M1_V4_H7_C0,60866,52.34%,
nokhud-tyran,M0_V0_H10_C2,60864,52.34%,
nokhud-tyran,M1_V2_H6_C3,60864,52.34%,
nokhud-tyran,M3_V3_H5_C1,60863,52.34%,
nokhud-tyran,M0_V1_H10_C1,60855,52.32%,
nokhud-tyran,M1_V3_H6_C2,60838,52.27%,
nokhud-tyran,M5_V2_H4_C1,60836,52.27%,
nokhud-tyran,M7_V1_H4_C0,60834,52.26%,
nokhud-tyran,M0_V0_H8_C4,60825,52.24%,
nokhud-tyran,M5_V0_H4_C3,60824,52.24%,
nokhud-tyran,M0_V3_H8_C1,60806,52.19%,
nokhud-tyran,M1_V1_H6_C4,60797,52.17%,
nokhud-tyran,M6_V2_H4_C0,60780,52.13%,
nokhud-tyran,M0_V2_H7_C3,60768,52.10%,
nokhud-tyran,M4_V1_H4_C3,60751,52.06%,
nokhud-tyran,M4_V2_H4_C2,60743,52.04%,
nokhud-tyran,M0_V2_H10_C0,60730,52.00%,
nokhud-tyran,M0_V1_H7_C4,60709,51.95%,
nokhud-tyran,M0_V3_H7_C2,60684,51.89%,
nokhud-tyran,M8_V0_H4_C0,60683,51.89%,
nokhud-tyran,M5_V3_H4_C0,60681,51.88%,
nokhud-tyran,M1_V4_H6_C1,60672,51.86%,
nokhud-tyran,M2_V2_H5_C3,60660,51.83%,
nokhud-tyran,M4_V0_H4_C4,60659,51.83%,
nokhud-tyran,M1_V0_H6_C5,60654,51.81%,
nokhud-tyran,M4_V3_H4_C1,60652,51.81%,
nokhud-tyran,M3_V4_H5_C0,60635,51.77%,
nokhud-tyran,M0_V4_H8_C0,60628,51.75%,
nokhud-tyran,M0_V0_H7_C5,60627,51.75%,
nokhud-tyran,M2_V1_H5_C4,60625,51.74%,
nokhud-tyran,M2_V3_H5_C2,60605,51.69%,
nokhud-tyran,M0_V0_H12_C0,60571,51.61%,
nokhud-tyran,M0_V4_H7_C1,60549,51.55%,
nokhud-tyran,M3_V2_H4_C3,60539,51.53%,
nokhud-tyran,M2_V0_H5_C5,60484,51.39%,
nokhud-tyran,M3_V1_H4_C4,60476,51.37%,
nokhud-tyran,M3_V3_H4_C2,60467,51.35%,
nokhud-tyran,M2_V4_H5_C1,60449,51.30%,
nokhud-tyran,M4_V4_H4_C0,60422,51.23%,
nokhud-tyran,M1_V5_H6_C0,60405,51.19%,
nokhud-tyran,M0_V3_H6_C3,60403,51.19%,
nokhud-tyran,M0_V2_H6_C4,60379,51.13%,
nokhud-tyran,M3_V0_H4_C5,60362,51.08%,
nokhud-tyran,M3_V4_H4_C1,60332,51.01%,
nokhud-tyran,M6_V1_H3_C2,60304,50.94%,
nokhud-tyran,M0_V5_H7_C0,60302,50.93%,
nokhud-tyran,M0_V1_H6_C5,60295,50.91%,
nokhud-tyran,M0_V4_H6_C2,60287,50.89%,
nokhud-tyran,M7_V0_H3_C2,60274,50.86%,
nokhud-tyran,M7_V1_H3_C1,60272,50.86%,
nokhud-tyran,M1_V3_H5_C3,60254,50.81%,
nokhud-tyran,M1_V2_H5_C4,60253,50.81%,
nokhud-tyran,M6_V2_H3_C1,60242,50.78%,
nokhud-tyran,M5_V2_H3_C2,60222,50.73%,
nokhud-tyran,M6_V0_H3_C3,60222,50.73%,
nokhud-tyran,M5_V1_H3_C3,60210,50.70%,
nokhud-tyran,M2_V2_H4_C4,60205,50.69%,
nokhud-tyran,M2_V5_H5_C0,60175,50.61%,
nokhud-tyran,M1_V1_H5_C5,60170,50.60%,
nokhud-tyran,M2_V3_H4_C3,60162,50.58%,
nokhud-tyran,M7_V2_H3_C0,60149,50.55%,
nokhud-tyran,M0_V0_H6_C6,60125,50.49%,
nokhud-tyran,M1_V4_H5_C2,60123,50.48%,
nokhud-tyran,M5_V3_H3_C1,60111,50.45%,
nokhud-tyran,M2_V1_H4_C5,60107,50.44%,
nokhud-tyran,M5_V0_H3_C4,60101,50.43%,
nokhud-tyran,M6_V3_H3_C0,60080,50.38%,
nokhud-tyran,M0_V5_H6_C1,60074,50.36%,
nokhud-tyran,M8_V0_H3_C1,60068,50.35%,
nokhud-tyran,M2_V4_H4_C2,60056,50.32%,
nokhud-tyran,M4_V2_H3_C3,60027,50.24%,
nokhud-tyran,M3_V5_H4_C0,60021,50.23%,
nokhud-tyran,M8_V1_H3_C0,60018,50.22%,
nokhud-tyran,M1_V0_H5_C6,59985,50.14%,
nokhud-tyran,M4_V1_H3_C4,59982,50.13%,
nokhud-tyran,M4_V3_H3_C2,59980,50.13%,
nokhud-tyran,M1_V5_H5_C1,59929,50.00%,
nokhud-tyran,M2_V0_H4_C6,59916,49.97%,
nokhud-tyran,M5_V4_H3_C0,59872,49.86%,
nokhud-tyran,M4_V0_H3_C5,59851,49.80%,
nokhud-tyran,M2_V5_H4_C1,59846,49.79%,
nokhud-tyran,M4_V4_H3_C1,59828,49.75%,
nokhud-tyran,M3_V2_H3_C4,59781,49.63%,
nokhud-tyran,M0_V6_H6_C0,59760,49.58%,
nokhud-tyran,M1_V3_H4_C4,59754,49.56%,
nokhud-tyran,M9_V0_H3_C0,59752,49.56%,
nokhud-tyran,M7_V1_H2_C2,59747,49.54%,
nokhud-tyran,M3_V3_H3_C3,59744,49.54%,
nokhud-tyran,M0_V3_H5_C4,59743,49.53%,
nokhud-tyran,M1_V2_H4_C5,59742,49.53%,
nokhud-tyran,M7_V0_H2_C3,59728,49.50%,
nokhud-tyran,M1_V4_H4_C3,59716,49.47%,
nokhud-tyran,M0_V2_H5_C5,59713,49.46%,
nokhud-tyran,M3_V1_H3_C5,59702,49.43%,
nokhud-tyran,M6_V1_H2_C3,59701,49.43%,
nokhud-tyran,M6_V2_H2_C2,59690,49.40%,
nokhud-tyran,M7_V2_H2_C1,59685,49.39%,
nokhud-tyran,M0_V4_H5_C3,59674,49.36%,
nokhud-tyran,M3_V4_H3_C2,59674,49.36%,
nokhud-tyran,M1_V6_H5_C0,59648,49.30%,
nokhud-tyran,M5_V2_H2_C3,59602,49.18%,
nokhud-tyran,M1_V1_H4_C6,59595,49.16%,
nokhud-tyran,M6_V0_H2_C4,59592,49.16%,
nokhud-tyran,M4_V5_H3_C0,59591,49.15%,
nokhud-tyran,M6_V3_H2_C1,59578,49.12%,
nokhud-tyran,M0_V1_H5_C6,59572,49.11%,
nokhud-tyran,M2_V6_H4_C0,59562,49.08%,
