profile,actor,DPS,increase,
rlp-tyran,M4_V0_H8_C0,62858,50.26%,
rlp-tyran,M5_V0_H7_C0,62829,50.19%,
rlp-tyran,M4_V0_H7_C1,62793,50.11%,
rlp-tyran,M3_V0_H8_C1,62736,49.97%,
rlp-tyran,M4_V1_H7_C0,62705,49.90%,
rlp-tyran,M3_V1_H8_C0,62666,49.80%,
rlp-tyran,M3_V0_H9_C0,62656,49.78%,
rlp-tyran,M3_V1_H7_C1,62613,49.68%,
rlp-tyran,M5_V0_H6_C1,62609,49.67%,
rlp-tyran,M6_V0_H6_C0,62601,49.65%,
rlp-tyran,M3_V0_H7_C2,62595,49.63%,
rlp-tyran,M5_V1_H6_C0,62524,49.46%,
rlp-tyran,M2_V0_H9_C1,62505,49.42%,
rlp-tyran,M2_V0_H8_C2,62487,49.38%,
rlp-tyran,M2_V1_H8_C1,62463,49.32%,
rlp-tyran,M4_V0_H6_C2,62459,49.31%,
rlp-tyran,M3_V2_H7_C0,62453,49.29%,
rlp-tyran,M2_V1_H9_C0,62432,49.24%,
rlp-tyran,M4_V1_H6_C1,62432,49.24%,
rlp-tyran,M2_V2_H8_C0,62372,49.10%,
rlp-tyran,M4_V2_H6_C0,62338,49.02%,
rlp-tyran,M2_V1_H7_C2,62332,49.01%,
rlp-tyran,M2_V0_H7_C3,62308,48.95%,
rlp-tyran,M2_V2_H7_C1,62297,48.92%,
rlp-tyran,M2_V0_H10_C0,62267,48.85%,
rlp-tyran,M3_V1_H6_C2,62245,48.80%,
rlp-tyran,M3_V0_H6_C3,62241,48.79%,
rlp-tyran,M3_V2_H6_C1,62213,48.72%,
rlp-tyran,M6_V0_H5_C1,62207,48.71%,
rlp-tyran,M7_V0_H5_C0,62194,48.68%,
rlp-tyran,M5_V0_H5_C2,62174,48.63%,
rlp-tyran,M1_V1_H9_C1,62170,48.62%,
rlp-tyran,M1_V0_H9_C2,62167,48.61%,
rlp-tyran,M6_V1_H5_C0,62151,48.57%,
rlp-tyran,M2_V3_H7_C0,62140,48.55%,
rlp-tyran,M1_V1_H8_C2,62132,48.53%,
rlp-tyran,M5_V1_H5_C1,62132,48.53%,
rlp-tyran,M1_V0_H8_C3,62097,48.44%,
rlp-tyran,M1_V2_H8_C1,62094,48.44%,
rlp-tyran,M1_V0_H11_C0,62054,48.34%,
rlp-tyran,M3_V3_H6_C0,62054,48.34%,
rlp-tyran,M1_V2_H9_C0,62035,48.30%,
rlp-tyran,M1_V0_H10_C1,62027,48.28%,
rlp-tyran,M5_V2_H5_C0,62020,48.26%,
rlp-tyran,M4_V1_H5_C2,62000,48.21%,
rlp-tyran,M2_V1_H6_C3,61994,48.20%,
rlp-tyran,M1_V1_H7_C3,61979,48.16%,
rlp-tyran,M4_V0_H5_C3,61978,48.16%,
rlp-tyran,M1_V1_H10_C0,61977,48.16%,
rlp-tyran,M2_V2_H6_C2,61976,48.15%,
rlp-tyran,M1_V2_H7_C2,61971,48.14%,
rlp-tyran,M1_V0_H7_C4,61924,48.03%,
rlp-tyran,M4_V2_H5_C1,61921,48.02%,
rlp-tyran,M1_V3_H8_C0,61917,48.01%,
rlp-tyran,M1_V3_H7_C1,61878,47.92%,
rlp-tyran,M2_V0_H6_C4,61875,47.91%,
rlp-tyran,M2_V3_H6_C1,61855,47.87%,
rlp-tyran,M4_V3_H5_C0,61795,47.72%,
rlp-tyran,M6_V0_H4_C2,61763,47.65%,
rlp-tyran,M0_V1_H9_C2,61761,47.64%,
rlp-tyran,M7_V0_H4_C1,61757,47.63%,
rlp-tyran,M3_V1_H5_C3,61756,47.63%,
rlp-tyran,M3_V2_H5_C2,61744,47.60%,
rlp-tyran,M6_V1_H4_C1,61743,47.60%,
rlp-tyran,M0_V0_H9_C3,61713,47.53%,
rlp-tyran,M0_V0_H11_C1,61697,47.49%,
rlp-tyran,M3_V0_H5_C4,61689,47.47%,
rlp-tyran,M0_V1_H8_C3,61683,47.45%,
rlp-tyran,M0_V2_H9_C1,61674,47.43%,
rlp-tyran,M7_V1_H4_C0,61672,47.43%,
rlp-tyran,M5_V1_H4_C2,61671,47.43%,
rlp-tyran,M1_V4_H7_C0,61670,47.42%,
rlp-tyran,M0_V0_H10_C2,61646,47.37%,
rlp-tyran,M2_V4_H6_C0,61640,47.35%,
rlp-tyran,M3_V3_H5_C1,61638,47.35%,
rlp-tyran,M5_V0_H4_C3,61638,47.35%,
rlp-tyran,M0_V1_H10_C1,61629,47.33%,
rlp-tyran,M0_V1_H11_C0,61620,47.30%,
rlp-tyran,M0_V2_H8_C2,61619,47.30%,
rlp-tyran,M5_V2_H4_C1,61605,47.27%,
rlp-tyran,M6_V2_H4_C0,61603,47.26%,
rlp-tyran,M0_V0_H8_C4,61600,47.26%,
rlp-tyran,M1_V2_H6_C3,61572,47.19%,
rlp-tyran,M8_V0_H4_C0,61558,47.16%,
rlp-tyran,M1_V3_H6_C2,61553,47.14%,
rlp-tyran,M0_V3_H8_C1,61550,47.14%,
rlp-tyran,M1_V1_H6_C4,61541,47.11%,
rlp-tyran,M0_V3_H9_C0,61517,47.06%,
rlp-tyran,M0_V2_H10_C0,61516,47.05%,
rlp-tyran,M0_V2_H7_C3,61506,47.03%,
rlp-tyran,M4_V1_H4_C3,61495,47.00%,
rlp-tyran,M4_V2_H4_C2,61489,46.99%,
rlp-tyran,M5_V3_H4_C0,61455,46.91%,
rlp-tyran,M0_V1_H7_C4,61449,46.89%,
rlp-tyran,M4_V0_H4_C4,61437,46.87%,
rlp-tyran,M2_V2_H5_C3,61434,46.86%,
rlp-tyran,M1_V0_H6_C5,61432,46.85%,
rlp-tyran,M0_V3_H7_C2,61430,46.85%,
rlp-tyran,M3_V4_H5_C0,61426,46.84%,
rlp-tyran,M2_V1_H5_C4,61402,46.78%,
rlp-tyran,M4_V3_H4_C1,61387,46.75%,
rlp-tyran,M1_V4_H6_C1,61363,46.69%,
rlp-tyran,M0_V0_H7_C5,61351,46.66%,
rlp-tyran,M2_V3_H5_C2,61341,46.64%,
rlp-tyran,M0_V4_H8_C0,61293,46.52%,
rlp-tyran,M0_V0_H12_C0,61288,46.51%,
rlp-tyran,M2_V0_H5_C5,61258,46.44%,
rlp-tyran,M0_V4_H7_C1,61239,46.39%,
rlp-tyran,M3_V2_H4_C3,61220,46.35%,
rlp-tyran,M3_V3_H4_C2,61199,46.30%,
rlp-tyran,M2_V4_H5_C1,61188,46.27%,
rlp-tyran,M3_V1_H4_C4,61172,46.23%,
rlp-tyran,M7_V0_H3_C2,61161,46.21%,
rlp-tyran,M4_V4_H4_C0,61157,46.20%,
rlp-tyran,M7_V1_H3_C1,61131,46.13%,
rlp-tyran,M1_V5_H6_C0,61130,46.13%,
rlp-tyran,M6_V1_H3_C2,61115,46.10%,
rlp-tyran,M6_V0_H3_C3,61102,46.07%,
rlp-tyran,M3_V0_H4_C5,61081,46.02%,
rlp-tyran,M6_V2_H3_C1,61071,45.99%,
rlp-tyran,M7_V2_H3_C0,61063,45.97%,
rlp-tyran,M0_V2_H6_C4,61059,45.96%,
rlp-tyran,M8_V0_H3_C1,61012,45.85%,
rlp-tyran,M0_V3_H6_C3,61009,45.84%,
rlp-tyran,M3_V4_H4_C1,61007,45.84%,
rlp-tyran,M5_V1_H3_C3,61003,45.83%,
rlp-tyran,M5_V2_H3_C2,60998,45.82%,
rlp-tyran,M0_V1_H6_C5,60977,45.77%,
rlp-tyran,M0_V5_H7_C0,60969,45.75%,
rlp-tyran,M8_V1_H3_C0,60960,45.73%,
rlp-tyran,M1_V2_H5_C4,60942,45.68%,
rlp-tyran,M5_V0_H3_C4,60925,45.64%,
rlp-tyran,M2_V5_H5_C0,60917,45.62%,
rlp-tyran,M0_V4_H6_C2,60915,45.62%,
rlp-tyran,M1_V3_H5_C3,60911,45.61%,
rlp-tyran,M6_V3_H3_C0,60899,45.58%,
rlp-tyran,M5_V3_H3_C1,60882,45.54%,
rlp-tyran,M1_V1_H5_C5,60861,45.49%,
rlp-tyran,M2_V2_H4_C4,60833,45.42%,
rlp-tyran,M2_V3_H4_C3,60829,45.41%,
rlp-tyran,M0_V0_H6_C6,60822,45.40%,
rlp-tyran,M1_V4_H5_C2,60808,45.36%,
rlp-tyran,M9_V0_H3_C0,60807,45.36%,
rlp-tyran,M3_V5_H4_C0,60783,45.30%,
rlp-tyran,M4_V2_H3_C3,60782,45.30%,
rlp-tyran,M2_V1_H4_C5,60777,45.29%,
rlp-tyran,M4_V1_H3_C4,60763,45.25%,
rlp-tyran,M4_V3_H3_C2,60741,45.20%,
rlp-tyran,M0_V5_H6_C1,60698,45.10%,
rlp-tyran,M2_V4_H4_C2,60694,45.09%,
rlp-tyran,M1_V0_H5_C6,60683,45.06%,
rlp-tyran,M5_V4_H3_C0,60673,45.04%,
rlp-tyran,M4_V0_H3_C5,60630,44.94%,
rlp-tyran,M2_V0_H4_C6,60580,44.82%,
rlp-tyran,M1_V5_H5_C1,60572,44.80%,
rlp-tyran,M4_V4_H3_C1,60567,44.79%,
rlp-tyran,M7_V1_H2_C2,60523,44.68%,
rlp-tyran,M3_V2_H3_C4,60495,44.61%,
rlp-tyran,M2_V5_H4_C1,60493,44.61%,
rlp-tyran,M7_V0_H2_C3,60470,44.55%,
rlp-tyran,M3_V3_H3_C3,60468,44.55%,
rlp-tyran,M7_V2_H2_C1,60441,44.49%,
rlp-tyran,M6_V1_H2_C3,60436,44.47%,
rlp-tyran,M3_V1_H3_C5,60429,44.46%,
rlp-tyran,M6_V2_H2_C2,60424,44.44%,
rlp-tyran,M8_V0_H2_C2,60404,44.40%,
rlp-tyran,M0_V6_H6_C0,60390,44.36%,
rlp-tyran,M8_V1_H2_C1,60371,44.32%,
rlp-tyran,M6_V0_H2_C4,60367,44.31%,
rlp-tyran,M3_V4_H3_C2,60327,44.21%,
rlp-tyran,M4_V5_H3_C0,60324,44.21%,
rlp-tyran,M1_V3_H4_C4,60316,44.19%,
rlp-tyran,M0_V3_H5_C4,60310,44.17%,
rlp-tyran,M6_V3_H2_C1,60292,44.13%,
rlp-tyran,M1_V2_H4_C5,60290,44.12%,
rlp-tyran,M7_V3_H2_C0,60290,44.12%,
rlp-tyran,M0_V2_H5_C5,60283,44.11%,
rlp-tyran,M8_V2_H2_C0,60277,44.09%,
rlp-tyran,M1_V6_H5_C0,60271,44.08%,
rlp-tyran,M5_V2_H2_C3,60270,44.08%,
rlp-tyran,M5_V1_H2_C4,60267,44.07%,
rlp-tyran,M1_V4_H4_C3,60260,44.05%,
rlp-tyran,M0_V4_H5_C3,60235,43.99%,
rlp-tyran,M3_V0_H3_C6,60223,43.96%,
rlp-tyran,M9_V0_H2_C1,60212,43.94%,
rlp-tyran,M5_V3_H2_C2,60210,43.93%,
rlp-tyran,M1_V1_H4_C6,60185,43.87%,
rlp-tyran,M0_V1_H5_C6,60153,43.80%,
rlp-tyran,M2_V6_H4_C0,60140,43.77%,
rlp-tyran,M3_V5_H3_C1,60132,43.75%,
rlp-tyran,M5_V0_H2_C5,60125,43.73%,
rlp-tyran,M9_V1_H2_C0,60117,43.71%,
rlp-tyran,M6_V4_H2_C0,60098,43.67%,
rlp-tyran,M1_V5_H4_C2,60091,43.65%,
rlp-tyran,M0_V5_H5_C2,60042,43.53%,
rlp-tyran,M5_V4_H2_C1,60040,43.53%,
rlp-tyran,M2_V3_H3_C4,60024,43.49%,
rlp-tyran,M2_V2_H3_C5,60022,43.48%,
rlp-tyran,M4_V3_H2_C3,60016,43.47%,
rlp-tyran,M4_V2_H2_C4,60014,43.46%,
rlp-tyran,M2_V4_H3_C3,59949,43.31%,
rlp-tyran,M0_V0_H5_C7,59944,43.30%,
rlp-tyran,M4_V1_H2_C5,59938,43.28%,
rlp-tyran,M1_V0_H4_C7,59920,43.24%,
rlp-tyran,M2_V1_H3_C6,59916,43.23%,
rlp-tyran,M4_V4_H2_C2,59882,43.15%,
rlp-tyran,M10_V0_H2_C0,59855,43.08%,
rlp-tyran,M2_V5_H3_C2,59795,42.94%,
rlp-tyran,M3_V6_H3_C0,59794,42.94%,
rlp-tyran,M4_V0_H2_C6,59792,42.93%,
rlp-tyran,M1_V6_H4_C1,59785,42.92%,
rlp-tyran,M0_V6_H5_C1,59783,42.91%,
rlp-tyran,M5_V5_H2_C0,59755,42.85%,
rlp-tyran,M3_V3_H2_C4,59653,42.60%,
rlp-tyran,M4_V5_H2_C1,59648,42.59%,
rlp-tyran,M2_V0_H3_C7,59642,42.58%,
rlp-tyran,M0_V3_H4_C5,59628,42.54%,
rlp-tyran,M3_V2_H2_C5,59625,42.53%,
rlp-tyran,M0_V4_H4_C4,59624,42.53%,
rlp-tyran,M3_V4_H2_C3,59587,42.44%,
rlp-tyran,M0_V2_H4_C6,59538,42.33%,
rlp-tyran,M7_V1_H1_C3,59522,42.29%,
rlp-tyran,M2_V6_H3_C1,59507,42.25%,
rlp-tyran,M3_V1_H2_C6,59506,42.25%,
rlp-tyran,M7_V2_H1_C2,59483,42.19%,
rlp-tyran,M0_V5_H4_C3,59477,42.18%,
rlp-tyran,M1_V4_H3_C4,59450,42.12%,
rlp-tyran,M1_V3_H3_C5,59447,42.11%,
rlp-tyran,M7_V0_H1_C4,59420,42.04%,
rlp-tyran,M0_V7_H5_C0,59400,42.00%,
rlp-tyran,M3_V5_H2_C2,59399,41.99%,
rlp-tyran,M8_V1_H1_C2,59381,41.95%,
rlp-tyran,M0_V1_H4_C7,59380,41.95%,
rlp-tyran,M8_V0_H1_C3,59370,41.92%,
rlp-tyran,M6_V2_H1_C3,59360,41.90%,
rlp-tyran,M1_V7_H4_C0,59353,41.88%,
rlp-tyran,M1_V2_H3_C6,59350,41.88%,
rlp-tyran,M6_V1_H1_C4,59344,41.86%,
rlp-tyran,M7_V3_H1_C1,59337,41.85%,
rlp-tyran,M4_V6_H2_C0,59335,41.84%,
rlp-tyran,M6_V3_H1_C2,59319,41.80%,
rlp-tyran,M8_V2_H1_C1,59308,41.78%,
rlp-tyran,M1_V5_H3_C3,59277,41.70%,
rlp-tyran,M3_V0_H2_C7,59276,41.70%,
rlp-tyran,M0_V6_H4_C2,59233,41.60%,
rlp-tyran,M6_V0_H1_C5,59199,41.52%,
rlp-tyran,M9_V0_H1_C2,59199,41.52%,
rlp-tyran,M2_V3_H2_C5,59185,41.48%,
rlp-tyran,M9_V1_H1_C1,59180,41.47%,
rlp-tyran,M1_V1_H3_C7,59172,41.45%,
rlp-tyran,M2_V4_H2_C4,59161,41.43%,
rlp-tyran,M5_V2_H1_C4,59152,41.40%,
rlp-tyran,M5_V3_H1_C3,59145,41.39%,
rlp-tyran,M2_V7_H3_C0,59130,41.35%,
rlp-tyran,M7_V4_H1_C0,59125,41.34%,
rlp-tyran,M3_V6_H2_C1,59122,41.33%,
rlp-tyran,M8_V3_H1_C0,59115,41.32%,
rlp-tyran,M2_V2_H2_C6,59110,41.30%,
rlp-tyran,M6_V4_H1_C1,59085,41.24%,
rlp-tyran,M5_V1_H1_C5,59078,41.23%,
rlp-tyran,M1_V6_H3_C2,59030,41.11%,
rlp-tyran,M2_V5_H2_C3,59023,41.10%,
rlp-tyran,M5_V4_H1_C2,59014,41.07%,
rlp-tyran,M9_V2_H1_C0,59011,41.07%,
rlp-tyran,M2_V1_H2_C7,58927,40.87%,
rlp-tyran,M5_V0_H1_C6,58906,40.82%,
rlp-tyran,M0_V7_H4_C1,58905,40.81%,
rlp-tyran,M0_V0_H4_C8,58904,40.81%,
rlp-tyran,M10_V0_H1_C1,58881,40.76%,
rlp-tyran,M4_V3_H1_C4,58827,40.63%,
rlp-tyran,M6_V5_H1_C0,58812,40.59%,
rlp-tyran,M4_V2_H1_C5,58797,40.56%,
rlp-tyran,M5_V5_H1_C1,58796,40.55%,
rlp-tyran,M2_V6_H2_C2,58789,40.54%,
rlp-tyran,M4_V4_H1_C3,58773,40.50%,
rlp-tyran,M10_V1_H1_C0,58757,40.46%,
rlp-tyran,M3_V7_H2_C0,58744,40.43%,
rlp-tyran,M4_V1_H1_C6,58742,40.42%,
rlp-tyran,M1_V0_H3_C8,58735,40.41%,
rlp-tyran,M1_V7_H3_C1,58697,40.32%,
rlp-tyran,M0_V4_H3_C5,58675,40.26%,
rlp-tyran,M0_V3_H3_C6,58655,40.22%,
rlp-tyran,M0_V5_H3_C4,58592,40.07%,
rlp-tyran,M4_V5_H1_C2,58591,40.06%,
rlp-tyran,M1_V4_H2_C5,58543,39.95%,
rlp-tyran,M1_V3_H2_C6,58531,39.92%,
rlp-tyran,M0_V2_H3_C7,58530,39.92%,
rlp-tyran,M2_V0_H2_C8,58508,39.86%,
rlp-tyran,M1_V5_H2_C4,58507,39.86%,
rlp-tyran,M4_V0_H1_C7,58503,39.85%,
rlp-tyran,M2_V7_H2_C1,58469,39.77%,
rlp-tyran,M3_V4_H1_C4,58461,39.75%,
rlp-tyran,M5_V6_H1_C0,58442,39.71%,
rlp-tyran,M3_V3_H1_C5,58433,39.68%,
rlp-tyran,M0_V6_H3_C3,58419,39.65%,
rlp-tyran,M1_V2_H2_C7,58417,39.65%,
rlp-tyran,M7_V1_H0_C4,58370,39.53%,
rlp-tyran,M7_V2_H0_C3,58366,39.52%,
rlp-tyran,M3_V2_H1_C6,58364,39.52%,
rlp-tyran,M4_V6_H1_C1,58335,39.45%,
rlp-tyran,M0_V8_H4_C0,58316,39.41%,
rlp-tyran,M8_V1_H0_C3,58314,39.40%,
rlp-tyran,M3_V5_H1_C3,58310,39.39%,
rlp-tyran,M11_V0_H1_C0,58309,39.39%,
rlp-tyran,M1_V6_H2_C3,58287,39.34%,
rlp-tyran,M7_V3_H0_C2,58266,39.29%,
rlp-tyran,M8_V2_H0_C2,58251,39.25%,
rlp-tyran,M3_V1_H1_C7,58232,39.20%,
rlp-tyran,M7_V0_H0_C5,58221,39.18%,
rlp-tyran,M6_V2_H0_C4,58215,39.16%,
rlp-tyran,M6_V3_H0_C3,58198,39.12%,
rlp-tyran,M8_V0_H0_C4,58186,39.09%,
rlp-tyran,M0_V1_H3_C8,58158,39.03%,
rlp-tyran,M0_V7_H3_C2,58155,39.02%,
rlp-tyran,M6_V1_H0_C5,58143,38.99%,
rlp-tyran,M8_V3_H0_C1,58136,38.97%,
rlp-tyran,M9_V1_H0_C2,58130,38.96%,
rlp-tyran,M1_V8_H3_C0,58119,38.93%,
rlp-tyran,M7_V4_H0_C1,58090,38.86%,
rlp-tyran,M3_V6_H1_C2,58072,38.82%,
rlp-tyran,M1_V1_H2_C8,58069,38.81%,
rlp-tyran,M6_V4_H0_C2,58069,38.81%,
rlp-tyran,M9_V0_H0_C3,58059,38.79%,
rlp-tyran,M1_V7_H2_C2,58039,38.74%,
rlp-tyran,M9_V2_H0_C1,58019,38.70%,
rlp-tyran,M5_V3_H0_C4,57989,38.62%,
rlp-tyran,M2_V4_H1_C5,57971,38.58%,
rlp-tyran,M6_V0_H0_C6,57963,38.56%,
rlp-tyran,M4_V7_H1_C0,57955,38.54%,
rlp-tyran,M2_V3_H1_C6,57952,38.54%,
rlp-tyran,M5_V2_H0_C5,57935,38.49%,
rlp-tyran,M5_V4_H0_C3,57930,38.48%,
rlp-tyran,M2_V5_H1_C4,57914,38.44%,
rlp-tyran,M2_V8_H2_C0,57903,38.42%,
rlp-tyran,M8_V4_H0_C0,57871,38.34%,
rlp-tyran,M0_V4_H2_C6,57859,38.31%,
rlp-tyran,M2_V2_H1_C7,57855,38.30%,
rlp-tyran,M0_V5_H2_C5,57850,38.29%,
rlp-tyran,M3_V0_H1_C8,57848,38.29%,
rlp-tyran,M6_V5_H0_C1,57825,38.23%,
rlp-tyran,M7_V5_H0_C0,57822,38.22%,
rlp-tyran,M0_V3_H2_C7,57820,38.22%,
rlp-tyran,M5_V1_H0_C6,57814,38.21%,
rlp-tyran,M10_V0_H0_C2,57805,38.18%,
rlp-tyran,M9_V3_H0_C0,57802,38.18%,
rlp-tyran,M3_V7_H1_C1,57795,38.16%,
rlp-tyran,M10_V1_H0_C1,57785,38.14%,
rlp-tyran,M2_V6_H1_C3,57745,38.04%,
rlp-tyran,M0_V0_H3_C9,57738,38.02%,
rlp-tyran,M5_V5_H0_C2,57731,38.01%,
rlp-tyran,M0_V6_H2_C4,57710,37.96%,
rlp-tyran,M4_V3_H0_C5,57665,37.85%,
rlp-tyran,M0_V8_H3_C1,57660,37.84%,
rlp-tyran,M5_V0_H0_C7,57638,37.78%,
rlp-tyran,M1_V0_H2_C9,57634,37.77%,
rlp-tyran,M4_V4_H0_C4,57633,37.77%,
rlp-tyran,M10_V2_H0_C0,57620,37.74%,
rlp-tyran,M4_V2_H0_C6,57597,37.69%,
rlp-tyran,M1_V8_H2_C1,57574,37.63%,
rlp-tyran,M4_V5_H0_C3,57542,37.55%,
rlp-tyran,M0_V7_H2_C3,57538,37.55%,
rlp-tyran,M2_V1_H1_C8,57537,37.54%,
rlp-tyran,M2_V7_H1_C2,57513,37.49%,
rlp-tyran,M0_V2_H2_C8,57505,37.47%,
rlp-tyran,M5_V6_H0_C1,57494,37.44%,
rlp-tyran,M6_V6_H0_C0,57487,37.42%,
rlp-tyran,M4_V1_H0_C7,57431,37.29%,
rlp-tyran,M1_V5_H1_C5,57420,37.26%,
rlp-tyran,M1_V4_H1_C6,57407,37.23%,
rlp-tyran,M1_V3_H1_C7,57397,37.21%,
rlp-tyran,M11_V0_H0_C1,57348,37.09%,
rlp-tyran,M4_V6_H0_C2,57347,37.09%,
rlp-tyran,M1_V6_H1_C4,57315,37.01%,
rlp-tyran,M3_V8_H1_C0,57315,37.01%,
rlp-tyran,M3_V3_H0_C6,57314,37.01%,
rlp-tyran,M3_V4_H0_C5,57300,36.98%,
rlp-tyran,M11_V1_H0_C0,57260,36.88%,
rlp-tyran,M3_V5_H0_C4,57252,36.86%,
rlp-tyran,M3_V2_H0_C7,57185,36.70%,
rlp-tyran,M0_V1_H2_C9,57178,36.68%,
rlp-tyran,M2_V0_H1_C9,57176,36.68%,
rlp-tyran,M5_V7_H0_C0,57169,36.66%,
rlp-tyran,M0_V8_H2_C2,57160,36.64%,
rlp-tyran,M0_V9_H3_C0,57147,36.61%,
rlp-tyran,M1_V2_H1_C8,57142,36.60%,
rlp-tyran,M1_V7_H1_C3,57137,36.59%,
rlp-tyran,M4_V0_H0_C8,57136,36.58%,
rlp-tyran,M2_V8_H1_C1,57118,36.54%,
rlp-tyran,M3_V6_H0_C3,57100,36.50%,
rlp-tyran,M4_V7_H0_C1,57061,36.41%,
rlp-tyran,M1_V9_H2_C0,57055,36.39%,
rlp-tyran,M3_V1_H0_C8,56959,36.16%,
rlp-tyran,M2_V4_H0_C6,56930,36.09%,
rlp-tyran,M0_V5_H1_C6,56911,36.05%,
rlp-tyran,M3_V7_H0_C2,56900,36.02%,
rlp-tyran,M2_V5_H0_C5,56880,35.97%,
