profile,actor,DPS,increase,
Dungeons-Push,VF_nzoth_yogg_cthun_129962384799663_Flay_DR,416941,103.32%,
Dungeons-Push,VF_yogg_cthun_119242146428847_Flay_DR,415145,102.45%,
Dungeons-Push,DA_cthun_80598983767983_Spike_DR,413733,101.76%,
Dungeons-Push,VF_yogg_cthun_119173429049263_Flay_DR,413724,101.76%,
Dungeons-Push,DA_nzoth_cthun_98189022328751_Spike_DR,413622,101.71%,
Dungeons-Push,DA_nzoth_cthun_98189156546479_Spike_DR,413593,101.69%,
Dungeons-Push,VF_yogg_cthun_121432579749807_Flay_DR,413579,101.68%,
Dungeons-Push,VF_yogg_cthun_112645076662191_Flay_DR,413244,101.52%,
Dungeons-Push,VF_yogg_cthun_119201344239535_Flay_DR,413193,101.50%,
Dungeons-Push,VF_yogg_cthun_119233558591407_Flay_DR,412811,101.31%,
Dungeons-Push,DA_cthun_80598975641519_Spike_DR,412390,101.11%,
Dungeons-Push,DA_nzoth_cthun_98189014202287_Spike_DR,412349,101.09%,
Dungeons-Push,VF_nzoth_cthun_98189082867631_Flay_DR,412216,101.02%,
Dungeons-Push,VF_yogg_cthun_119233556772783_Spike_DR,412010,100.92%,
Dungeons-Push,VF_yogg_cthun_119242012489647_Spike_DR,411903,100.87%,
Dungeons-Push,VF_yogg_cthun_119173427230639_Spike_DR,411721,100.78%,
Dungeons-Push,VF_yogg_cthun_119200270497711_Flay_DR,411712,100.77%,
Dungeons-Push,VF_nzoth_cthun_98189290485679_Flay_DR,411573,100.71%,
Dungeons-Push,DA_nzoth_cthun_98189016037295_Spike_DR,411454,100.65%,
Dungeons-Push,VF_cthun_80589389019055_Flay_DR,411397,100.62%,
Dungeons-Push,DA_nzoth_cthun_98189082867631_Flay_DR,411343,100.59%,
Dungeons-Push,DA_nzoth_cthun_98189014988719_Spike_DR,411062,100.46%,
Dungeons-Push,DA_nzoth_yogg_cthun_129962384799663_Flay_DR,411052,100.45%,
Dungeons-Push,VF_cthun_80658100107183_Flay_DR,411019,100.44%,
Dungeons-Push,VF_yogg_cthun_119200136558511_Spike_DR,410995,100.42%,
Dungeons-Push,DA_cthun_80589588527023_Spike_DR,410918,100.39%,
Dungeons-Push,VF_yogg_cthun_121432445810607_Spike_DR,410623,100.24%,
Dungeons-Push,VF_nzoth_cthun_98189156546479_Spike_DR,410571,100.22%,
Dungeons-Push,VF_cthun_80589590345647_Flay_DR,410547,100.21%,
Dungeons-Push,VF_nzoth_yogg_cthun_129962315593647_Flay_DR,410450,100.16%,
Dungeons-Push,VF_yogg_cthun_119183090628527_Flay_DR,410434,100.15%,
Dungeons-Push,VF_nzoth_cthun_98189022328751_Spike_DR,410258,100.07%,
Dungeons-Push,DA_cthun_80599044306863_Flay_DR,410136,100.01%,
Dungeons-Push,DA_yogg_cthun_119242012489647_Spike_DR,410092,99.98%,
Dungeons-Push,DA_yogg_cthun_119233556772783_Spike_DR,410090,99.98%,
Dungeons-Push,DA_yogg_cthun_119242146428847_Flay_DR,409927,99.90%,
Dungeons-Push,VF_yogg_cthun_112370199803823_Flay_DR,409895,99.89%,
Dungeons-Push,DA_nzoth_cthun_98189290485679_Flay_DR,409869,99.88%,
Dungeons-Push,VF_nzoth_cthun_89401579780015_Flay_DR,409745,99.82%,
Dungeons-Push,VF_cthun_80588315277231_Flay_DR,409606,99.75%,
Dungeons-Push,VF_cthun_80605486757807_Flay_DR,409599,99.74%,
Dungeons-Push,DA_yogg_cthun_119173427230639_Spike_DR,409412,99.65%,
Dungeons-Push,VF_cthun_80599044306863_Flay_DR,409395,99.64%,
Dungeons-Push,VF_nzoth_yogg_cthun_129962250860463_Spike_DR,409362,99.63%,
Dungeons-Push,DA_cthun_80597104719791_Spike_DR,409358,99.63%,
Dungeons-Push,VF_cthun_80589588527023_Spike_DR,409316,99.61%,
Dungeons-Push,DA_yogg_cthun_121432445810607_Spike_DR,409181,99.54%,
Dungeons-Push,DA_yshaarj_cthun_81146592098223_Spike_DR,409049,99.48%,
Dungeons-Push,DA_yshaarj_cthun_81146726315951_Spike_DR,409036,99.47%,
Dungeons-Push,VF_cthun_80599251924911_Flay_DR,409025,99.46%,
Dungeons-Push,VF_nzoth_cthun_99322954233775_Flay_DR,408883,99.39%,
Dungeons-Push,DA_cthun_80599251924911_Flay_DR,408821,99.36%,
Dungeons-Push,DA_cthun_80605486757807_Flay_DR,408773,99.34%,
Dungeons-Push,DA_yogg_cthun_119201344239535_Flay_DR,408637,99.28%,
Dungeons-Push,VF_cthun_80598983767983_Spike_DR,408572,99.24%,
Dungeons-Push,DA_yogg_cthun_119200136558511_Spike_DR,408558,99.24%,
Dungeons-Push,VF_nzoth_cthun_98189014202287_Spike_DR,408510,99.21%,
Dungeons-Push,DA_yogg_cthun_121432579749807_Flay_DR,408508,99.21%,
Dungeons-Push,VF_cthun_80605694375855_Flay_DR,408376,99.15%,
Dungeons-Push,DA_cthun_80658100107183_Flay_DR,408142,99.03%,
Dungeons-Push,DA_cthun_80589389019055_Flay_DR,408093,99.01%,
Dungeons-Push,DA_yogg_cthun_112645076662191_Flay_DR,407932,98.93%,
Dungeons-Push,DA_yshaarj_cthun_81146583971759_Spike_DR,407676,98.81%,
Dungeons-Push,DA_cthun_82848465549231_Spike_DR,407508,98.72%,
Dungeons-Push,VF_nzoth_cthun_99323161851823_Flay_DR,407393,98.67%,
Dungeons-Push,DA_yogg_cthun_119242009343919_Spike_DR,407153,98.55%,
Dungeons-Push,VF_cthun_80597106538415_Flay_DR,407150,98.55%,
Dungeons-Push,VF_cthun_80598975641519_Spike_DR,407085,98.52%,
Dungeons-Push,DA_yshaarj_cthun_81146585806767_Spike_DR,406958,98.46%,
Dungeons-Push,VF_yshaarj_cthun_81146652637103_Flay_DR,406946,98.45%,
Dungeons-Push,DA_cthun_80605694375855_Flay_DR,406799,98.38%,
Dungeons-Push,DA_yshaarj_cthun_81146723170223_Spike_DR,406705,98.33%,
Dungeons-Push,VF_cthun_80658031441839_Spike_DR,406632,98.30%,
Dungeons-Push,DA_yshaarj_cthun_81146724218799_Spike_DR,406493,98.23%,
Dungeons-Push,DA_yshaarj_cthun_81146584758191_Spike_DR,406488,98.23%,
Dungeons-Push,DA_yshaarj_cthun_81146652637103_Flay_DR,406441,98.20%,
Dungeons-Push,DA_nzoth_yogg_cthun_129962250860463_Spike_DR,406403,98.19%,
Dungeons-Push,VF_nzoth_cthun_90535658764207_Flay_DR,406327,98.15%,
Dungeons-Push,VF_cthun_80597104719791_Spike_DR,406306,98.14%,
Dungeons-Push,VF_yshaarj_cthun_81146860255151_Flay_DR,406306,98.14%,
Dungeons-Push,VF_nzoth_yogg_cthun_129962247714735_Spike_DR,406267,98.12%,
Dungeons-Push,VF_nzoth_yogg_cthun_139024228923311_Flay_DR,406260,98.12%,
Dungeons-Push,VF_nzoth_yogg_cthun_129962384799663_Flay_ME,405957,97.97%,
Dungeons-Push,VF_yshaarj_cthun_81146726315951_Spike_DR,405682,97.83%,
Dungeons-Push,VF_yshaarj_cthun_81146592098223_Spike_DR,405490,97.74%,
Dungeons-Push,VF_yogg_cthun_112370199033775_Spike_DR,405398,97.70%,
Dungeons-Push,DA_nzoth_yogg_58727668119471_Spike_DR,405343,97.67%,
Dungeons-Push,VF_nzoth_yogg_58727668119471_Spike_DR,405336,97.67%,
Dungeons-Push,VF_yshaarj_cthun_80049288492975_Flay_DR,405300,97.65%,
Dungeons-Push,DA_nzoth_cthun_99322893694895_Spike_DR,405281,97.64%,
Dungeons-Push,DA_yshaarj_cthun_80049288492975_Flay_DR,405210,97.60%,
