profile,actor,DPS,increase,
Single,DA_yshaarj_cthun_81151055852463_Spike,122580,156.18%,
Single,VF_yogg_cthun_99450833826767_Spike_TS,122491,155.99%,
Single,DA_yshaarj_cthun_81151053755311_Spike,122351,155.70%,
Single,VF_yogg_cthun_99450837496783_Spike_TS,122280,155.55%,
Single,VF_yogg_cthun_99450835399631_Spike_TS,122083,155.14%,
Single,VF_yogg_cthun_99450971968463_Flay_TS,122043,155.05%,
Single,DA_yshaarj_cthun_81151053755311_Spike_DR,121891,154.74%,
Single,DA_yshaarj_cthun_20443874948047_Spike,120869,152.60%,
Single,DA_yshaarj_cthun_20579163272143_Spike,120853,152.57%,
Single,VF_yogg_cthun_99450833303503_Spike_TS,120345,151.51%,
Single,DA_yogg_cthun_99450837496783_Spike_TS,120211,151.22%,
Single,VF_yogg_cthun_99450937635791_Spike_DR_TS,119688,150.13%,
Single,VF_yogg_cthun_99450805515215_Spike_DR_TS,119407,149.54%,
Single,VF_yogg_cthun_99450833319887_Spike_TS,119180,149.07%,
Single,VF_yshaarj_yogg_cthun_97613696693199_Spike_TS,119130,148.97%,
Single,VF_yogg_cthun_99450799781839_Spike_TS,118721,148.11%,
Single,VF_nzoth_yogg_cthun_136765511267279_Spike_TS,118600,147.86%,
Single,DA_yshaarj_cthun_20443939977167_Spike_DR,118264,147.15%,
Single,VF_nzoth_yogg_cthun_136765544821711_Spike_TS,117980,146.56%,
Single,VF_yogg_cthun_99450833319887_Spike_DR_TS,117898,146.39%,
Single,DA_yshaarj_cthun_20577083963343_Spike_DR,117752,146.09%,
Single,VF_yogg_cthun_99450800289743_Spike_DR_TS,117509,145.58%,
Single,VF_nzoth_cthun_59593576641487_Spike,117338,145.22%,
Single,VF_yshaarj_yogg_cthun_97613661059023_Spike_TS,117302,145.14%,
Single,DA_nzoth_cthun_59593541514191_Spike,117256,145.05%,
Single,DA_yogg_cthun_99450799781839_Spike_TS,117071,144.66%,
Single,DA_nzoth_cthun_57412802802639_Spike,116691,143.87%,
Single,DA_yshaarj_cthun_20576817625039_Spike,116578,143.63%,
Single,VF_yogg_cthun_99450801338319_Spike_DR_TS,116532,143.54%,
Single,VF_nzoth_yogg_cthun_136765509694415_Spike_DR_TS,116510,143.49%,
Single,VF_yogg_cthun_99450805008335_Spike_DR_TS,116440,143.34%,
Single,DA_yogg_cthun_99314437715919_Spike_TS,116392,143.24%,
Single,DA_yshaarj_cthun_20576809252815_Spike,116345,143.14%,
Single,VF_nzoth_cthun_59593606001615_Spike_DR,116238,142.92%,
Single,VF_nzoth_yogg_cthun_136765511267279_Spike_DR_TS,116163,142.77%,
Single,DA_yshaarj_cthun_20576742143951_Spike,116003,142.43%,
Single,VF_yshaarj_yogg_cthun_97613661059023_Spike_DR_TS,115618,141.63%,
Single,VF_nzoth_yogg_cthun_136765509187535_Spike_TS,115596,141.58%,
Single,VF_nzoth_yogg_cthun_136765478237135_Spike_DR_TS,115571,141.53%,
Single,DA_nzoth_cthun_56326941571023_Spike_DR,115553,141.49%,
Single,DA_yogg_cthun_99450564900815_Spike_TS,115509,141.40%,
Single,VF_nzoth_yogg_cthun_136765578359759_Spike_DR_TS,115388,141.15%,
Single,VF_yogg_cthun_99450668709839_Spike_TS,115364,141.10%,
Single,DA_nzoth_cthun_56327042234319_Spike,115352,141.07%,
Single,VF_yshaarj_yogg_cthun_97613628028879_Spike_DR_TS,115317,141.00%,
Single,VF_nzoth_yogg_cthun_136765544821711_Spike_DR_TS,115287,140.93%,
Single,DA_yshaarj_cthun_20576876345295_Spike_DR,115169,140.69%,
Single,DA_nzoth_cthun_56327043282895_Spike_DR,115149,140.65%,
Single,VF_nzoth_yogg_cthun_136765475649487_Spike_TS,114995,140.32%,
Single,VF_nzoth_yogg_cthun_136765477730255_Spike_TS,114942,140.21%,
Single,DA_nzoth_cthun_56326976174031_Spike_DR,114716,139.74%,
Single,DA_nzoth_cthun_56326976174031_Spike,114487,139.26%,
Single,VF_nzoth_yogg_cthun_136765614299087_Flay_TS,114421,139.13%,
Single,DA_nzoth_cthun_56327044315087_Spike_DR,114300,138.87%,
Single,VF_nzoth_yogg_cthun_136765476698063_Spike_TS,114232,138.73%,
Single,VF_nzoth_yogg_cthun_136765543790543_Spike_TS,114166,138.59%,
Single,DA_yogg_cthun_99315377240015_Spike_DR_TS,114103,138.46%,
Single,VF_nzoth_yogg_cthun_136765615347663_Flay_TS,113876,137.99%,
Single,DA_nzoth_cthun_56327110375375_Spike_DR,113851,137.93%,
Single,DA_nzoth_cthun_56327110375375_Spike,113436,137.07%,
Single,VF_nzoth_yogg_cthun_136765548238799_Flay_TS,113418,137.03%,
Single,VF_nzoth_yogg_cthun_136765509187535_Spike_DR_TS,113349,136.88%,
Single,DA_yogg_cthun_99315379320783_Spike_DR_TS,113052,136.26%,
Single,VF_nzoth_yogg_cthun_136765276403663_Spike_TS,112445,135.00%,
Single,VF_nzoth_yogg_cthun_136765477730255_Spike_DR_TS,112395,134.89%,
Single,VF_nzoth_yogg_cthun_136765275371471_Spike_TS,111943,133.95%,
Single,VF_nzoth_yogg_cthun_136765513635791_Flay_DR_TS,111925,133.91%,
Single,DA_nzoth_cthun_58525999429583_Spike,111898,133.85%,
Single,VF_nzoth_yogg_cthun_136765279549391_Spike_TS,111723,133.49%,
Single,DA_yshaarj_nzoth_cthun_57891656021967_Spike_DR,111705,133.45%,
Single,DA_nzoth_cthun_59591293908943_Spike_DR,111366,132.74%,
Single,DA_nzoth_cthun_59591285536719_Spike,111272,132.54%,
Single,DA_nzoth_cthun_59591286568911_Spike,111228,132.45%,
Single,VF_nzoth_yogg_cthun_136765511538639_Flay_DR_TS,111204,132.40%,
Single,DA_nzoth_cthun_59591253014479_Spike_DR,111139,132.27%,
Single,DA_nzoth_cthun_59591285536719_Spike_DR,111027,132.03%,
Single,DA_nzoth_cthun_58526133630927_Spike,111002,131.98%,
Single,DA_nzoth_cthun_59591286568911_Spike_DR,110834,131.63%,
Single,DA_nzoth_yogg_cthun_136765543790543_Spike_TS,110830,131.62%,
Single,DA_nzoth_yogg_cthun_136765209311183_Spike_TS,110129,130.15%,
