profile,actor,DPS,increase,
freehold-tyran,DA_nzoth_cthun_100436356626351_Spike_DR,136869,129.50%,
freehold-tyran,DA_nzoth_cthun_100436390172591_Spike_DR,136733,129.27%,
freehold-tyran,DA_nzoth_cthun_100436363966383_Spike_DR,136655,129.14%,
freehold-tyran,DA_yshaarj_nzoth_cthun_98734483175343_Spike_DR,136410,128.73%,
freehold-tyran,DA_nzoth_cthun_100436255963055_Spike_DR,136372,128.66%,
freehold-tyran,VF_nzoth_yogg_cthun_129962385069999_Spike_DR_TS,136259,128.47%,
freehold-tyran,DA_nzoth_cthun_98245924353967_Spike_DR,136181,128.34%,
freehold-tyran,DA_yshaarj_nzoth_cthun_98734751602607_Spike_DR,136053,128.13%,
freehold-tyran,DA_nzoth_cthun_98245930645423_Spike_DR,136052,128.13%,
freehold-tyran,DA_nzoth_cthun_100436632393647_Spike_DR,136045,128.11%,
freehold-tyran,DA_yshaarj_nzoth_cthun_98734617393071_Spike_DR,135732,127.59%,
freehold-tyran,DA_nzoth_cthun_98241904105391_Spike_DR,135516,127.23%,
freehold-tyran,DA_nzoth_cthun_98246199072687_Spike_DR,135508,127.21%,
freehold-tyran,DA_yshaarj_cthun_81144444614575_Spike_DR,135454,127.12%,
freehold-tyran,DA_nzoth_yogg_cthun_129962385069999_Spike_DR_TS,135403,127.04%,
freehold-tyran,DA_yshaarj_cthun_81144713041839_Spike_DR,134939,126.26%,
freehold-tyran,DA_yshaarj_cthun_81144444868527_Spike_DR,134792,126.01%,
freehold-tyran,DA_yshaarj_cthun_81144505423791_Spike_DR,134677,125.82%,
freehold-tyran,DA_nzoth_cthun_98177479604143_Spike_DR,134652,125.78%,
freehold-tyran,VF_nzoth_yogg_cthun_129962251114415_Spike_DR_TS,134645,125.77%,
freehold-tyran,DA_nzoth_cthun_100436255963055_Spike,134468,125.47%,
freehold-tyran,DA_nzoth_cthun_100436356626351_Spike,134455,125.45%,
freehold-tyran,VF_nzoth_yogg_cthun_129962250860463_Spike_DR_TS,134394,125.35%,
freehold-tyran,VF_nzoth_yogg_cthun_129962386888623_Flay_DR_TS,134252,125.11%,
freehold-tyran,DA_nzoth_cthun_100436390172591_Spike,134116,124.88%,
freehold-tyran,VF_nzoth_yogg_cthun_129962385840047_Flay_DR_TS,134054,124.78%,
freehold-tyran,DA_nzoth_yogg_cthun_129962250860463_Spike_DR_TS,134000,124.69%,
freehold-tyran,VF_nzoth_yogg_cthun_129962281260975_Spike_DR_TS,133682,124.15%,
freehold-tyran,DA_yshaarj_cthun_81144375408559_Spike_DR,133500,123.85%,
freehold-tyran,DA_nzoth_cthun_100436363966383_Spike,133475,123.80%,
freehold-tyran,VF_yogg_cthun_121432580020143_Spike_DR_TS,133433,123.73%,
freehold-tyran,VF_yogg_cthun_119242146699183_Spike_DR_TS,133329,123.56%,
freehold-tyran,VF_nzoth_yogg_cthun_129962285176751_Flay_DR_TS,133001,123.01%,
freehold-tyran,DA_yshaarj_cthun_81144643835823_Spike_DR,132945,122.92%,
freehold-tyran,DA_nzoth_cthun_98245924353967_Spike,132944,122.91%,
freehold-tyran,DA_yshaarj_nzoth_cthun_98734483175343_Spike,132689,122.49%,
freehold-tyran,DA_nzoth_cthun_98245930645423_Spike,132490,122.15%,
freehold-tyran,DA_yshaarj_cthun_81151021283247_Spike_DR,132443,122.07%,
freehold-tyran,DA_nzoth_cthun_100436632393647_Spike,132348,121.92%,
freehold-tyran,DA_yshaarj_nzoth_cthun_98734617393071_Spike,132284,121.81%,
freehold-tyran,VF_nzoth_yogg_cthun_129962385069999_Spike_TS,132154,121.59%,
freehold-tyran,DA_nzoth_yogg_cthun_129962385069999_Spike_TS,131782,120.97%,
freehold-tyran,VF_yogg_cthun_119173427230639_Spike_DR_TS,131763,120.93%,
freehold-tyran,DA_yshaarj_cthun_81144444614575_Spike,131755,120.92%,
freehold-tyran,DA_nzoth_cthun_98241904105391_Spike,131750,120.91%,
freehold-tyran,DA_yshaarj_nzoth_cthun_98734751602607_Spike,131709,120.84%,
freehold-tyran,VF_nzoth_yogg_cthun_129962281260975_Spike_TS,131614,120.68%,
freehold-tyran,VF_nzoth_yogg_cthun_129962250860463_Spike_TS,131445,120.40%,
freehold-tyran,DA_nzoth_yogg_cthun_129962250860463_Spike_TS,131420,120.36%,
freehold-tyran,DA_yshaarj_cthun_81144444868527_Spike,131386,120.30%,
freehold-tyran,DA_nzoth_cthun_98246199072687_Spike,131355,120.25%,
freehold-tyran,DA_yshaarj_cthun_81144375408559_Spike,131205,120.00%,
freehold-tyran,VF_nzoth_yogg_cthun_129962251114415_Spike_TS,131061,119.76%,
freehold-tyran,DA_yshaarj_cthun_81144505423791_Spike,131056,119.75%,
freehold-tyran,DA_yshaarj_cthun_81144713041839_Spike,130772,119.27%,
freehold-tyran,VF_nzoth_yogg_cthun_1_Flay_DR_TS,130629,119.03%,
freehold-tyran,DA_nzoth_cthun_98177479604143_Spike,130515,118.84%,
freehold-tyran,VF_nzoth_yogg_cthun_129962386092975_Spike_DR_TS,130352,118.57%,
freehold-tyran,DA_yshaarj_cthun_81144643835823_Spike,130256,118.41%,
freehold-tyran,VF_nzoth_yogg_cthun_129962385306543_Spike_DR_TS,130083,118.12%,
freehold-tyran,VF_nzoth_yogg_cthun_129962419639215_Spike_DR_TS,130068,118.09%,
freehold-tyran,VF_yshaarj_nzoth_cthun_90810537711535_Flay_DR,129945,117.89%,
