profile,actor,DPS,increase,
neltharus-fort,VF_nzoth_yogg_cthun_136765509187535_Spike_DR_TS,156251,139.06%,
neltharus-fort,DA_nzoth_yogg_cthun_136765509187535_Spike_DR_TS,155711,138.24%,
neltharus-fort,VF_nzoth_yogg_cthun_136765477730255_Spike_DR_TS,155454,137.84%,
neltharus-fort,DA_nzoth_yogg_cthun_136765475649487_Spike_DR_TS,154846,136.91%,
neltharus-fort,DA_nzoth_yogg_cthun_136765543790543_Spike_DR_TS,154167,135.87%,
neltharus-fort,DA_nzoth_yogg_cthun_136765476698063_Spike_DR_TS,153943,135.53%,
neltharus-fort,DA_nzoth_yogg_cthun_136765480875983_Spike_DR_TS,153652,135.09%,
neltharus-fort,VF_nzoth_yogg_cthun_136765513635791_Flay_DR_TS,153304,134.55%,
neltharus-fort,VF_nzoth_yogg_cthun_136765511538639_Flay_DR_TS,153142,134.31%,
neltharus-fort,VF_yogg_cthun_99450833319887_Spike_DR_TS,152603,133.48%,
neltharus-fort,DA_nzoth_cthun_56326976174031_Spike_DR,152361,133.11%,
neltharus-fort,DA_nzoth_cthun_56326941571023_Spike_DR,152356,133.10%,
neltharus-fort,DA_nzoth_cthun_56327043282895_Spike_DR,152048,132.63%,
neltharus-fort,DA_nzoth_cthun_56327110375375_Spike_DR,151996,132.55%,
neltharus-fort,DA_nzoth_cthun_56327044315087_Spike_DR,151994,132.55%,
neltharus-fort,VF_yogg_cthun_99450800289743_Spike_DR_TS,151163,131.28%,
neltharus-fort,DA_nzoth_yogg_cthun_136765543790543_Spike_TS,150719,130.60%,
neltharus-fort,DA_nzoth_cthun_59591286568911_Spike_DR,150559,130.35%,
neltharus-fort,DA_nzoth_yogg_cthun_136765276403663_Spike_TS,150553,130.34%,
neltharus-fort,DA_nzoth_yogg_cthun_136765275371471_Spike_TS,150492,130.25%,
neltharus-fort,DA_nzoth_cthun_59591253014479_Spike_DR,150488,130.24%,
neltharus-fort,VF_yogg_cthun_99450805008335_Spike_DR_TS,150442,130.17%,
neltharus-fort,VF_nzoth_yogg_cthun_136765543790543_Spike_TS,150424,130.15%,
neltharus-fort,VF_nzoth_yogg_cthun_136765276403663_Spike_TS,150391,130.10%,
neltharus-fort,DA_nzoth_yogg_cthun_136765279549391_Spike_TS,150271,129.91%,
neltharus-fort,VF_nzoth_yogg_cthun_136765477730255_Spike_TS,150161,129.74%,
neltharus-fort,DA_nzoth_yogg_cthun_136765209311183_Spike_TS,150144,129.72%,
neltharus-fort,VF_nzoth_yogg_cthun_136765279549391_Spike_TS,150127,129.69%,
neltharus-fort,DA_nzoth_cthun_59591293908943_Spike_DR,150022,129.53%,
neltharus-fort,VF_yogg_cthun_99450801338319_Spike_DR_TS,150013,129.52%,
neltharus-fort,DA_nzoth_cthun_59591285536719_Spike_DR,149880,129.31%,
neltharus-fort,VF_nzoth_yogg_cthun_136765275371471_Spike_TS,149775,129.15%,
neltharus-fort,VF_nzoth_yogg_cthun_136765509187535_Spike_TS,149774,129.15%,
neltharus-fort,VF_nzoth_yogg_cthun_136765476698063_Spike_TS,149374,128.54%,
