profile,actor,DPS,increase,
rlp-tyran,DA_nzoth_cthun_56327110375375_Spike_DR,114588,64.09%,
rlp-tyran,DA_nzoth_cthun_56327044315087_Spike_DR,114264,63.63%,
rlp-tyran,DA_nzoth_cthun_56327043282895_Spike_DR,114162,63.48%,
rlp-tyran,DA_nzoth_cthun_56326976174031_Spike_DR,114054,63.33%,
rlp-tyran,VF_nzoth_yogg_cthun_136765477730255_Spike_DR_TS,112572,61.21%,
rlp-tyran,VF_nzoth_yogg_cthun_136765279549391_Spike_TS,112453,61.04%,
rlp-tyran,VF_nzoth_yogg_cthun_136765543790543_Spike_TS,112432,61.01%,
rlp-tyran,VF_nzoth_yogg_cthun_136765276403663_Spike_TS,112402,60.96%,
rlp-tyran,VF_nzoth_yogg_cthun_136765509187535_Spike_DR_TS,112334,60.87%,
rlp-tyran,VF_nzoth_yogg_cthun_136765405329359_Spike_TS,112270,60.77%,
rlp-tyran,DA_nzoth_cthun_59591286568911_Spike_DR,112251,60.75%,
rlp-tyran,DA_nzoth_cthun_59591293908943_Spike_DR,112218,60.70%,
rlp-tyran,DA_nzoth_yogg_cthun_136765279549391_Spike_TS,112086,60.51%,
rlp-tyran,VF_nzoth_yogg_cthun_136765477730255_Spike_TS,111999,60.39%,
rlp-tyran,DA_nzoth_cthun_56327042234319_Spike,111930,60.29%,
rlp-tyran,DA_nzoth_cthun_59591285536719_Spike_DR,111918,60.27%,
rlp-tyran,DA_nzoth_cthun_59591253014479_Spike_DR,111723,59.99%,
rlp-tyran,DA_yshaarj_cthun_20576876345295_Spike_DR,111627,59.85%,
rlp-tyran,VF_nzoth_yogg_cthun_136765509187535_Spike_TS,111605,59.82%,
rlp-tyran,VF_nzoth_yogg_cthun_136765275371471_Spike_TS,111535,59.72%,
rlp-tyran,DA_nzoth_yogg_cthun_136765275371471_Spike_TS,111500,59.67%,
rlp-tyran,VF_yogg_cthun_99450805008335_Spike_DR_TS,111390,59.51%,
rlp-tyran,DA_yogg_cthun_99315379320783_Spike_DR_TS,111315,59.41%,
rlp-tyran,VF_nzoth_yogg_cthun_136765682390991_Flay_TS,111308,59.40%,
rlp-tyran,VF_nzoth_cthun_59591286568911_Spike_DR,111199,59.24%,
rlp-tyran,DA_nzoth_yogg_cthun_136765543790543_Spike_DR_TS,111162,59.19%,
rlp-tyran,VF_nzoth_yogg_cthun_136765476698063_Spike_TS,111148,59.17%,
rlp-tyran,DA_nzoth_cthun_59591286568911_Spike,111121,59.13%,
rlp-tyran,DA_nzoth_yogg_cthun_136765480875983_Spike_DR_TS,111047,59.02%,
rlp-tyran,DA_yogg_cthun_99315377240015_Spike_DR_TS,111004,58.96%,
rlp-tyran,DA_yshaarj_cthun_20577083963343_Spike_DR,110989,58.94%,
rlp-tyran,VF_nzoth_yogg_cthun_136765475649487_Spike_TS,110873,58.77%,
rlp-tyran,DA_nzoth_cthun_59591285536719_Spike,110866,58.76%,
rlp-tyran,DA_yshaarj_cthun_20443939977167_Spike_DR,110516,58.26%,
rlp-tyran,VF_nzoth_yogg_cthun_136765548238799_Flay_TS,110439,58.15%,
rlp-tyran,VF_nzoth_yogg_cthun_136765513635791_Flay_DR_TS,110340,58.01%,
rlp-tyran,DA_yshaarj_cthun_20576809252815_Spike,110279,57.92%,
rlp-tyran,DA_yshaarj_cthun_20576742143951_Spike,110228,57.85%,
rlp-tyran,DA_yogg_cthun_99450799781839_Spike_TS,110221,57.84%,
rlp-tyran,VF_yogg_cthun_99450800289743_Spike_DR_TS,110184,57.79%,
rlp-tyran,DA_yshaarj_cthun_20576817625039_Spike,110129,57.71%,
rlp-tyran,VF_nzoth_yogg_cthun_136765511538639_Flay_DR_TS,110108,57.68%,
rlp-tyran,DA_yogg_cthun_99450564900815_Spike_TS,110084,57.64%,
rlp-tyran,VF_yogg_cthun_99450801338319_Spike_DR_TS,110038,57.58%,
rlp-tyran,VF_yogg_cthun_99450833319887_Spike_TS,109985,57.50%,
rlp-tyran,VF_yshaarj_cthun_20576876296143_Spike_DR,109789,57.22%,
rlp-tyran,VF_nzoth_yogg_cthun_136765614299087_Flay_TS,109752,57.17%,
rlp-tyran,DA_nzoth_cthun_57410517178319_Flay,109732,57.14%,
rlp-tyran,VF_yogg_cthun_99450668709839_Spike_TS,109675,57.06%,
rlp-tyran,VF_yogg_cthun_99450799781839_Spike_TS,109637,57.00%,
rlp-tyran,DA_yogg_cthun_99314437715919_Spike_TS,109301,56.52%,
rlp-tyran,VF_yshaarj_yogg_cthun_97613661059023_Spike_DR_TS,109193,56.37%,
rlp-tyran,VF_nzoth_cthun_59595581790159_Flay,109006,56.10%,
rlp-tyran,VF_yshaarj_yogg_cthun_97613661059023_Spike_TS,108616,55.54%,
rlp-tyran,VF_yshaarj_nzoth_cthun_57891553515471_Flay,108584,55.50%,
rlp-tyran,VF_nzoth_cthun_57412940371919_Flay,108472,55.34%,
rlp-tyran,VF_yshaarj_yogg_cthun_97613628028879_Spike_DR_TS,108425,55.27%,
rlp-tyran,VF_nzoth_yogg_cthun_136765544821711_Spike_TS,107876,54.48%,
rlp-tyran,VF_nzoth_yogg_cthun_136765544821711_Spike_DR_TS,107783,54.35%,
rlp-tyran,VF_nzoth_yogg_cthun_136765511267279_Spike_DR_TS,107518,53.97%,
rlp-tyran,VF_nzoth_yogg_cthun_136765578359759_Spike_DR_TS,107214,53.53%,
rlp-tyran,VF_nzoth_cthun_57346197526479_Flay_DR,107178,53.48%,
rlp-tyran,VF_yshaarj_nzoth_cthun_57893805856719_Flay_DR,106994,53.22%,
rlp-tyran,VF_yogg_cthun_99450805515215_Spike_DR_TS,106899,53.08%,
rlp-tyran,VF_yogg_cthun_99450937635791_Spike_DR_TS,106791,52.93%,
rlp-tyran,VF_yogg_cthun_99450835399631_Spike_TS,106735,52.85%,
rlp-tyran,VF_yogg_cthun_99450837496783_Spike_TS,106575,52.62%,
rlp-tyran,VF_nzoth_cthun_59593606001615_Spike_DR,106323,52.26%,
rlp-tyran,VF_nzoth_cthun_59593576641487_Spike,106046,51.86%,
rlp-tyran,VF_yogg_cthun_99450833826767_Spike_TS,105561,51.17%,
rlp-tyran,DA_yogg_cthun_99450837496783_Spike_TS,104988,50.35%,
rlp-tyran,VF_yogg_cthun_99450833303503_Spike_TS,104979,50.33%,
rlp-tyran,DA_nzoth_cthun_57412802802639_Spike,104851,50.15%,
rlp-tyran,VF_yogg_cthun_99450971968463_Flay_TS,104674,49.90%,
rlp-tyran,VF_yshaarj_yogg_cthun_97613696693199_Spike_TS,103560,48.30%,
rlp-tyran,DA_nzoth_cthun_59593541514191_Spike,102511,46.80%,
rlp-tyran,DA_yshaarj_cthun_20579163272143_Spike,102397,46.64%,
rlp-tyran,Base,69831,0.00%,
