profile,actor,DPS,increase,
ur-tyran,VF_nzoth_yogg_cthun_136765509187535_Spike_TS,121791,128.71%,
ur-tyran,VF_nzoth_yogg_cthun_136765477730255_Spike_TS,121771,128.67%,
ur-tyran,VF_nzoth_yogg_cthun_136765543790543_Spike_TS,121535,128.23%,
ur-tyran,VF_nzoth_yogg_cthun_136765276403663_Spike_TS,121446,128.06%,
ur-tyran,VF_nzoth_yogg_cthun_136765475649487_Spike_TS,121121,127.45%,
ur-tyran,VF_nzoth_yogg_cthun_136765279549391_Spike_TS,121056,127.33%,
ur-tyran,VF_nzoth_yogg_cthun_136765476698063_Spike_TS,120868,126.97%,
ur-tyran,VF_nzoth_yogg_cthun_136765275371471_Spike_TS,120608,126.49%,
ur-tyran,VF_nzoth_yogg_cthun_136765405329359_Spike_TS,120529,126.34%,
ur-tyran,VF_nzoth_yogg_cthun_136765682390991_Flay_TS,120158,125.64%,
ur-tyran,VF_yogg_cthun_99450833319887_Spike_TS,119593,124.58%,
ur-tyran,DA_nzoth_yogg_cthun_136765543790543_Spike_TS,119337,124.10%,
ur-tyran,DA_nzoth_yogg_cthun_136765276403663_Spike_TS,119149,123.75%,
ur-tyran,VF_yogg_cthun_99450799781839_Spike_TS,119117,123.69%,
ur-tyran,VF_nzoth_yogg_cthun_136765614299087_Flay_TS,118951,123.37%,
ur-tyran,VF_nzoth_yogg_cthun_136765615347663_Flay_TS,118948,123.37%,
ur-tyran,VF_nzoth_yogg_cthun_136765548238799_Flay_TS,118921,123.32%,
ur-tyran,DA_nzoth_yogg_cthun_136765209311183_Spike_TS,118868,123.22%,
ur-tyran,DA_nzoth_yogg_cthun_136765279549391_Spike_TS,118753,123.00%,
ur-tyran,DA_nzoth_yogg_cthun_136765275371471_Spike_TS,118733,122.96%,
ur-tyran,DA_yogg_cthun_99450799781839_Spike_TS,118576,122.67%,
ur-tyran,VF_nzoth_yogg_cthun_136765511267279_Spike_TS,118445,122.42%,
ur-tyran,VF_nzoth_yogg_cthun_136765544821711_Spike_TS,118368,122.28%,
ur-tyran,DA_yogg_cthun_99450564900815_Spike_TS,118224,122.01%,
ur-tyran,VF_yogg_cthun_99450668709839_Spike_TS,117862,121.33%,
ur-tyran,VF_yogg_cthun_99450800289743_Spike_DR_TS,117512,120.67%,
ur-tyran,VF_yogg_cthun_99450801338319_Spike_DR_TS,117112,119.92%,
ur-tyran,DA_nzoth_cthun_56327042234319_Spike,116811,119.36%,
ur-tyran,DA_nzoth_cthun_56326976174031_Spike,116740,119.22%,
ur-tyran,DA_nzoth_cthun_56327110375375_Spike,116575,118.91%,
ur-tyran,VF_yogg_cthun_99450805008335_Spike_DR_TS,116381,118.55%,
ur-tyran,VF_nzoth_yogg_cthun_136765509187535_Spike_DR_TS,116359,118.51%,
ur-tyran,VF_yogg_cthun_99450835399631_Spike_TS,116350,118.49%,
ur-tyran,VF_nzoth_yogg_cthun_136765477730255_Spike_DR_TS,116208,118.22%,
ur-tyran,DA_yogg_cthun_99314437715919_Spike_TS,116179,118.17%,
ur-tyran,VF_yogg_cthun_99450837496783_Spike_TS,116129,118.07%,
ur-tyran,DA_nzoth_cthun_58525999429583_Spike,116042,117.91%,
ur-tyran,VF_yogg_cthun_99450833826767_Spike_TS,115927,117.70%,
ur-tyran,DA_nzoth_cthun_58526133630927_Spike,115903,117.65%,
ur-tyran,VF_yshaarj_yogg_cthun_97613661059023_Spike_TS,115883,117.61%,
ur-tyran,DA_nzoth_cthun_59591286568911_Spike,115659,117.19%,
ur-tyran,DA_yogg_cthun_99450837496783_Spike_TS,115510,116.91%,
ur-tyran,DA_nzoth_cthun_59591285536719_Spike,115285,116.49%,
ur-tyran,DA_nzoth_cthun_56327043282895_Spike_DR,114575,115.16%,
ur-tyran,DA_nzoth_cthun_56326976174031_Spike_DR,114374,114.78%,
ur-tyran,DA_nzoth_cthun_56327110375375_Spike_DR,114257,114.56%,
ur-tyran,DA_yogg_cthun_99315377240015_Spike_DR_TS,113929,113.94%,
