profile,actor,DPS,increase,
Dungeons,DA_nzoth_yogg_1_AoE,72188,84.45%,
Dungeons,VF_nzoth_yogg_1_AoE,71956,83.86%,
Dungeons,VF_cthun_yogg_445672980946863_AoE,71942,83.82%,
Dungeons,VF_cthun_yogg_445672779620271_AoE,71565,82.86%,
Dungeons,VF_cthun_yogg_445673038651311_AoE,71427,82.51%,
Dungeons,VF_cthun_yogg_445672712527791_AoE,71293,82.16%,
Dungeons,VF_cthun_yogg_445673307086767_AoE,71141,81.78%,
Dungeons,VF_cthun_yogg_445672972591023_AoE,71136,81.76%,
Dungeons,VF_cthun_yogg_445672971558831_AoE,71080,81.62%,
Dungeons,VF_cthun_yogg_445672762859439_AoE,71027,81.48%,
Dungeons,VF_cthun_yogg_445672770232239_AoE,71014,81.45%,
Dungeons,VF_cthun_yogg_445673290325935_AoE,70991,81.39%,
Dungeons,VF_cthun_yogg_445673299713967_AoE,70975,81.35%,
Dungeons,VF_cthun_yogg_445672771264431_AoE,70940,81.26%,
Dungeons,VF_cthun_yogg_445672704171951_AoE,70687,80.62%,
Dungeons,VF_cthun_yogg_444573536427951_AoE,70606,80.41%,
Dungeons,VF_cthun_yogg_445672716705711_AoE,70554,80.28%,
Dungeons,VF_cthun_yogg_445672712544175_AoE,70482,80.09%,
Dungeons,VF_cthun_yogg_445672754503599_AoE,70477,80.08%,
Dungeons,VF_cthun_yogg_445673291358127_AoE,70463,80.04%,
Dungeons,VF_cthun_yogg_445672975736751_AoE,70320,79.68%,
Dungeons,VF_cthun_yogg_444574063894447_AoE,70310,79.65%,
Dungeons,VF_cthun_yogg_445672696274863_AoE,70262,79.53%,
Dungeons,VF_cthun_yogg_444573527039919_AoE,70209,79.40%,
Dungeons,VF_cthun_yogg_444573469335471_AoE,70180,79.32%,
Dungeons,VF_cthun_yogg_445672703647663_AoE,70162,79.27%,
Dungeons,VF_cthun_yogg_445672767037359_AoE,70159,79.27%,
Dungeons,VF_cthun_yogg_445672774410159_AoE,70157,79.26%,
Dungeons,VF_cthun_yogg_445672753979311_AoE,70150,79.25%,
Dungeons,VF_cthun_yogg_444573268008879_AoE,70084,79.07%,
Dungeons,VF_cthun_yogg_444573795475375_AoE,70060,79.01%,
Dungeons,VF_cthun_yogg_445672762875823_AoE,70032,78.94%,
Dungeons,VF_cthun_yogg_444573528072111_AoE,70030,78.94%,
Dungeons,VF_cthun_yogg_444573804863407_AoE,70023,78.92%,
Dungeons,VF_cthun_yogg_444556893429679_AoE,70013,78.89%,
Dungeons,VF_cthun_yogg_445672699944879_AoE,69982,78.81%,
Dungeons,VF_cthun_yogg_445672708349871_AoE,69943,78.71%,
Dungeons,VF_cthun_yogg_444556884041647_AoE,69911,78.63%,
Dungeons,VF_cthun_yogg_445672695783343_AoE,69894,78.59%,
Dungeons,VF_cthun_yogg_445672707317679_AoE,69878,78.55%,
Dungeons,VF_cthun_yogg_444556356575151_AoE,69869,78.53%,
Dungeons,VF_cthun_yogg_445672757649327_AoE,69810,78.38%,
Dungeons,VF_cthun_yogg_444573788102575_AoE,69795,78.34%,
Dungeons,VF_cthun_yogg_445672703123391_ST,69790,78.32%,
Dungeons,VF_cthun_yogg_445673294503855_AoE,69749,78.22%,
Dungeons,VF_yshaarj_yogg_370837269995439_AoE,69697,78.09%,
Dungeons,VF_cthun_yogg_444573259653039_AoE,69680,78.04%,
Dungeons,VF_cthun_yogg_444573460979631_AoE,69660,77.99%,
Dungeons,VF_yshaarj_yogg_370837471322031_AoE,69626,77.90%,
Dungeons,VF_cthun_yogg_444573796507567_AoE,69624,77.90%,
