profile,actor,DPS,increase,
hov-fort,VF_nzoth_cthun_59595580438479_Spike_DR,122116,65.80%,
hov-fort,VF_nzoth_cthun_59591286568911_Spike_DR,122115,65.79%,
hov-fort,VF_nzoth_cthun_59591285536719_Spike_DR,122094,65.77%,
hov-fort,VF_nzoth_cthun_59591293908943_Spike_DR,122014,65.66%,
hov-fort,VF_nzoth_cthun_59591219476431_Spike_DR,121909,65.52%,
hov-fort,VF_nzoth_cthun_59591227848655_Spike_DR,121872,65.46%,
hov-fort,VF_nzoth_cthun_59591152367567_Spike_DR,121860,65.45%,
hov-fort,VF_nzoth_cthun_59595521767375_Spike_DR,121849,65.43%,
hov-fort,VF_nzoth_cthun_59591226816463_Spike_DR,121845,65.43%,
hov-fort,VF_nzoth_cthun_59591159707599_Spike_DR,121807,65.38%,
hov-fort,VF_nzoth_cthun_59591160739791_Spike_DR,121801,65.37%,
hov-fort,VF_nzoth_cthun_59591253014479_Spike_DR,121798,65.36%,
hov-fort,VF_nzoth_cthun_59595580487631_Spike_DR,121778,65.34%,
hov-fort,VF_nzoth_cthun_59591428126671_Spike_DR,121738,65.28%,
hov-fort,VF_nzoth_cthun_59591495235535_Spike_DR,121722,65.26%,
hov-fort,VF_nzoth_cthun_59595454658511_Spike_DR,121698,65.23%,
hov-fort,VF_nzoth_cthun_59595513395151_Spike_DR,121693,65.22%,
hov-fort,VF_nzoth_cthun_59591185905615_Spike_DR,121691,65.22%,
hov-fort,VF_nzoth_cthun_59591118813135_Spike_DR,121690,65.22%,
hov-fort,VF_nzoth_cthun_59595788105679_Spike_DR,121686,65.21%,
hov-fort,VF_nzoth_cthun_59591225767887_Spike_DR,121681,65.21%,
hov-fort,VF_nzoth_cthun_59591250933711_Spike_DR,121654,65.17%,
hov-fort,VF_nzoth_cthun_59595446286287_Spike_DR,121649,65.16%,
hov-fort,VF_nzoth_cthun_59595519686607_Spike_DR,121632,65.14%,
hov-fort,VF_nzoth_cthun_59595520718799_Spike_DR,121616,65.12%,
hov-fort,VF_nzoth_cthun_59591393523663_Spike_DR,121582,65.07%,
hov-fort,VF_nzoth_cthun_59591493154767_Spike_DR,121576,65.06%,
hov-fort,VF_nzoth_cthun_59591494186959_Spike_DR,121574,65.06%,
hov-fort,VF_nzoth_cthun_59591259305935_Spike_DR,121571,65.06%,
hov-fort,VF_nzoth_cthun_59591181727695_Spike_DR,121564,65.05%,
hov-fort,VF_nzoth_cthun_59591423948751_Spike_DR,121556,65.04%,
hov-fort,VF_nzoth_cthun_59595512346575_Spike_DR,121549,65.03%,
hov-fort,VF_nzoth_cthun_59591127185359_Spike_DR,121544,65.02%,
hov-fort,VF_nzoth_cthun_59591156561871_Spike_DR,121531,65.00%,
hov-fort,VF_nzoth_cthun_59591424980943_Spike_DR,121528,65.00%,
hov-fort,VF_nzoth_cthun_59592359213007_Spike_DR,121528,65.00%,
hov-fort,VF_nzoth_cthun_59591125104591_Spike_DR,121526,65.00%,
hov-fort,VF_nzoth_cthun_59595718899663_Spike_DR,121510,64.97%,
hov-fort,VF_nzoth_cthun_59595450480591_Spike_DR,121503,64.96%,
hov-fort,VF_nzoth_cthun_59595413764047_Spike_DR,121482,64.94%,
hov-fort,VF_nzoth_cthun_59595451512783_Spike_DR,121475,64.93%,
hov-fort,VF_nzoth_cthun_59595443140559_Spike_DR,121473,64.92%,
hov-fort,VF_nzoth_cthun_59595447318479_Spike_DR,121464,64.91%,
hov-fort,VF_nzoth_cthun_59595420055503_Spike_DR,121457,64.90%,
hov-fort,VF_nzoth_cthun_59591285995471_Spike_DR,121450,64.89%,
hov-fort,VF_nzoth_cthun_59595514427343_Spike_DR,121411,64.84%,
hov-fort,VF_yshaarj_cthun_20576876296143_Spike_DR,121398,64.82%,
hov-fort,VF_nzoth_cthun_59595545884623_Spike_DR,121396,64.82%,
hov-fort,VF_nzoth_cthun_59591389345743_Spike_DR,121368,64.78%,
hov-fort,VF_nzoth_cthun_59591391426511_Spike_DR,121366,64.78%,
hov-fort,VF_nzoth_cthun_59591123007439_Spike_DR,121352,64.76%,
hov-fort,VF_nzoth_cthun_59595411683279_Spike_DR,121349,64.75%,
hov-fort,VF_nzoth_cthun_59595415877583_Spike_DR,121315,64.71%,
hov-fort,VF_nzoth_cthun_59593299851215_Spike_DR,121266,64.64%,
hov-fort,VF_nzoth_cthun_59595580438479_Spike,121250,64.62%,
hov-fort,VF_nzoth_cthun_59593441392591_Spike_DR,121245,64.61%,
hov-fort,VF_nzoth_cthun_59595684296655_Spike_DR,121243,64.61%,
hov-fort,VF_nzoth_cthun_59593575610319_Spike_DR,121240,64.61%,
hov-fort,VF_nzoth_cthun_59591294367695_Spike_DR,121238,64.60%,
hov-fort,VF_nzoth_cthun_59592292169679_Spike_DR,121226,64.59%,
hov-fort,VF_nzoth_cthun_59595857500111_Flay_DR,121208,64.56%,
hov-fort,VF_nzoth_cthun_59593541007311_Spike_DR,121207,64.56%,
hov-fort,VF_nzoth_cthun_59593642719183_Spike_DR,121205,64.56%,
hov-fort,VF_nzoth_cthun_59595417958351_Spike_DR,121202,64.56%,
hov-fort,VF_nzoth_cthun_59593641670607_Spike_DR,121198,64.55%,
hov-fort,VF_nzoth_cthun_59595476678607_Spike_DR,121189,64.54%,
hov-fort,VF_nzoth_cthun_59595409586127_Spike_DR,121187,64.53%,
hov-fort,VF_yshaarj_cthun_20576876345295_Spike_DR,121187,64.53%,
hov-fort,VF_nzoth_cthun_59591190099919_Spike_DR,121186,64.53%,
hov-fort,VF_nzoth_cthun_59593374300111_Spike_DR,121180,64.53%,
hov-fort,VF_nzoth_cthun_59592225060815_Spike_DR,121163,64.50%,
hov-fort,VF_nzoth_cthun_59593434052559_Spike_DR,121161,64.50%,
hov-fort,VF_nzoth_cthun_59593640638415_Spike_DR,121150,64.48%,
hov-fort,VF_nzoth_cthun_59591295211471_Flay_DR,121147,64.48%,
hov-fort,VF_yshaarj_cthun_20576817625039_Spike_DR,121145,64.48%,
hov-fort,VF_nzoth_cthun_59591320377295_Flay_DR,121130,64.46%,
hov-fort,VF_nzoth_cthun_59593266296783_Spike_DR,121128,64.45%,
hov-fort,VF_nzoth_cthun_59593307191247_Spike_DR,121123,64.45%,
hov-fort,VF_nzoth_cthun_59595589130191_Flay_DR,121117,64.44%,
hov-fort,VF_nzoth_cthun_59591286839247_Flay_DR,121114,64.44%,
hov-fort,VF_nzoth_cthun_59593538910159_Spike_DR,121114,64.44%,
hov-fort,VF_nzoth_cthun_59595580946383_Spike_DR,121113,64.43%,
hov-fort,VF_nzoth_cthun_59595589081039_Flay_DR,121106,64.42%,
hov-fort,VF_nzoth_cthun_59595450939343_Spike_DR,121100,64.42%,
hov-fort,VF_nzoth_cthun_59593505372111_Spike_DR,121095,64.41%,
hov-fort,VF_nzoth_cthun_59593508517839_Spike_DR,121095,64.41%,
hov-fort,VF_nzoth_cthun_59593433020367_Spike_DR,121082,64.39%,
hov-fort,VF_nzoth_cthun_59593308223439_Spike_DR,121078,64.39%,
hov-fort,VF_nzoth_cthun_59592299493327_Spike_DR,121076,64.38%,
hov-fort,VF_nzoth_cthun_59592359262159_Spike_DR,121073,64.38%,
hov-fort,VF_nzoth_cthun_59591562598351_Flay_DR,121066,64.37%,
hov-fort,VF_nzoth_cthun_59591227275215_Spike_DR,121063,64.37%,
hov-fort,VF_yshaarj_cthun_20576742143951_Spike_DR,121061,64.36%,
hov-fort,VF_nzoth_cthun_59592300541903_Spike_DR,121052,64.35%,
hov-fort,VF_yshaarj_cthun_20576815544271_Spike_DR,121051,64.35%,
hov-fort,VF_nzoth_cthun_59591495694287_Spike_DR,121047,64.34%,
hov-fort,VF_nzoth_cthun_59595581790159_Flay_DR,121043,64.34%,
hov-fort,VF_nzoth_cthun_59593366960079_Spike_DR,121042,64.34%,
hov-fort,VF_nzoth_cthun_59595522226127_Spike_DR,121040,64.34%,
hov-fort,VF_yshaarj_cthun_20576809252815_Spike_DR,121039,64.33%,
hov-fort,VF_nzoth_cthun_59591294179279_Flay_DR,121037,64.33%,
hov-fort,VF_nzoth_cthun_59591562549199_Flay_DR,121026,64.32%,
hov-fort,VF_nzoth_cthun_59593509550031_Spike_DR,121020,64.31%,
hov-fort,VF_nzoth_cthun_59591428585423_Spike_DR,121018,64.31%,
hov-fort,VF_nzoth_cthun_59591151843279_Spike_DR,121017,64.30%,
hov-fort,VF_nzoth_cthun_59593375332303_Spike_DR,121011,64.30%,
hov-fort,VF_nzoth_cthun_59592293201871_Spike_DR,121005,64.29%,
hov-fort,VF_nzoth_cthun_59593572464591_Spike_DR,121003,64.29%,
hov-fort,VF_nzoth_cthun_59591219984335_Spike_DR,121000,64.28%,
hov-fort,VF_nzoth_cthun_59595455117263_Spike_DR,120994,64.27%,
hov-fort,VF_nzoth_cthun_59595513853903_Spike_DR,120994,64.27%,
hov-fort,VF_yshaarj_cthun_20576810285007_Spike_DR,120994,64.27%,
hov-fort,VF_nzoth_cthun_59593406789583_Spike_DR,120982,64.26%,
hov-fort,VF_nzoth_cthun_59593571432399_Spike_DR,120980,64.25%,
hov-fort,VF_nzoth_cthun_59595580757967_Flay_DR,120970,64.24%,
hov-fort,VF_nzoth_cthun_59591160166351_Spike_DR,120965,64.23%,
hov-fort,VF_nzoth_cthun_59593373251535_Spike_DR,120964,64.23%,
hov-fort,VF_nzoth_cthun_59595788564431_Spike_DR,120951,64.21%,
hov-fort,VF_nzoth_cthun_59595446745039_Spike_DR,120942,64.20%,
hov-fort,VF_nzoth_cthun_59592566880207_Spike_DR,120936,64.19%,
hov-fort,VF_nzoth_cthun_59593274669007_Spike_DR,120930,64.19%,
hov-fort,VF_nzoth_cthun_59591285536719_Spike,120926,64.18%,
