profile,actor,DPS,increase,
vtp-tyran,VF_nzoth_yogg_cthun_136765509187535_Spike_DR_TS,125714,76.65%,
vtp-tyran,VF_nzoth_yogg_cthun_136765477730255_Spike_DR_TS,125207,75.94%,
vtp-tyran,DA_nzoth_yogg_cthun_136765509187535_Spike_DR_TS,124917,75.53%,
vtp-tyran,VF_nzoth_yogg_cthun_136765479827407_Spike_DR_TS,124762,75.31%,
vtp-tyran,VF_nzoth_yogg_cthun_136765476157391_Spike_DR_TS,124679,75.19%,
vtp-tyran,VF_nzoth_yogg_cthun_136765242849231_Spike_DR_TS,124515,74.96%,
vtp-tyran,VF_nzoth_yogg_cthun_136765475649487_Spike_DR_TS,124499,74.94%,
vtp-tyran,DA_nzoth_cthun_56326941571023_Spike_DR,124452,74.88%,
vtp-tyran,DA_nzoth_yogg_cthun_136765477730255_Spike_DR_TS,124443,74.86%,
vtp-tyran,VF_nzoth_yogg_cthun_136765543790543_Spike_DR_TS,124415,74.82%,
vtp-tyran,DA_nzoth_cthun_56326939473871_Spike_DR,124329,74.70%,
vtp-tyran,DA_nzoth_cthun_56326943651791_Spike_DR,124300,74.66%,
vtp-tyran,DA_nzoth_cthun_56326973028303_Spike_DR,124271,74.62%,
vtp-tyran,VF_nzoth_yogg_cthun_136765244946383_Spike_DR_TS,124266,74.61%,
vtp-tyran,DA_nzoth_cthun_56327042234319_Spike_DR,124262,74.61%,
vtp-tyran,DA_nzoth_yogg_cthun_136765475649487_Spike_DR_TS,124220,74.55%,
vtp-tyran,DA_nzoth_cthun_56327075772367_Spike_DR,124210,74.54%,
vtp-tyran,DA_yogg_cthun_99450833319887_Spike_DR_TS,124196,74.52%,
vtp-tyran,DA_nzoth_cthun_56326976174031_Spike_DR,124174,74.49%,
vtp-tyran,DA_nzoth_cthun_56326977206223_Spike_DR,124171,74.48%,
vtp-tyran,DA_nzoth_cthun_56327044315087_Spike_DR,124169,74.48%,
vtp-tyran,DA_nzoth_cthun_56327006566351_Spike_DR,124167,74.48%,
vtp-tyran,VF_yogg_cthun_99450833319887_Spike_DR_TS,124137,74.43%,
vtp-tyran,DA_nzoth_yogg_cthun_136765479827407_Spike_DR_TS,124105,74.39%,
vtp-tyran,VF_nzoth_yogg_cthun_136765276403663_Spike_DR_TS,124103,74.39%,
vtp-tyran,DA_nzoth_cthun_56327110375375_Spike_DR,124095,74.37%,
vtp-tyran,DA_nzoth_yogg_cthun_136765242849231_Spike_DR_TS,124054,74.32%,
vtp-tyran,VF_nzoth_yogg_cthun_136765480875983_Spike_DR_TS,124053,74.31%,
vtp-tyran,DA_nzoth_cthun_56327043282895_Spike_DR,124048,74.31%,
vtp-tyran,VF_nzoth_yogg_cthun_136765241276367_Spike_DR_TS,124027,74.28%,
vtp-tyran,DA_nzoth_yogg_cthun_136765543790543_Spike_DR_TS,124022,74.27%,
vtp-tyran,DA_nzoth_cthun_56326937901007_Spike_DR,124000,74.24%,
vtp-tyran,VF_nzoth_yogg_cthun_136765477205967_Spike_DR_TS,123957,74.18%,
vtp-tyran,DA_nzoth_yogg_cthun_136765476157391_Spike_DR_TS,123920,74.13%,
vtp-tyran,VF_nzoth_yogg_cthun_136765240768463_Spike_DR_TS,123907,74.11%,
vtp-tyran,DA_nzoth_cthun_56326939981775_Spike_DR,123865,74.05%,
