profile,actor,DPS,increase,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808078030767_Spike,259968,82.89%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808010930095_Spike,259056,82.25%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808015116207_Spike,259049,82.24%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808077760431_Flay,258916,82.15%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808077907887_Spike,258734,82.02%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808019310511_Spike,258595,81.92%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808081946543_Flay_DR,258491,81.85%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808011184047_Spike,258459,81.83%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808044484527_Spike,258443,81.82%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808048670639_Spike,258426,81.81%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808147236783_Spike_DR,258425,81.81%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808015116207_Spike_DR,258417,81.80%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808078030767_Spike_DR,258359,81.76%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808013027247_Spike,258257,81.69%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808081946543_Flay,258144,81.61%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808077760431_Flay,258140,81.60%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808081946543_Flay,258092,81.57%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808078161839_Spike,258017,81.52%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808078161839_Spike,257983,81.49%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808086017967_Flay,257936,81.46%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808115779503_Spike_DR,257892,81.43%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808021407663_Spike,257884,81.42%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808149055407_Flay_DR,257871,81.42%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808182609839_Flay_DR,257857,81.41%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808077760431_Flay_DR,257854,81.40%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808017221551_Spike,257801,81.37%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808044738479_Spike,257796,81.36%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808052864943_Spike,257778,81.35%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808147236783_Spike,257768,81.34%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808086140847_Flay,257731,81.32%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808009095087_Spike,257693,81.29%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808013027247_Spike_DR,257683,81.28%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808078030767_Spike,257617,81.24%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808013281199_Spike,257614,81.23%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808077907887_Spike,257608,81.23%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808354445231_Flay,257536,81.18%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808048400303_Flay,257523,81.17%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808081946543_Flay_DR,257482,81.14%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808011061167_Spike,257455,81.12%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808077907887_Spike_DR,257342,81.04%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808014845871_Flay_DR,257340,81.04%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808017475503_Spike,257320,81.03%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808048670639_Spike_DR,257257,80.98%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808115779503_Spike,257224,80.96%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808010930095_Spike_DR,257198,80.94%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808014845871_Flay,257166,80.92%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808048400303_Flay_DR,257160,80.92%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808086140847_Flay_DR,257083,80.86%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808021407663_Spike_DR,257060,80.85%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808285648815_Spike,257054,80.84%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808013281199_Spike_DR,257053,80.84%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808149055407_Flay_DR,257051,80.84%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808181839791_Spike_DR,257043,80.83%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808113944495_Spike_DR,257018,80.82%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808086140847_Flay,256956,80.77%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808086017967_Flay,256914,80.74%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808182609839_Flay_DR,256892,80.73%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808122070959_Spike_DR,256875,80.71%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808015116207_Spike,256851,80.70%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808113690543_Spike,256826,80.68%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808014845871_Flay,256815,80.67%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808052594607_Flay,256809,80.67%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808019310511_Spike_DR,256771,80.64%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808056780719_Flay,256771,80.64%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808115509167_Flay_DR,256766,80.64%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808019441583_Spike,256761,80.63%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808182609839_Flay,256752,80.63%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808113690543_Spike_DR,256743,80.62%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808011184047_Spike_DR,256738,80.62%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808078161839_Spike_DR,256737,80.62%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808010930095_Spike,256718,80.60%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808011061167_Spike,256706,80.60%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808149055407_Flay,256691,80.59%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808011184047_Spike,256689,80.58%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808181839791_Spike,256678,80.58%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808182609839_Flay,256676,80.57%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808044615599_Spike,256644,80.55%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808023226287_Flay_DR,256638,80.55%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808048670639_Spike,256611,80.53%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808149055407_Flay,256599,80.52%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808019040175_Flay,256597,80.52%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808181569455_Flay_DR,256574,80.50%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808019441583_Spike,256543,80.48%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808052864943_Spike_DR,256536,80.48%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808023226287_Flay,256507,80.46%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808047630255_Spike,256506,80.46%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808044738479_Spike_DR,256505,80.45%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808019310511_Spike,256490,80.44%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808048400303_Flay,256471,80.43%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808052996015_Spike,256444,80.41%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808056010671_Spike,256423,80.40%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808044738479_Spike,256373,80.36%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808047884207_Spike,256368,80.36%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808044484527_Spike_DR,256338,80.34%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808123119535_Spike_DR,256325,80.33%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808019040175_Flay,256302,80.31%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808086017967_Flay_DR,256295,80.31%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808051824559_Spike,256282,80.30%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808044615599_Spike,256278,80.29%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808047630255_Spike_DR,256265,80.29%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808043698095_Spike,256264,80.29%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808114739119_Spike_DR,256258,80.28%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808285648815_Spike_DR,256254,80.28%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808086017967_Flay_DR,256243,80.27%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808114739119_Spike,256239,80.27%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808056780719_Flay_DR,256223,80.26%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808056780719_Flay,256210,80.25%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808052996015_Spike,256193,80.24%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808023226287_Flay,256175,80.22%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808122070959_Spike,256169,80.22%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808146966447_Flay_DR,256166,80.22%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808017221551_Spike_DR,256129,80.19%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808320898991_Flay,256122,80.19%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808056010671_Spike_DR,256119,80.18%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808017352623_Spike,256117,80.18%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808044484527_Spike,256111,80.18%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808287344559_Flay,256103,80.17%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808114993071_Spike_DR,256081,80.16%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808147236783_Spike_DR,256079,80.15%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808011061167_Spike_DR,256068,80.15%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808009095087_Spike,256059,80.14%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808113944495_Spike,256023,80.12%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808009095087_Spike_DR,255989,80.09%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808014845871_Flay_DR,255956,80.07%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808321021871_Flay,255942,80.06%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808181569455_Flay,255920,80.04%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808056780719_Flay_DR,255906,80.03%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808047884207_Spike_DR,255880,80.01%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808015116207_Spike_DR,255878,80.01%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808013281199_Spike,255877,80.01%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808017221551_Spike,255850,79.99%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808017475503_Spike,255849,79.99%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808052594607_Flay,255817,79.97%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808021407663_Spike,255805,79.96%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808285779887_Spike,255805,79.96%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808052864943_Spike,255803,79.96%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808321021871_Flay,255783,79.95%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808123119535_Spike,255782,79.95%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808147236783_Spike,255774,79.94%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808354445231_Flay,255765,79.93%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808048400303_Flay_DR,255744,79.92%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808023226287_Flay_DR,255729,79.91%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808077760431_Flay_DR,255727,79.91%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808354445231_Flay_DR,255711,79.90%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808320251823_Spike,255708,79.89%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808146966447_Flay,255687,79.88%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808017352623_Spike,255679,79.87%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808285648815_Spike,255677,79.87%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808021137327_Flay_DR,255650,79.85%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808121030575_Spike_DR,255644,79.85%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808155346863_Flay_DR,255632,79.84%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808123889583_Flay_DR,255629,79.84%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808155346863_Flay_DR,255615,79.83%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808189949871_Flay_DR,255583,79.81%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808013027247_Spike,255567,79.79%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808078030767_Spike_DR,255557,79.79%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808086140847_Flay_DR,255552,79.78%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808052594607_Flay_DR,255543,79.78%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808019040175_Flay_DR,255531,79.77%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808115779503_Spike,255531,79.77%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808287467439_Flay,255528,79.77%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808052078511_Spike,255522,79.76%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808115509167_Flay,255503,79.75%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808078161839_Spike_DR,255472,79.73%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808146966447_Flay_DR,255453,79.71%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808115779503_Spike_DR,255453,79.71%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808115509167_Flay,255433,79.70%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808077907887_Spike_DR,255424,79.69%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808055740335_Flay,255418,79.69%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808189949871_Flay,255400,79.68%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808181569455_Flay,255345,79.64%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808047884207_Spike,255339,79.63%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808019441583_Spike_DR,255320,79.62%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808017475503_Spike_DR,255300,79.61%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808048670639_Spike_DR,255300,79.61%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808113944495_Spike,255294,79.60%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808146966447_Flay,255285,79.60%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808354445231_Flay_DR,255284,79.60%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808287344559_Flay,255266,79.58%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808123889583_Flay,255260,79.58%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808285779887_Spike,255253,79.57%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808189949871_Flay_DR,255253,79.57%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808389457839_Spike_DR,255246,79.57%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808115509167_Flay_DR,255206,79.54%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808320898991_Flay,255198,79.54%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808181569455_Flay_DR,255186,79.53%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808287467439_Flay,255182,79.52%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808021407663_Spike_DR,255141,79.50%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808114993071_Spike,255115,79.48%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808055740335_Flay,255106,79.47%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808013281199_Spike_DR,255045,79.43%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808051824559_Spike_DR,255040,79.42%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808044615599_Spike_DR,255032,79.42%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808122070959_Spike_DR,255027,79.41%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808055740335_Flay_DR,255014,79.41%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808122849199_Flay_DR,254992,79.39%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808021137327_Flay,254990,79.39%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808121030575_Spike,254951,79.36%,
brh-fort-push,DA_yshaarj_nzoth_cthun_89674206664623_Spike_DR,254938,79.35%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808289564591_Flay,254924,79.34%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808123889583_Flay_DR,254917,79.34%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808181839791_Spike,254902,79.33%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808019310511_Spike_DR,254866,79.30%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808121284527_Spike_DR,254839,79.28%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808019441583_Spike_DR,254837,79.28%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808013027247_Spike_DR,254833,79.28%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808051955631_Spike,254823,79.27%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808319981487_Flay,254821,79.27%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808114993071_Spike,254818,79.27%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808181839791_Spike_DR,254802,79.26%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808112904111_Spike_DR,254773,79.24%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808155346863_Flay,254753,79.22%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808287467439_Flay_DR,254738,79.21%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808052078511_Spike,254728,79.20%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808320382895_Spike,254724,79.20%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808021137327_Flay,254719,79.20%,
brh-fort-push,DA_yshaarj_nzoth_cthun_89674177304495_Spike_DR,254717,79.20%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808324167599_Flay,254712,79.19%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808113944495_Spike_DR,254694,79.18%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808043698095_Spike_DR,254682,79.17%,
brh-fort-push,DA_yshaarj_nzoth_cthun_89674139563951_Spike_DR,254679,79.17%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808189949871_Flay,254678,79.17%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808019040175_Flay_DR,254645,79.15%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808055740335_Flay_DR,254645,79.15%,
brh-fort-push,DA_yshaarj_nzoth_cthun_90808017352623_Spike_DR,254632,79.14%,
brh-fort-push,DA_yshaarj_nzoth_cthun_89674143750063_Spike_DR,254626,79.13%,
brh-fort-push,VF_yshaarj_nzoth_cthun_90808122070959_Spike,254608,79.12%,
