profile,actor,DPS,increase,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808081946543_Flay_DR,224779,72.73%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808077760431_Flay_DR,224405,72.44%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808147236783_Spike_DR,224389,72.43%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808015116207_Spike_DR,224289,72.35%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808149055407_Flay_DR,224227,72.30%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808182609839_Flay_DR,224213,72.29%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808078030767_Spike_DR,224110,72.21%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808115779503_Spike_DR,224034,72.15%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808048670639_Spike_DR,223848,72.01%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808181569455_Flay_DR,223691,71.89%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808077760431_Flay,223635,71.85%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808014845871_Flay_DR,223634,71.85%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808013027247_Spike_DR,223591,71.81%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808181839791_Spike_DR,223561,71.79%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808078030767_Spike,223549,71.78%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808021407663_Spike_DR,223541,71.78%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808048400303_Flay_DR,223473,71.72%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808122070959_Spike_DR,223412,71.68%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808013281199_Spike_DR,223391,71.66%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808113690543_Spike_DR,223335,71.62%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808010930095_Spike_DR,223326,71.61%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808113944495_Spike_DR,223297,71.59%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808115509167_Flay_DR,223282,71.58%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808086017967_Flay_DR,223271,71.57%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808010930095_Spike,223234,71.54%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808086140847_Flay_DR,223110,71.44%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808056780719_Flay_DR,223069,71.41%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808114739119_Spike_DR,223057,71.40%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808146966447_Flay_DR,223056,71.40%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808011184047_Spike_DR,222959,71.33%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808077907887_Spike,222949,71.32%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808077907887_Spike_DR,222913,71.29%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808023226287_Flay_DR,222910,71.29%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808015116207_Spike,222896,71.28%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674139563951_Spike_DR,222884,71.27%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808123889583_Flay_DR,222865,71.26%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808019310511_Spike_DR,222845,71.24%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808123119535_Spike_DR,222831,71.23%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674249664431_Spike_DR,222821,71.22%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808114993071_Spike_DR,222725,71.15%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808047884207_Spike_DR,222718,71.14%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808052594607_Flay_DR,222707,71.13%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808189949871_Flay_DR,222702,71.13%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808044484527_Spike,222691,71.12%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674243372975_Spike_DR,222681,71.11%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808047630255_Spike_DR,222645,71.09%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674206664623_Spike_DR,222618,71.07%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674176264111_Spike_DR,222593,71.05%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808048400303_Flay,222580,71.04%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674147944367_Spike_DR,222559,71.02%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808052864943_Spike_DR,222558,71.02%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674173118383_Spike_DR,222541,71.01%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674141661103_Spike_DR,222535,71.00%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808078161839_Spike_DR,222535,71.00%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674250704815_Spike_DR,222529,71.00%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674177304495_Spike_DR,222524,70.99%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808009095087_Spike_DR,222505,70.98%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808017221551_Spike_DR,222478,70.96%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808081946543_Flay,222473,70.95%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808011184047_Spike,222464,70.95%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808121284527_Spike_DR,222463,70.95%,
dht-fort-push,DA_yshaarj_cthun_81144437274543_Spike_DR,222452,70.94%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808112904111_Spike_DR,222443,70.93%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808056010671_Spike_DR,222418,70.91%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808019310511_Spike,222408,70.90%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674143750063_Spike_DR,222384,70.89%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808044484527_Spike_DR,222377,70.88%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808044738479_Spike_DR,222377,70.88%,
dht-fort-push,DA_yshaarj_cthun_81144438323119_Spike_DR,222371,70.88%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808019040175_Flay_DR,222352,70.86%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808122849199_Flay_DR,222348,70.86%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808017221551_Spike,222330,70.84%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674242324399_Spike_DR,222308,70.83%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674518091695_Spike_DR,222302,70.82%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674206394287_Flay_DR,222297,70.82%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674310473647_Spike_DR,222282,70.81%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808014845871_Flay,222260,70.79%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808155346863_Flay_DR,222257,70.79%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674251753391_Spike_DR,222250,70.78%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808048670639_Spike,222238,70.77%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808389457839_Spike_DR,222234,70.77%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674180458415_Spike_DR,222230,70.77%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674145855407_Spike_DR,222214,70.76%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808055740335_Flay_DR,222196,70.74%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674177034159_Flay_DR,222195,70.74%,
dht-fort-push,DA_yshaarj_cthun_81144372254639_Spike_DR,222166,70.72%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808086017967_Flay,222162,70.72%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808121030575_Spike_DR,222133,70.69%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674275870639_Spike_DR,222130,70.69%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674244413359_Spike_DR,222105,70.67%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808285648815_Spike_DR,222079,70.65%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808011061167_Spike_DR,222071,70.65%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808011061167_Spike,222059,70.64%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808009095087_Spike,222057,70.64%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808121800623_Flay_DR,222056,70.63%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674150041519_Spike_DR,222054,70.63%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674206541743_Spike_DR,222050,70.63%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674310203311_Flay_DR,222042,70.62%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808052594607_Flay,222029,70.61%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808013281199_Spike,222028,70.61%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808013027247_Spike,222009,70.60%,
dht-fort-push,DA_yshaarj_cthun_81144371214255_Spike_DR,221994,70.59%,
dht-fort-push,DA_yshaarj_cthun_81144338700207_Spike_DR,221993,70.59%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808017475503_Spike_DR,221980,70.58%,
dht-fort-push,DA_yshaarj_nzoth_cthun_89674181498799_Spike_DR,221978,70.57%,
dht-fort-push,DA_yshaarj_cthun_81144444614575_Spike_DR,221973,70.57%,
dht-fort-push,DA_yshaarj_cthun_81144505423791_Spike_DR,221965,70.56%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808044738479_Spike,221962,70.56%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808019040175_Flay,221930,70.54%,
dht-fort-push,DA_yshaarj_nzoth_cthun_90808019441583_Spike_DR,221916,70.53%,
dht-fort-push,DA_yshaarj_cthun_81144368068527_Spike_DR,221911,70.52%,
