profile,actor,DPS,increase,
dht-tyran-push,DA_nzoth_cthun_98186874845103_Spike_DR,210794,67.06%,
dht-tyran-push,DA_nzoth_cthun_98186868553647_Spike_DR,210702,66.98%,
dht-tyran-push,DA_nzoth_cthun_98186805639087_Spike_DR,210661,66.95%,
dht-tyran-push,DA_nzoth_cthun_98186801444783_Spike_DR,210642,66.94%,
dht-tyran-push,DA_nzoth_cthun_98186798299055_Spike_DR,210367,66.72%,
dht-tyran-push,DA_nzoth_cthun_98186867505071_Spike_DR,210364,66.72%,
dht-tyran-push,DA_nzoth_cthun_98187143272367_Spike_DR,210278,66.65%,
dht-tyran-push,DA_nzoth_cthun_98186866718639_Spike_DR,210250,66.63%,
dht-tyran-push,DA_nzoth_cthun_98186876934063_Spike_DR,210228,66.61%,
dht-tyran-push,DA_nzoth_cthun_98186771036079_Spike_DR,210213,66.60%,
dht-tyran-push,DA_nzoth_cthun_98187074066351_Spike_DR,210203,66.59%,
dht-tyran-push,DA_nzoth_cthun_98186764744623_Spike_DR,210174,66.57%,
dht-tyran-push,DA_nzoth_cthun_98186766841775_Spike_DR,210162,66.56%,
dht-tyran-push,DA_nzoth_cthun_98186809825199_Spike_DR,210113,66.52%,
dht-tyran-push,DA_nzoth_cthun_98186935654319_Spike_DR,210029,66.45%,
dht-tyran-push,DA_nzoth_cthun_98186806679471_Spike_DR,209948,66.39%,
dht-tyran-push,DA_nzoth_cthun_98186802485167_Spike_DR,209914,66.36%,
dht-tyran-push,DA_nzoth_cthun_98186869594031_Spike_DR,209857,66.32%,
dht-tyran-push,DA_nzoth_cthun_98186801698735_Spike_DR,209829,66.29%,
dht-tyran-push,DA_nzoth_cthun_98186775222191_Spike_DR,209793,66.26%,
dht-tyran-push,DA_yshaarj_cthun_81144371214255_Spike_DR,209736,66.22%,
dht-tyran-push,DA_nzoth_cthun_98187039463343_Spike_DR,209712,66.20%,
