profile,actor,DPS,increase,
tott-tyran-push,DA_nzoth_cthun_98186798299055_Spike,233087,69.23%,
tott-tyran-push,DA_nzoth_cthun_98186764744623_Spike,232997,69.17%,
tott-tyran-push,DA_nzoth_cthun_98186771036079_Spike,232775,69.01%,
tott-tyran-push,DA_nzoth_cthun_100436253865903_Spike,232739,68.98%,
tott-tyran-push,DA_nzoth_cthun_98186766841775_Spike,232636,68.91%,
tott-tyran-push,DA_nzoth_cthun_100436255963055_Spike,232631,68.90%,
tott-tyran-push,DA_nzoth_cthun_98186805639087_Spike,232617,68.89%,
tott-tyran-push,DA_nzoth_cthun_98186801444783_Spike,232582,68.87%,
tott-tyran-push,DA_nzoth_cthun_98186831845295_Spike,232582,68.87%,
tott-tyran-push,DA_nzoth_cthun_100436320966575_Spike,232378,68.72%,
tott-tyran-push,DA_nzoth_cthun_98186868553647_Spike,232253,68.63%,
tott-tyran-push,DA_nzoth_cthun_100436258052015_Spike,232240,68.62%,
tott-tyran-push,DA_nzoth_cthun_98186867505071_Spike,232223,68.61%,
tott-tyran-push,DA_nzoth_cthun_98186762909615_Spike,232218,68.60%,
tott-tyran-push,DA_nzoth_cthun_98186806679471_Spike,232188,68.58%,
tott-tyran-push,DA_nzoth_cthun_98186773125039_Spike,232167,68.57%,
tott-tyran-push,DA_nzoth_cthun_99320636110767_Spike,232131,68.54%,
tott-tyran-push,DA_nzoth_cthun_98186802485167_Spike,232118,68.53%,
tott-tyran-push,DA_nzoth_cthun_100436260157359_Spike,232117,68.53%,
tott-tyran-push,DA_nzoth_cthun_98186768930735_Spike,232062,68.49%,
tott-tyran-push,DA_nzoth_cthun_98186874845103_Spike,232053,68.48%,
tott-tyran-push,DA_nzoth_cthun_100436287420335_Spike,232010,68.45%,
tott-tyran-push,DA_nzoth_cthun_100436356626351_Spike,231934,68.40%,
tott-tyran-push,DA_nzoth_cthun_98186901051311_Spike,231883,68.36%,
tott-tyran-push,DA_nzoth_cthun_100436320843695_Spike,231862,68.34%,
tott-tyran-push,DA_nzoth_cthun_98186809825199_Spike,231856,68.34%,
tott-tyran-push,DA_nzoth_cthun_98186797512623_Spike,231835,68.32%,
tott-tyran-push,DA_nzoth_cthun_100436290566063_Spike,231833,68.32%,
tott-tyran-push,DA_nzoth_cthun_99320669665199_Spike,231822,68.32%,
tott-tyran-push,DA_nzoth_cthun_99320638207919_Spike,231814,68.31%,
tott-tyran-push,DA_nzoth_cthun_98186869594031_Spike,231810,68.31%,
tott-tyran-push,VF_nzoth_cthun_100436320696239_Flay,231809,68.31%,
tott-tyran-push,DA_nzoth_cthun_100436291606447_Spike,231790,68.29%,
tott-tyran-push,DA_cthun_80603168634799_Spike,231762,68.27%,
tott-tyran-push,DA_cthun_80663298176943_Spike,231731,68.25%,
tott-tyran-push,DA_nzoth_cthun_100436358715311_Spike,231731,68.25%,
tott-tyran-push,DA_nzoth_cthun_100436357674927_Spike,231692,68.22%,
tott-tyran-push,DA_nzoth_cthun_98187039463343_Spike,231664,68.20%,
tott-tyran-push,DA_nzoth_cthun_100436262246319_Spike,231656,68.19%,
tott-tyran-push,DA_nzoth_cthun_100436390172591_Spike,231648,68.19%,
tott-tyran-push,DA_nzoth_cthun_99320642402223_Spike,231622,68.17%,
tott-tyran-push,DA_cthun_80663331731375_Spike,231608,68.16%,
tott-tyran-push,DA_nzoth_cthun_100436264343471_Spike,231586,68.14%,
tott-tyran-push,DA_nzoth_cthun_99320640296879_Spike,231579,68.14%,
tott-tyran-push,DA_nzoth_cthun_98186764998575_Spike,231555,68.12%,
tott-tyran-push,DA_nzoth_cthun_98186935654319_Spike,231545,68.11%,
tott-tyran-push,DA_nzoth_cthun_98187074066351_Spike,231525,68.10%,
tott-tyran-push,DA_nzoth_cthun_99320703211439_Spike,231504,68.08%,
tott-tyran-push,DA_cthun_80603235735471_Spike,231502,68.08%,
tott-tyran-push,DA_nzoth_cthun_98186876934063_Spike,231490,68.07%,
tott-tyran-push,DA_nzoth_cthun_98186775222191_Spike,231453,68.05%,
tott-tyran-push,DA_nzoth_cthun_98186875885487_Spike,231436,68.04%,
tott-tyran-push,DA_nzoth_cthun_99320672810927_Spike,231436,68.04%,
tott-tyran-push,DA_nzoth_cthun_98186866718639_Spike,231404,68.01%,
tott-tyran-push,DA_nzoth_cthun_98186798553007_Spike,231384,68.00%,
tott-tyran-push,DA_nzoth_cthun_98187143272367_Spike,231355,67.98%,
tott-tyran-push,DA_nzoth_cthun_98186831574959_Flay,231335,67.96%,
tott-tyran-push,DA_nzoth_cthun_99320644491183_Spike,231331,67.96%,
tott-tyran-push,DA_nzoth_cthun_100436424775599_Spike,231326,67.96%,
tott-tyran-push,DA_cthun_80663300274095_Spike,231311,67.94%,
tott-tyran-push,DA_nzoth_cthun_99320738871215_Spike,231302,67.94%,
tott-tyran-push,DA_nzoth_cthun_98186771290031_Spike,231279,67.92%,
tott-tyran-push,VF_nzoth_cthun_100436328953775_Flay,231264,67.91%,
tott-tyran-push,DA_cthun_80603202189231_Spike,231228,67.88%,
tott-tyran-push,DA_nzoth_cthun_100436295800751_Spike,231217,67.88%,
tott-tyran-push,VF_nzoth_cthun_100436324882351_Flay,231208,67.87%,
tott-tyran-push,DA_nzoth_cthun_99320739919791_Spike,231187,67.85%,
tott-tyran-push,DA_cthun_80663304468399_Spike,231151,67.83%,
tott-tyran-push,DA_nzoth_cthun_100436528584623_Spike,231150,67.83%,
tott-tyran-push,DA_nzoth_cthun_100436363966383_Spike,231135,67.82%,
tott-tyran-push,DA_cthun_80603174926255_Spike,231099,67.79%,
tott-tyran-push,DA_cthun_80603205334959_Spike,231024,67.74%,
tott-tyran-push,DA_cthun_80663302363055_Spike,231019,67.73%,
tott-tyran-push,DA_cthun_80663339071407_Spike,231010,67.73%,
tott-tyran-push,DA_nzoth_cthun_99320646588335_Spike,231010,67.73%,
tott-tyran-push,DA_cthun_80603271395247_Spike,231000,67.72%,
tott-tyran-push,DA_nzoth_cthun_99320673851311_Spike,230996,67.72%,
tott-tyran-push,DA_cthun_80603206375343_Spike,230994,67.71%,
tott-tyran-push,DA_nzoth_cthun_100436365006767_Spike,230971,67.70%,
tott-tyran-push,DA_nzoth_cthun_99320702941103_Flay,230966,67.69%,
tott-tyran-push,DA_nzoth_cthun_98186801698735_Spike,230966,67.69%,
tott-tyran-push,DA_cthun_80663334877103_Spike,230949,67.68%,
tott-tyran-push,DA_cthun_80603170731951_Spike,230926,67.66%,
tott-tyran-push,DA_nzoth_cthun_98186767095727_Spike,230915,67.66%,
tott-tyran-push,DA_yshaarj_cthun_81144334514095_Spike,230908,67.65%,
tott-tyran-push,DA_nzoth_cthun_99320634275759_Spike,230886,67.64%,
tott-tyran-push,DA_nzoth_cthun_100436294760367_Spike,230875,67.63%,
tott-tyran-push,DA_nzoth_cthun_98186805893039_Spike,230851,67.61%,
tott-tyran-push,DA_cthun_80603209529263_Spike,230832,67.60%,
tott-tyran-push,DA_nzoth_cthun_99320677005231_Spike,230819,67.59%,
tott-tyran-push,DA_cthun_80663365277615_Spike,230818,67.59%,
tott-tyran-push,DA_cthun_80663335917487_Spike,230791,67.57%,
tott-tyran-push,DA_nzoth_cthun_98186802214831_Flay,230786,67.56%,
tott-tyran-push,DA_nzoth_cthun_98186806409135_Flay,230738,67.53%,
tott-tyran-push,DA_cthun_80603272443823_Spike,230726,67.52%,
tott-tyran-push,DA_nzoth_cthun_99320910829487_Spike,230726,67.52%,
tott-tyran-push,DA_cthun_80603177015215_Spike,230722,67.52%,
tott-tyran-push,DA_nzoth_cthun_99320678045615_Spike,230713,67.51%,
tott-tyran-push,DA_nzoth_cthun_100436298946479_Spike,230707,67.51%,
tott-tyran-push,VF_nzoth_cthun_100436291336111_Flay,230707,67.51%,
tott-tyran-push,DA_cthun_80603172820911_Spike,230694,67.50%,
tott-tyran-push,DA_nzoth_cthun_99320636364719_Spike,230690,67.49%,
tott-tyran-push,DA_yshaarj_nzoth_cthun_90808010930095_Spike,230675,67.48%,
tott-tyran-push,DA_cthun_80663403026351_Spike,230656,67.47%,
tott-tyran-push,DA_cthun_80603210569647_Spike,230645,67.46%,
tott-tyran-push,DA_nzoth_cthun_99320772417455_Spike,230641,67.46%,
tott-tyran-push,DA_nzoth_cthun_99320746211247_Spike,230635,67.45%,
tott-tyran-push,DA_cthun_80603179112367_Spike,230634,67.45%,
tott-tyran-push,DA_nzoth_cthun_100436366055343_Spike,230631,67.45%,
tott-tyran-push,DA_yshaarj_cthun_81144375408559_Spike,230630,67.45%,
tott-tyran-push,DA_cthun_80603213715375_Spike,230626,67.45%,
tott-tyran-push,DA_cthun_80603273484207_Spike,230601,67.43%,
tott-tyran-push,DA_yshaarj_cthun_81144368068527_Spike,230598,67.43%,
tott-tyran-push,DA_nzoth_cthun_100436320696239_Flay,230589,67.42%,
