profile,actor,DPS,increase,
Composite,T29-2-set+T30-4-set,394874,11.55%,
Composite,T30-2_4-set,391820,10.68%,
Composite,T31-2-set+T30-4-set,389635,10.07%,
Composite,T29-2_4-set,382001,7.91%,
Composite,T30-2-set+T29-4-set,379648,7.24%,
Composite,T31-2-set+T29-4-set,377336,6.59%,
Composite,T29-2-set+T30-2-set,377300,6.58%,
Composite,T29-2-set+T31-2-set,373446,5.49%,
Composite,T30-2-set+T31-2-set,370311,4.61%,
Composite,T31-2_4-set,367727,3.88%,
Composite,T29-2-set,366518,3.54%,
Composite,T30-2-set,364141,2.86%,
Composite,T31-2-set,361311,2.06%,
Composite,T29-2-set+T31-4-set,357613,1.02%,
Composite,T30-2-set+T31-4-set,355068,0.30%,
Composite,Base,354002,0.00%,
