profile,actor,DPS,increase,
Composite,Nymues_Unraveling_Spindle_IMMOBILIZED_489-Belorrelos_the_Suncaller_489,219078,21.33%,
Composite,Pips_Emerald_Friendship_Badge_489-Belorrelos_the_Suncaller_489,219077,21.33%,
Composite,Pips_Emerald_Friendship_Badge_489-Nymues_Unraveling_Spindle_IMMOBILIZED_489,218732,21.14%,
Composite,Sea_Star_489-Belorrelos_the_Suncaller_489,218355,20.93%,
Composite,Pips_Emerald_Friendship_Badge_483-Belorrelos_the_Suncaller_489,218294,20.89%,
Composite,Sea_Star_489-Nymues_Unraveling_Spindle_IMMOBILIZED_489,218135,20.80%,
Composite,Belorrelos_the_Suncaller_489-Ashes_of_the_Embersoul_489,218108,20.79%,
Composite,Coagulated_Genesaur_Blood_489-Belorrelos_the_Suncaller_489,218088,20.78%,
Composite,Energy_Siphon_476-Belorrelos_the_Suncaller_489,217994,20.73%,
Composite,Pips_Emerald_Friendship_Badge_489-Ashes_of_the_Embersoul_489,217956,20.71%,
Composite,Pips_Emerald_Friendship_Badge_483-Nymues_Unraveling_Spindle_IMMOBILIZED_489,217951,20.70%,
Composite,Balefire_Branch_489-Belorrelos_the_Suncaller_489,217949,20.70%,
Composite,Nymues_Unraveling_Spindle_IMMOBILIZED_489-Belorrelos_the_Suncaller_483,217802,20.62%,
Composite,Coagulated_Genesaur_Blood_489-Nymues_Unraveling_Spindle_IMMOBILIZED_489,217797,20.62%,
Composite,Nymues_Unraveling_Spindle_IMMOBILIZED_483-Belorrelos_the_Suncaller_489,217794,20.62%,
Composite,Living_Flame_476-Belorrelos_the_Suncaller_489,217771,20.60%,
Composite,Pips_Emerald_Friendship_Badge_489-Belorrelos_the_Suncaller_483,217723,20.58%,
Composite,Sea_Star_483-Belorrelos_the_Suncaller_489,217551,20.48%,
Composite,Balefire_Branch_489-Pips_Emerald_Friendship_Badge_489,217534,20.47%,
Composite,Nymues_Unraveling_Spindle_489-Belorrelos_the_Suncaller_489,217519,20.46%,
Composite,Pips_Emerald_Friendship_Badge_489-Nymues_Unraveling_Spindle_IMMOBILIZED_483,217467,20.43%,
Composite,Energy_Siphon_476-Pips_Emerald_Friendship_Badge_489,217458,20.43%,
Composite,Sea_Star_483-Nymues_Unraveling_Spindle_IMMOBILIZED_489,217342,20.37%,
Composite,Coagulated_Genesaur_Blood_483-Belorrelos_the_Suncaller_489,217306,20.35%,
Composite,Belorrelos_the_Suncaller_489-Ashes_of_the_Embersoul_483,217292,20.34%,
Composite,Mirror_of_Fractured_Tomorrows_489-Belorrelos_the_Suncaller_489,217284,20.33%,
Composite,Sea_Star_489-Pips_Emerald_Friendship_Badge_489,217201,20.29%,
Composite,Balefire_Branch_483-Belorrelos_the_Suncaller_489,217179,20.28%,
Composite,Mirror_of_Fractured_Tomorrows_489-Nymues_Unraveling_Spindle_IMMOBILIZED_489,217151,20.26%,
Composite,Coagulated_Genesaur_Blood_483-Nymues_Unraveling_Spindle_IMMOBILIZED_489,217142,20.25%,
Composite,Pips_Emerald_Friendship_Badge_489-Nymues_Unraveling_Spindle_489,217132,20.25%,
Composite,Pips_Emerald_Friendship_Badge_483-Ashes_of_the_Embersoul_489,217079,20.22%,
Composite,Coagulated_Genesaur_Blood_489-Pips_Emerald_Friendship_Badge_489,217067,20.21%,
Composite,Living_Flame_476-Pips_Emerald_Friendship_Badge_489,217037,20.20%,
Composite,Pips_Emerald_Friendship_Badge_489-Ashes_of_the_Embersoul_483,216975,20.16%,
Composite,Mirror_of_Fractured_Tomorrows_489-Pips_Emerald_Friendship_Badge_489,216958,20.15%,
