profile,actor,DPS,increase,
Dungeons,Eye_of_Skovald_421-Whispering_Incarnate_Icon_2_421,58103,24.44%,
Dungeons,Eye_of_Skovald_421-Whispering_Incarnate_Icon_1_421,57974,24.17%,
Dungeons,Eye_of_Skovald_421-Conjured_Chillglobe_415,57882,23.97%,
Dungeons,Eye_of_Skovald_421-Horn_of_Valor_421,57802,23.80%,
Dungeons,Eye_of_Skovald_421-Whispering_Incarnate_Icon_0_421,57713,23.61%,
Dungeons,Eye_of_Skovald_421-Whispering_Incarnate_Icon_2_408,57538,23.23%,
Dungeons,Eye_of_Skovald_421-Whispering_Incarnate_Icon_1_408,57464,23.08%,
Dungeons,Infernal_Wrist_421-Eye_of_Skovald_421,57407,22.95%,
Dungeons,Eye_of_Skovald_421-Horn_of_Valor_405,57353,22.84%,
Dungeons,Eye_of_Skovald_421-Whispering_Incarnate_Icon_0_408,57256,22.63%,
Dungeons,Eye_of_Skovald_421-Conjured_Chillglobe_402,57253,22.62%,
Dungeons,Eye_of_Skovald_421-Spiteful_Storm_424,57087,22.27%,
Dungeons,Eye_of_Skovald_405-Whispering_Incarnate_Icon_2_421,57066,22.22%,
Dungeons,Eye_of_Skovald_405-Whispering_Incarnate_Icon_1_421,56965,22.01%,
Dungeons,Infernal_Wrist_405-Eye_of_Skovald_421,56949,21.97%,
Dungeons,Eye_of_Skovald_405-Horn_of_Valor_421,56812,21.68%,
Dungeons,Eye_of_Skovald_405-Conjured_Chillglobe_415,56790,21.63%,
Dungeons,Eye_of_Skovald_405-Whispering_Incarnate_Icon_0_421,56729,21.50%,
Dungeons,Eye_of_Skovald_421-Spiteful_Storm_411,56612,21.25%,
Dungeons,Eye_of_Skovald_405-Whispering_Incarnate_Icon_2_408,56544,21.11%,
Dungeons,Eye_of_Skovald_405-Whispering_Incarnate_Icon_1_408,56535,21.09%,
Dungeons,Infernal_Wrist_421-Eye_of_Skovald_405,56320,20.63%,
Dungeons,Eye_of_Skovald_405-Conjured_Chillglobe_402,56282,20.54%,
Dungeons,Eye_of_Skovald_405-Horn_of_Valor_405,56270,20.52%,
Dungeons,Eye_of_Skovald_405-Whispering_Incarnate_Icon_0_408,56233,20.44%,
Dungeons,Eye_of_Skovald_405-Spiteful_Storm_424,56102,20.16%,
Dungeons,Infernal_Wrist_405-Eye_of_Skovald_405,55923,19.78%,
Dungeons,Eye_of_Skovald_405-Spiteful_Storm_411,55662,19.22%,
Dungeons,Conjured_Chillglobe_415-Whispering_Incarnate_Icon_2_421,55010,17.82%,
Dungeons,Conjured_Chillglobe_415-Whispering_Incarnate_Icon_1_421,54934,17.66%,
Dungeons,Horn_of_Valor_421-Whispering_Incarnate_Icon_2_421,54929,17.65%,
Dungeons,Horn_of_Valor_421-Whispering_Incarnate_Icon_1_421,54840,17.46%,
Dungeons,Conjured_Chillglobe_415-Whispering_Incarnate_Icon_0_421,54680,17.11%,
Dungeons,Horn_of_Valor_421-Whispering_Incarnate_Icon_0_421,54617,16.98%,
Dungeons,Conjured_Chillglobe_415-Whispering_Incarnate_Icon_1_408,54485,16.70%,
