profile,actor,DPS,increase,
Single,Furious_Ragefeather_421-Whispering_Incarnate_Icon_1_421,68892,17.96%,
Single,Furious_Ragefeather_421-Whispering_Incarnate_Icon_2_421,68871,17.93%,
Single,Furious_Ragefeather_421-Whispering_Incarnate_Icon_0_421,68590,17.45%,
Single,Eye_of_Skovald_421-Furious_Ragefeather_421,68562,17.40%,
Single,Furious_Ragefeather_421-Conjured_Chillglobe_415,68529,17.34%,
Single,Furious_Ragefeather_415-Whispering_Incarnate_Icon_1_421,68522,17.33%,
Single,Furious_Ragefeather_415-Whispering_Incarnate_Icon_2_421,68494,17.28%,
Single,Horn_of_Valor_421-Furious_Ragefeather_421,68451,17.21%,
Single,Furious_Ragefeather_421-Whispering_Incarnate_Icon_1_408,68324,16.99%,
Single,Furious_Ragefeather_421-Whispering_Incarnate_Icon_2_408,68315,16.98%,
Single,Furious_Ragefeather_421-Spiteful_Storm_424,68309,16.97%,
Single,Eye_of_Skovald_415-Furious_Ragefeather_421,68303,16.96%,
Single,Horn_of_Valor_415-Furious_Ragefeather_421,68257,16.88%,
Single,Infernal_Writ_421-Furious_Ragefeather_421,68176,16.74%,
Single,Furious_Ragefeather_415-Whispering_Incarnate_Icon_0_421,68168,16.72%,
Single,Eye_of_Skovald_421-Furious_Ragefeather_415,68159,16.71%,
Single,Furious_Ragefeather_415-Conjured_Chillglobe_415,68114,16.63%,
Single,Conjured_Chillglobe_415-Whispering_Incarnate_Icon_1_421,68067,16.55%,
Single,Eye_of_Skovald_421-Whispering_Incarnate_Icon_2_421,68058,16.54%,
Single,Horn_of_Valor_421-Furious_Ragefeather_415,68053,16.53%,
Single,Infernal_Writ_415-Furious_Ragefeather_421,68049,16.52%,
Single,Eye_of_Skovald_421-Whispering_Incarnate_Icon_1_421,68042,16.51%,
Single,Furious_Ragefeather_421-Whispering_Incarnate_Icon_0_408,68011,16.46%,
Single,Voidmenders_Shadowgem_421-Furious_Ragefeather_421,68011,16.46%,
Single,Conjured_Chillglobe_415-Whispering_Incarnate_Icon_2_421,67997,16.43%,
Single,Furious_Ragefeather_415-Whispering_Incarnate_Icon_1_408,67952,16.35%,
Single,Eye_of_Skovald_415-Furious_Ragefeather_415,67949,16.35%,
Single,Furious_Ragefeather_415-Spiteful_Storm_424,67944,16.34%,
Single,Horn_of_Valor_421-Whispering_Incarnate_Icon_1_421,67929,16.31%,
Single,Furious_Ragefeather_415-Whispering_Incarnate_Icon_2_408,67922,16.30%,
Single,Horn_of_Valor_421-Whispering_Incarnate_Icon_2_421,67904,16.27%,
Single,Furious_Ragefeather_421-Conjured_Chillglobe_402,67840,16.16%,
Single,Horn_of_Valor_415-Furious_Ragefeather_415,67840,16.16%,
