profile,actor,DPS,increase,
Single,Nymues_Unraveling_Spindle_IMMOBILIZED_489-Belorrelos_the_Suncaller_489,220443,22.20%,
Single,Pips_Emerald_Friendship_Badge_489-Nymues_Unraveling_Spindle_IMMOBILIZED_489,219971,21.94%,
Single,Sea_Star_489-Nymues_Unraveling_Spindle_IMMOBILIZED_489,219541,21.70%,
Single,Coagulated_Genesaur_Blood_489-Nymues_Unraveling_Spindle_IMMOBILIZED_489,219247,21.54%,
Single,Nymues_Unraveling_Spindle_IMMOBILIZED_489-Belorrelos_the_Suncaller_483,219229,21.53%,
Single,Pips_Emerald_Friendship_Badge_483-Nymues_Unraveling_Spindle_IMMOBILIZED_489,219207,21.52%,
Single,Nymues_Unraveling_Spindle_IMMOBILIZED_483-Belorrelos_the_Suncaller_489,219154,21.49%,
Single,Pips_Emerald_Friendship_Badge_489-Belorrelos_the_Suncaller_489,219024,21.42%,
Single,Pips_Emerald_Friendship_Badge_489-Nymues_Unraveling_Spindle_IMMOBILIZED_483,218724,21.25%,
Single,Nymues_Unraveling_Spindle_489-Belorrelos_the_Suncaller_489,218676,21.22%,
Single,Sea_Star_483-Nymues_Unraveling_Spindle_IMMOBILIZED_489,218629,21.20%,
Single,Mirror_of_Fractured_Tomorrows_489-Nymues_Unraveling_Spindle_IMMOBILIZED_489,218401,21.07%,
Single,Coagulated_Genesaur_Blood_483-Nymues_Unraveling_Spindle_IMMOBILIZED_489,218388,21.06%,
Single,Sea_Star_489-Belorrelos_the_Suncaller_489,218366,21.05%,
Single,Pips_Emerald_Friendship_Badge_483-Belorrelos_the_Suncaller_489,218313,21.02%,
Single,Pips_Emerald_Friendship_Badge_489-Nymues_Unraveling_Spindle_489,218117,20.91%,
Single,Sea_Star_489-Nymues_Unraveling_Spindle_IMMOBILIZED_483,218059,20.88%,
Single,Coagulated_Genesaur_Blood_489-Belorrelos_the_Suncaller_489,218015,20.86%,
Single,Belorrelos_the_Suncaller_489-Ashes_of_the_Embersoul_489,217969,20.83%,
Single,Energy_Siphon_476-Belorrelos_the_Suncaller_489,217923,20.81%,
Single,Nymues_Unraveling_Spindle_IMMOBILIZED_483-Belorrelos_the_Suncaller_483,217912,20.80%,
Single,Coagulated_Genesaur_Blood_489-Nymues_Unraveling_Spindle_IMMOBILIZED_483,217850,20.77%,
Single,Pips_Emerald_Friendship_Badge_489-Belorrelos_the_Suncaller_483,217828,20.75%,
Single,Pips_Emerald_Friendship_Badge_483-Nymues_Unraveling_Spindle_IMMOBILIZED_483,217811,20.75%,
Single,Balefire_Branch_489-Belorrelos_the_Suncaller_489,217733,20.70%,
Single,Nymues_Unraveling_Spindle_IMMOBILIZED_489-Augury_of_the_Primal_Flame_496,217680,20.67%,
Single,Living_Flame_476-Belorrelos_the_Suncaller_489,217664,20.66%,
Single,Sea_Star_489-Nymues_Unraveling_Spindle_489,217616,20.64%,
Single,Vessel_of_Skittering_Shadows_489-Nymues_Unraveling_Spindle_IMMOBILIZED_489,217614,20.64%,
Single,Pips_Emerald_Friendship_Badge_489-Ashes_of_the_Embersoul_489,217581,20.62%,
Single,Nymues_Unraveling_Spindle_483-Belorrelos_the_Suncaller_489,217562,20.61%,
Single,Pips_Emerald_Friendship_Badge_483-Nymues_Unraveling_Spindle_489,217438,20.54%,
Single,Sea_Star_483-Belorrelos_the_Suncaller_489,217396,20.52%,
Single,Coagulated_Genesaur_Blood_489-Nymues_Unraveling_Spindle_489,217386,20.51%,
Single,Nymues_Unraveling_Spindle_489-Belorrelos_the_Suncaller_483,217366,20.50%,
Single,Sea_Star_483-Nymues_Unraveling_Spindle_IMMOBILIZED_483,217313,20.47%,
Single,Energy_Siphon_476-Pips_Emerald_Friendship_Badge_489,217221,20.42%,
Single,Balefire_Branch_489-Pips_Emerald_Friendship_Badge_489,217212,20.41%,
Single,Coagulated_Genesaur_Blood_483-Belorrelos_the_Suncaller_489,217207,20.41%,
Single,Mirror_of_Fractured_Tomorrows_489-Belorrelos_the_Suncaller_489,217193,20.40%,
Single,Belorrelos_the_Suncaller_489-Ashes_of_the_Embersoul_483,217113,20.36%,
Single,Mirror_of_Fractured_Tomorrows_489-Nymues_Unraveling_Spindle_IMMOBILIZED_483,217023,20.31%,
Single,Coagulated_Genesaur_Blood_483-Nymues_Unraveling_Spindle_IMMOBILIZED_483,217018,20.31%,
Single,Pips_Emerald_Friendship_Badge_489-Nymues_Unraveling_Spindle_483,216961,20.27%,
Single,Balefire_Branch_483-Belorrelos_the_Suncaller_489,216956,20.27%,
Single,Sea_Star_489-Belorrelos_the_Suncaller_483,216942,20.26%,
Single,Sea_Star_489-Pips_Emerald_Friendship_Badge_489,216940,20.26%,
Single,Pips_Emerald_Friendship_Badge_483-Belorrelos_the_Suncaller_483,216913,20.25%,
Single,Pips_Emerald_Friendship_Badge_483-Ashes_of_the_Embersoul_489,216890,20.23%,
Single,Sea_Star_483-Nymues_Unraveling_Spindle_489,216845,20.21%,
Single,Mirror_of_Fractured_Tomorrows_489-Pips_Emerald_Friendship_Badge_489,216811,20.19%,
Single,Coagulated_Genesaur_Blood_489-Pips_Emerald_Friendship_Badge_489,216797,20.18%,
Single,Living_Flame_476-Pips_Emerald_Friendship_Badge_489,216771,20.17%,
