profile,actor,DPS,increase,
Single,Ominous_Chromatic_Essence_Emerald_AllAllies_528-Neltharions_Call_to_Suffering_535,368434,24.02%,
Single,Whispering_Incarnate_Icon_FULL_528-Ominous_Chromatic_Essence_Emerald_AllAllies_528,368288,23.97%,
Single,Ominous_Chromatic_Essence_Bronze_AllAllies_528-Neltharions_Call_to_Suffering_535,368218,23.95%,
Single,Whispering_Incarnate_Icon_FULL_528-Ominous_Chromatic_Essence_Bronze_AllAllies_528,367874,23.83%,
Single,Whispering_Incarnate_Icon_FULL_528-Neltharions_Call_to_Suffering_535,367566,23.73%,
Single,Whispering_Incarnate_Icon_FULL_528-Ominous_Chromatic_Essence_Obsidian_AllAllies_528,367037,23.55%,
Single,Whispering_Incarnate_Icon_TankDPS_528-Ominous_Chromatic_Essence_Bronze_AllAllies_528,366996,23.53%,
Single,Whispering_Incarnate_Icon_HealerDPS_528-Ominous_Chromatic_Essence_Emerald_AllAllies_528,366925,23.51%,
Single,Umbrelskuls_Fractured_Heart_528-Ominous_Chromatic_Essence_Bronze_AllAllies_528,366871,23.49%,
Single,Ominous_Chromatic_Essence_Obsidian_AllAllies_528-Neltharions_Call_to_Suffering_535,366768,23.46%,
Single,Umbrelskuls_Fractured_Heart_528-Neltharions_Call_to_Suffering_535,366585,23.40%,
Single,Whispering_Incarnate_Icon_HealerDPS_528-Ominous_Chromatic_Essence_Bronze_AllAllies_528,366574,23.39%,
Single,Whispering_Incarnate_Icon_TankDPS_528-Ominous_Chromatic_Essence_Emerald_AllAllies_528,366513,23.37%,
Single,Whispering_Incarnate_Icon_TankDPS_528-Neltharions_Call_to_Suffering_535,366498,23.37%,
Single,Spoils_of_Neltharus_528-Ominous_Chromatic_Essence_Emerald_AllAllies_528,366472,23.36%,
Single,Whispering_Incarnate_Icon_FULL_528-Ominous_Chromatic_Essence_Ruby_AllAllies_528,366463,23.36%,
Single,Umbrelskuls_Fractured_Heart_528-Ominous_Chromatic_Essence_Emerald_AllAllies_528,366417,23.34%,
Single,Ominous_Chromatic_Essence_Emerald_AllAllies_528-Belorrelos_the_Suncaller_528,366377,23.33%,
Single,Neltharions_Call_to_Suffering_535-Nymues_Unraveling_Spindle_IMMOBILIZED_528,366359,23.32%,
Single,Ominous_Chromatic_Essence_Emerald_AllAllies_528-Nymues_Unraveling_Spindle_IMMOBILIZED_528,366354,23.32%,
Single,Spoils_of_Neltharus_528-Ominous_Chromatic_Essence_Bronze_AllAllies_528,366304,23.30%,
Single,Whispering_Incarnate_Icon_HealerDPS_528-Neltharions_Call_to_Suffering_535,366225,23.28%,
Single,Spoils_of_Neltharus_528-Neltharions_Call_to_Suffering_535,366115,23.24%,
Single,Neltharions_Call_to_Suffering_535-Belorrelos_the_Suncaller_528,366052,23.22%,
Single,Whispering_Incarnate_Icon_FULL_528-Nymues_Unraveling_Spindle_IMMOBILIZED_528,365945,23.18%,
Single,Whispering_Incarnate_Icon_HealerDPS_528-Ominous_Chromatic_Essence_Obsidian_AllAllies_528,365818,23.14%,
Single,Ominous_Chromatic_Essence_Bronze_AllAllies_528-Nymues_Unraveling_Spindle_IMMOBILIZED_528,365813,23.14%,
Single,Vessel_of_Searing_Shadow_528-Neltharions_Call_to_Suffering_535,365804,23.13%,
Single,Ominous_Chromatic_Essence_Ruby_AllAllies_528-Neltharions_Call_to_Suffering_535,365792,23.13%,
Single,Vessel_of_Searing_Shadow_528-Ominous_Chromatic_Essence_Emerald_AllAllies_528,365788,23.13%,
Single,Ominous_Chromatic_Essence_Bronze_AllAllies_528-Belorrelos_the_Suncaller_528,365776,23.12%,
Single,Vessel_of_Searing_Shadow_528-Ominous_Chromatic_Essence_Bronze_AllAllies_528,365761,23.12%,
Single,Umbrelskuls_Fractured_Heart_528-Whispering_Incarnate_Icon_FULL_528,365752,23.12%,
Single,Whispering_Incarnate_Icon_FULL_528-Vessel_of_Searing_Shadow_528,365733,23.11%,
