profile,actor,DPS,increase,
algethar-fort,Furious_Ragefeather_421-Whispering_Incarnate_Icon_2_421,114919,13.54%,
algethar-fort,Furious_Ragefeather_421-Whispering_Incarnate_Icon_1_421,114468,13.09%,
algethar-fort,Furious_Ragefeather_415-Whispering_Incarnate_Icon_2_421,114432,13.05%,
algethar-fort,Furious_Ragefeather_421-Whispering_Incarnate_Icon_2_408,114096,12.72%,
algethar-fort,Furious_Ragefeather_421-Whispering_Incarnate_Icon_0_421,114018,12.64%,
algethar-fort,Furious_Ragefeather_415-Whispering_Incarnate_Icon_1_421,113876,12.50%,
algethar-fort,Infernal_Writ_421-Whispering_Incarnate_Icon_2_421,113686,12.32%,
algethar-fort,Furious_Ragefeather_421-Whispering_Incarnate_Icon_1_408,113680,12.31%,
algethar-fort,Furious_Ragefeather_415-Whispering_Incarnate_Icon_2_408,113610,12.24%,
algethar-fort,Eye_of_Skovald_421-Whispering_Incarnate_Icon_2_421,113600,12.23%,
algethar-fort,Infernal_Writ_421-Furious_Ragefeather_421,113490,12.12%,
algethar-fort,Furious_Ragefeather_415-Whispering_Incarnate_Icon_0_421,113484,12.12%,
algethar-fort,Voidmenders_Shadowgem_421-Whispering_Incarnate_Icon_2_421,113346,11.98%,
algethar-fort,Eye_of_Skovald_421-Furious_Ragefeather_421,113315,11.95%,
algethar-fort,Furious_Ragefeather_421-Whispering_Incarnate_Icon_0_408,113302,11.94%,
algethar-fort,Eye_of_Skovald_415-Whispering_Incarnate_Icon_2_421,113292,11.93%,
algethar-fort,Conjured_Chillglobe_415-Whispering_Incarnate_Icon_2_421,113283,11.92%,
algethar-fort,Infernal_Writ_421-Whispering_Incarnate_Icon_1_421,113249,11.89%,
algethar-fort,Furious_Ragefeather_415-Whispering_Incarnate_Icon_1_408,113183,11.82%,
algethar-fort,Eye_of_Skovald_421-Whispering_Incarnate_Icon_1_421,113179,11.82%,
algethar-fort,Voidmenders_Shadowgem_421-Furious_Ragefeather_421,113153,11.79%,
algethar-fort,Eye_of_Skovald_415-Furious_Ragefeather_421,113106,11.74%,
algethar-fort,Voidmenders_Shadowgem_415-Whispering_Incarnate_Icon_2_421,113070,11.71%,
algethar-fort,Infernal_Writ_421-Furious_Ragefeather_415,113050,11.69%,
algethar-fort,Furious_Ragefeather_421-Conjured_Chillglobe_415,113035,11.67%,
algethar-fort,Infernal_Writ_421-Whispering_Incarnate_Icon_2_408,112989,11.63%,
algethar-fort,Iceblood_Deathsnare_415-Whispering_Incarnate_Icon_2_421,112968,11.61%,
algethar-fort,Whispering_Incarnate_Icon_2_421-Desperate_Invokers_Codex_424,112967,11.61%,
algethar-fort,Eye_of_Skovald_421-Furious_Ragefeather_415,112911,11.55%,
algethar-fort,Eye_of_Skovald_415-Whispering_Incarnate_Icon_1_421,112902,11.54%,
algethar-fort,Voidmenders_Shadowgem_415-Furious_Ragefeather_421,112897,11.54%,
algethar-fort,Infernal_Writ_421-Whispering_Incarnate_Icon_0_421,112896,11.54%,
algethar-fort,Eye_of_Skovald_421-Whispering_Incarnate_Icon_2_408,112880,11.52%,
algethar-fort,Furious_Ragefeather_421-Desperate_Invokers_Codex_424,112841,11.48%,
algethar-fort,Voidmenders_Shadowgem_421-Whispering_Incarnate_Icon_1_421,112839,11.48%,
algethar-fort,Furious_Ragefeather_415-Whispering_Incarnate_Icon_0_408,112818,11.46%,
algethar-fort,Conjured_Chillglobe_415-Whispering_Incarnate_Icon_1_421,112777,11.42%,
algethar-fort,Furious_Ragefeather_421-Iceblood_Deathsnare_415,112760,11.40%,
algethar-fort,Eye_of_Skovald_421-Whispering_Incarnate_Icon_0_421,112736,11.38%,
algethar-fort,Voidmenders_Shadowgem_421-Furious_Ragefeather_415,112708,11.35%,
algethar-fort,Eye_of_Skovald_415-Furious_Ragefeather_415,112694,11.34%,
algethar-fort,Voidmenders_Shadowgem_415-Whispering_Incarnate_Icon_1_421,112655,11.30%,
algethar-fort,Whispering_Incarnate_Icon_2_421-Spiteful_Storm_424,112618,11.26%,
algethar-fort,Eye_of_Skovald_415-Whispering_Incarnate_Icon_2_408,112605,11.25%,
algethar-fort,Iceblood_Deathsnare_415-Whispering_Incarnate_Icon_1_421,112595,11.24%,
algethar-fort,Voidmenders_Shadowgem_421-Whispering_Incarnate_Icon_2_408,112595,11.24%,
algethar-fort,Furious_Ragefeather_415-Conjured_Chillglobe_415,112592,11.24%,
algethar-fort,Whispering_Incarnate_Icon_1_421-Desperate_Invokers_Codex_424,112586,11.23%,
algethar-fort,Infernal_Writ_421-Whispering_Incarnate_Icon_1_408,112578,11.22%,
algethar-fort,Horn_of_Valor_421-Whispering_Incarnate_Icon_2_421,112574,11.22%,
algethar-fort,Conjured_Chillglobe_415-Whispering_Incarnate_Icon_2_408,112532,11.18%,
algethar-fort,Eye_of_Skovald_415-Whispering_Incarnate_Icon_0_421,112529,11.17%,
algethar-fort,Voidmenders_Shadowgem_421-Whispering_Incarnate_Icon_0_421,112505,11.15%,
algethar-fort,Voidmenders_Shadowgem_415-Furious_Ragefeather_415,112494,11.14%,
algethar-fort,Windscar_Whetstone_421-Whispering_Incarnate_Icon_2_421,112441,11.09%,
algethar-fort,Conjured_Chillglobe_415-Whispering_Incarnate_Icon_0_421,112433,11.08%,
algethar-fort,Eye_of_Skovald_421-Whispering_Incarnate_Icon_1_408,112427,11.07%,
algethar-fort,Whispering_Incarnate_Icon_2_421-Desperate_Invokers_Codex_411,112425,11.07%,
algethar-fort,Horn_of_Valor_421-Furious_Ragefeather_421,112412,11.06%,
algethar-fort,Furious_Ragefeather_415-Desperate_Invokers_Codex_424,112391,11.04%,
algethar-fort,Furious_Ragefeather_421-Spiteful_Storm_424,112390,11.04%,
algethar-fort,Horn_of_Valor_415-Whispering_Incarnate_Icon_2_421,112379,11.03%,
algethar-fort,Infernal_Writ_421-Eye_of_Skovald_421,112373,11.02%,
algethar-fort,Voidmenders_Shadowgem_415-Whispering_Incarnate_Icon_0_421,112363,11.01%,
algethar-fort,Furious_Ragefeather_415-Iceblood_Deathsnare_415,112347,10.99%,
