profile,actor,DPS,increase,
freehold-fort,Spoils_of_Neltharus_447-Neltharions_Call_to_Suffering_457,164499,13.91%,
freehold-fort,Igneous_Flowstone_447-Neltharions_Call_to_Suffering_457,164284,13.76%,
freehold-fort,Spoils_of_Neltharus_441-Neltharions_Call_to_Suffering_457,164160,13.68%,
freehold-fort,Erupting_Spear_Fragment_447-Neltharions_Call_to_Suffering_457,164157,13.68%,
freehold-fort,Screaming_Black_Dragonscale_447-Neltharions_Call_to_Suffering_457,164065,13.61%,
freehold-fort,Spoils_of_Neltharus_447-Igneous_Flowstone_447,163932,13.52%,
freehold-fort,Ominous_Chromatic_Essence_Azure_444-Neltharions_Call_to_Suffering_457,163868,13.48%,
freehold-fort,Ominous_Chromatic_Essence_Emerald_444-Neltharions_Call_to_Suffering_457,163862,13.47%,
freehold-fort,Idol_of_Pure_Decay_447-Neltharions_Call_to_Suffering_457,163772,13.41%,
freehold-fort,Ominous_Chromatic_Essence_Azure_441-Neltharions_Call_to_Suffering_457,163762,13.40%,
freehold-fort,Spoils_of_Neltharus_447-Screaming_Black_Dragonscale_447,163684,13.35%,
freehold-fort,Ominous_Chromatic_Essence_Bronze_444-Neltharions_Call_to_Suffering_457,163674,13.34%,
freehold-fort,Spoils_of_Neltharus_447-Neltharions_Call_to_Suffering_444,163670,13.34%,
freehold-fort,Screaming_Black_Dragonscale_441-Neltharions_Call_to_Suffering_457,163657,13.33%,
freehold-fort,Spoils_of_Neltharus_447-Ominous_Chromatic_Essence_Emerald_444,163558,13.26%,
freehold-fort,Spoils_of_Neltharus_447-Ominous_Chromatic_Essence_Azure_444,163549,13.26%,
freehold-fort,Erupting_Spear_Fragment_447-Igneous_Flowstone_447,163528,13.24%,
freehold-fort,Ominous_Chromatic_Essence_Obsidian_444-Neltharions_Call_to_Suffering_457,163520,13.24%,
freehold-fort,Ominous_Chromatic_Essence_Emerald_441-Neltharions_Call_to_Suffering_457,163512,13.23%,
freehold-fort,Spoils_of_Neltharus_441-Igneous_Flowstone_447,163494,13.22%,
freehold-fort,Ominous_Chromatic_Essence_Bronze_441-Neltharions_Call_to_Suffering_457,163467,13.20%,
freehold-fort,Idol_of_Pure_Decay_447-Spoils_of_Neltharus_447,163454,13.19%,
freehold-fort,Ominous_Chromatic_Essence_Ruby_444-Neltharions_Call_to_Suffering_457,163454,13.19%,
freehold-fort,Screaming_Black_Dragonscale_447-Igneous_Flowstone_447,163423,13.17%,
freehold-fort,Spoils_of_Neltharus_447-Ominous_Chromatic_Essence_Azure_441,163406,13.16%,
freehold-fort,Ominous_Chromatic_Essence_Obsidian_441-Neltharions_Call_to_Suffering_457,163390,13.15%,
freehold-fort,Spoils_of_Neltharus_447-Screaming_Black_Dragonscale_441,163368,13.13%,
freehold-fort,Spoils_of_Neltharus_447-Ominous_Chromatic_Essence_Emerald_441,163354,13.12%,
freehold-fort,Spoils_of_Neltharus_441-Screaming_Black_Dragonscale_447,163351,13.12%,
freehold-fort,Spoils_of_Neltharus_447-Ominous_Chromatic_Essence_Bronze_444,163345,13.11%,
freehold-fort,Spoils_of_Neltharus_441-Neltharions_Call_to_Suffering_444,163328,13.10%,
freehold-fort,Spoils_of_Neltharus_447-Ominous_Chromatic_Essence_Obsidian_444,163324,13.10%,
freehold-fort,Spoils_of_Neltharus_447-Ominous_Chromatic_Essence_Ruby_444,163288,13.07%,
freehold-fort,Vessel_of_Searing_Shadow_441-Neltharions_Call_to_Suffering_457,163286,13.07%,
freehold-fort,Erupting_Spear_Fragment_447-Neltharions_Call_to_Suffering_444,163283,13.07%,
freehold-fort,Igneous_Flowstone_447-Neltharions_Call_to_Suffering_444,163281,13.07%,
freehold-fort,Ominous_Chromatic_Essence_Ruby_441-Neltharions_Call_to_Suffering_457,163279,13.07%,
freehold-fort,Ominous_Chromatic_Essence_Emerald_444-Igneous_Flowstone_447,163278,13.07%,
freehold-fort,Erupting_Spear_Fragment_447-Screaming_Black_Dragonscale_447,163277,13.07%,
freehold-fort,Ominous_Chromatic_Essence_Azure_444-Igneous_Flowstone_447,163277,13.07%,
freehold-fort,Spoils_of_Neltharus_441-Ominous_Chromatic_Essence_Emerald_444,163259,13.05%,
freehold-fort,Spoils_of_Neltharus_441-Ominous_Chromatic_Essence_Azure_444,163226,13.03%,
freehold-fort,Spoils_of_Neltharus_447-Ominous_Chromatic_Essence_Bronze_441,163217,13.03%,
freehold-fort,Erupting_Spear_Fragment_447-Ominous_Chromatic_Essence_Azure_444,163206,13.02%,
freehold-fort,Screaming_Black_Dragonscale_447-Neltharions_Call_to_Suffering_444,163192,13.01%,
freehold-fort,Erupting_Spear_Fragment_447-Ominous_Chromatic_Essence_Emerald_444,163162,12.99%,
freehold-fort,Spoils_of_Neltharus_447-Ominous_Chromatic_Essence_Obsidian_441,163153,12.98%,
freehold-fort,Screaming_Black_Dragonscale_447-Ominous_Chromatic_Essence_Azure_444,163146,12.98%,
freehold-fort,Idol_of_Pure_Decay_447-Spoils_of_Neltharus_441,163122,12.96%,
freehold-fort,Ominous_Chromatic_Essence_Azure_441-Igneous_Flowstone_447,163092,12.94%,
freehold-fort,Idol_of_Pure_Decay_447-Igneous_Flowstone_447,163091,12.94%,
freehold-fort,Spoils_of_Neltharus_447-Ominous_Chromatic_Essence_Ruby_441,163088,12.94%,
freehold-fort,Ominous_Chromatic_Essence_Azure_444-Neltharions_Call_to_Suffering_444,163069,12.92%,
freehold-fort,Screaming_Black_Dragonscale_441-Igneous_Flowstone_447,163054,12.91%,
freehold-fort,Ominous_Chromatic_Essence_Emerald_441-Igneous_Flowstone_447,163033,12.90%,
freehold-fort,Ominous_Chromatic_Essence_Bronze_444-Igneous_Flowstone_447,163031,12.90%,
freehold-fort,Ominous_Chromatic_Essence_Emerald_444-Neltharions_Call_to_Suffering_444,163030,12.90%,
freehold-fort,Spoils_of_Neltharus_441-Ominous_Chromatic_Essence_Bronze_444,163019,12.89%,
freehold-fort,Erupting_Spear_Fragment_447-Spoils_of_Neltharus_447,163018,12.89%,
freehold-fort,Idol_of_Pure_Decay_447-Erupting_Spear_Fragment_447,163018,12.89%,
freehold-fort,Erupting_Spear_Fragment_447-Beacon_to_the_Beyond_450,163017,12.89%,
freehold-fort,Erupting_Spear_Fragment_447-Ominous_Chromatic_Essence_Azure_441,163005,12.88%,
freehold-fort,Spoils_of_Neltharus_441-Ominous_Chromatic_Essence_Emerald_441,163003,12.88%,
freehold-fort,Idol_of_Pure_Decay_447-Screaming_Black_Dragonscale_447,162996,12.87%,
freehold-fort,Ominous_Chromatic_Essence_Obsidian_444-Igneous_Flowstone_447,162995,12.87%,
freehold-fort,Spoils_of_Neltharus_447-Vessel_of_Searing_Shadow_441,162995,12.87%,
freehold-fort,Spoils_of_Neltharus_441-Ominous_Chromatic_Essence_Azure_441,162994,12.87%,
freehold-fort,Screaming_Black_Dragonscale_447-Ominous_Chromatic_Essence_Emerald_444,162993,12.87%,
freehold-fort,Ominous_Chromatic_Essence_Ruby_444-Igneous_Flowstone_447,162983,12.86%,
freehold-fort,Erupting_Spear_Fragment_447-Screaming_Black_Dragonscale_441,162962,12.85%,
freehold-fort,Spoils_of_Neltharus_441-Ominous_Chromatic_Essence_Ruby_444,162959,12.85%,
freehold-fort,Spoils_of_Neltharus_441-Screaming_Black_Dragonscale_441,162953,12.84%,
freehold-fort,Erupting_Spear_Fragment_447-Ominous_Chromatic_Essence_Emerald_441,162950,12.84%,
freehold-fort,Screaming_Black_Dragonscale_447-Ominous_Chromatic_Essence_Azure_441,162944,12.84%,
freehold-fort,Screaming_Black_Dragonscale_447-Ominous_Chromatic_Essence_Bronze_444,162929,12.83%,
freehold-fort,Erupting_Spear_Fragment_447-Ominous_Chromatic_Essence_Bronze_444,162914,12.82%,
freehold-fort,Ominous_Chromatic_Essence_Azure_441-Neltharions_Call_to_Suffering_444,162878,12.79%,
freehold-fort,Erupting_Spear_Fragment_447-Ominous_Chromatic_Essence_Ruby_444,162877,12.79%,
freehold-fort,Spoils_of_Neltharus_441-Ominous_Chromatic_Essence_Obsidian_444,162875,12.79%,
freehold-fort,Erupting_Spear_Fragment_447-Ominous_Chromatic_Essence_Obsidian_444,162868,12.78%,
freehold-fort,Ominous_Chromatic_Essence_Obsidian_441-Igneous_Flowstone_447,162865,12.78%,
freehold-fort,Neltharions_Call_to_Suffering_457-Whispering_Incarnate_Icon_0_421,162838,12.76%,
freehold-fort,Screaming_Black_Dragonscale_441-Neltharions_Call_to_Suffering_444,162827,12.76%,
freehold-fort,Idol_of_Pure_Decay_447-Neltharions_Call_to_Suffering_444,162825,12.75%,
freehold-fort,Ominous_Chromatic_Essence_Bronze_444-Neltharions_Call_to_Suffering_444,162825,12.75%,
freehold-fort,Screaming_Black_Dragonscale_447-Ominous_Chromatic_Essence_Emerald_441,162814,12.75%,
freehold-fort,Ominous_Chromatic_Essence_Bronze_441-Igneous_Flowstone_447,162803,12.74%,
freehold-fort,Irideus_Fragment_447-Neltharions_Call_to_Suffering_457,162794,12.73%,
freehold-fort,Ominous_Chromatic_Essence_Emerald_441-Neltharions_Call_to_Suffering_444,162790,12.73%,
freehold-fort,Screaming_Black_Dragonscale_447-Ominous_Chromatic_Essence_Ruby_444,162788,12.73%,
freehold-fort,Spoils_of_Neltharus_441-Ominous_Chromatic_Essence_Ruby_441,162788,12.73%,
freehold-fort,Idol_of_Pure_Decay_447-Ominous_Chromatic_Essence_Emerald_444,162787,12.73%,
freehold-fort,Erupting_Spear_Fragment_447-Ominous_Chromatic_Essence_Bronze_441,162783,12.73%,
freehold-fort,Spoils_of_Neltharus_441-Ominous_Chromatic_Essence_Bronze_441,162770,12.72%,
freehold-fort,Screaming_Black_Dragonscale_447-Ominous_Chromatic_Essence_Obsidian_444,162765,12.71%,
freehold-fort,Idol_of_Pure_Decay_447-Ominous_Chromatic_Essence_Azure_444,162754,12.71%,
freehold-fort,Ominous_Chromatic_Essence_Ruby_441-Igneous_Flowstone_447,162746,12.70%,
freehold-fort,Spoils_of_Neltharus_441-Ominous_Chromatic_Essence_Obsidian_441,162746,12.70%,
freehold-fort,Ominous_Chromatic_Essence_Obsidian_444-Neltharions_Call_to_Suffering_444,162729,12.69%,
freehold-fort,Screaming_Black_Dragonscale_447-Ominous_Chromatic_Essence_Bronze_441,162720,12.68%,
freehold-fort,Erupting_Spear_Fragment_447-Ominous_Chromatic_Essence_Ruby_441,162718,12.68%,
freehold-fort,Screaming_Black_Dragonscale_441-Ominous_Chromatic_Essence_Azure_444,162690,12.66%,
freehold-fort,Erupting_Spear_Fragment_447-Ominous_Chromatic_Essence_Obsidian_441,162685,12.66%,
freehold-fort,Ominous_Chromatic_Essence_Ruby_444-Neltharions_Call_to_Suffering_444,162662,12.64%,
freehold-fort,Neltharions_Call_to_Suffering_457-Beacon_to_the_Beyond_450,162658,12.64%,
freehold-fort,Spoils_of_Neltharus_441-Vessel_of_Searing_Shadow_441,162634,12.62%,
freehold-fort,Ominous_Chromatic_Essence_Bronze_441-Neltharions_Call_to_Suffering_444,162632,12.62%,
freehold-fort,Screaming_Black_Dragonscale_447-Ominous_Chromatic_Essence_Obsidian_441,162591,12.59%,
freehold-fort,Screaming_Black_Dragonscale_447-Ominous_Chromatic_Essence_Ruby_441,162585,12.59%,
freehold-fort,Idol_of_Pure_Decay_447-Screaming_Black_Dragonscale_441,162582,12.59%,
freehold-fort,Vessel_of_Searing_Shadow_441-Igneous_Flowstone_447,162576,12.58%,
freehold-fort,Erupting_Spear_Fragment_447-Spoils_of_Neltharus_441,162561,12.57%,
freehold-fort,Idol_of_Pure_Decay_447-Ominous_Chromatic_Essence_Emerald_441,162561,12.57%,
freehold-fort,Idol_of_Pure_Decay_447-Ominous_Chromatic_Essence_Bronze_444,162542,12.56%,
freehold-fort,Rotcrusted_Voodoo_Doll_447-Neltharions_Call_to_Suffering_457,162539,12.56%,
freehold-fort,Screaming_Black_Dragonscale_441-Ominous_Chromatic_Essence_Bronze_444,162532,12.55%,
freehold-fort,Spoils_of_Neltharus_447-Whispering_Incarnate_Icon_0_421,162525,12.55%,
freehold-fort,Neltharions_Call_to_Suffering_457-Voidmenders_Shadowgem_421,162514,12.54%,
freehold-fort,Idol_of_Pure_Decay_447-Ominous_Chromatic_Essence_Azure_441,162513,12.54%,
freehold-fort,Screaming_Black_Dragonscale_441-Ominous_Chromatic_Essence_Emerald_444,162498,12.53%,
freehold-fort,Idol_of_Pure_Decay_447-Ominous_Chromatic_Essence_Ruby_444,162485,12.52%,
freehold-fort,Screaming_Black_Dragonscale_441-Ominous_Chromatic_Essence_Azure_441,162483,12.52%,
freehold-fort,Idol_of_Pure_Decay_447-Ominous_Chromatic_Essence_Obsidian_444,162465,12.50%,
freehold-fort,Erupting_Spear_Fragment_447-Vessel_of_Searing_Shadow_441,162463,12.50%,
freehold-fort,Ominous_Chromatic_Essence_Ruby_441-Neltharions_Call_to_Suffering_444,162453,12.50%,
freehold-fort,Ominous_Chromatic_Essence_Obsidian_441-Neltharions_Call_to_Suffering_444,162434,12.48%,
freehold-fort,Vessel_of_Searing_Shadow_441-Neltharions_Call_to_Suffering_444,162426,12.48%,
freehold-fort,Idol_of_Pure_Decay_447-Ominous_Chromatic_Essence_Bronze_441,162416,12.47%,
freehold-fort,Screaming_Black_Dragonscale_447-Vessel_of_Searing_Shadow_441,162394,12.46%,
freehold-fort,Screaming_Black_Dragonscale_441-Ominous_Chromatic_Essence_Obsidian_444,162392,12.45%,
freehold-fort,Screaming_Black_Dragonscale_441-Ominous_Chromatic_Essence_Emerald_441,162353,12.43%,
freehold-fort,Screaming_Black_Dragonscale_441-Ominous_Chromatic_Essence_Ruby_444,162347,12.42%,
freehold-fort,Screaming_Black_Dragonscale_441-Ominous_Chromatic_Essence_Bronze_441,162331,12.41%,
freehold-fort,Idol_of_Pure_Decay_447-Ominous_Chromatic_Essence_Ruby_441,162292,12.39%,
freehold-fort,Idol_of_Pure_Decay_447-Ominous_Chromatic_Essence_Obsidian_441,162277,12.37%,
freehold-fort,Vessel_of_Searing_Shadow_441-Ominous_Chromatic_Essence_Emerald_444,162250,12.36%,
freehold-fort,Vessel_of_Searing_Shadow_441-Ominous_Chromatic_Essence_Obsidian_444,162244,12.35%,
freehold-fort,Vessel_of_Searing_Shadow_441-Ominous_Chromatic_Essence_Azure_444,162212,12.33%,
freehold-fort,Irideus_Fragment_447-Igneous_Flowstone_447,162165,12.30%,
freehold-fort,Spoils_of_Neltharus_447-Rotcrusted_Voodoo_Doll_447,162152,12.29%,
freehold-fort,Screaming_Black_Dragonscale_441-Ominous_Chromatic_Essence_Obsidian_441,162135,12.28%,
freehold-fort,Irideus_Fragment_447-Erupting_Spear_Fragment_447,162133,12.28%,
freehold-fort,Screaming_Black_Dragonscale_441-Ominous_Chromatic_Essence_Ruby_441,162131,12.27%,
freehold-fort,Spoils_of_Neltharus_441-Whispering_Incarnate_Icon_0_421,162123,12.27%,
freehold-fort,Igneous_Flowstone_447-Whispering_Incarnate_Icon_0_421,162119,12.27%,
