profile,actor,DPS,increase,
nokhud-tyran,Seething_Black_Dragonscale_441-Idol_of_Debilitating_Arrogance_441,131950,17.49%,
nokhud-tyran,Seething_Black_Dragonscale_441-Idol_of_Debilitating_Arrogance_437,131720,17.28%,
nokhud-tyran,Seething_Black_Dragonscale_437-Idol_of_Debilitating_Arrogance_441,131571,17.15%,
nokhud-tyran,Seething_Black_Dragonscale_437-Idol_of_Debilitating_Arrogance_437,131421,17.02%,
nokhud-tyran,Erupting_Spear_Fragment_447-Seething_Black_Dragonscale_441,129475,15.28%,
nokhud-tyran,Spoils_of_Neltharus_447-Seething_Black_Dragonscale_441,129323,15.15%,
nokhud-tyran,Erupting_Spear_Fragment_447-Seething_Black_Dragonscale_437,129222,15.06%,
nokhud-tyran,Erupting_Spear_Fragment_441-Seething_Black_Dragonscale_441,129125,14.97%,
nokhud-tyran,Spoils_of_Neltharus_447-Seething_Black_Dragonscale_437,129006,14.87%,
nokhud-tyran,Spoils_of_Neltharus_441-Seething_Black_Dragonscale_441,128993,14.86%,
nokhud-tyran,Idol_of_Pure_Decay_447-Seething_Black_Dragonscale_441,128899,14.77%,
nokhud-tyran,Erupting_Spear_Fragment_441-Seething_Black_Dragonscale_437,128893,14.77%,
nokhud-tyran,Seething_Black_Dragonscale_441-Black_Dragon_Labs_Omni_441,128878,14.75%,
nokhud-tyran,Seething_Black_Dragonscale_441-Whispering_Incarnate_Icon_2_421,128837,14.72%,
nokhud-tyran,Irideus_Fragment_447-Seething_Black_Dragonscale_441,128760,14.65%,
nokhud-tyran,Spoils_of_Neltharus_441-Seething_Black_Dragonscale_437,128740,14.63%,
nokhud-tyran,Idol_of_Pure_Decay_447-Seething_Black_Dragonscale_437,128666,14.56%,
nokhud-tyran,Seething_Black_Dragonscale_437-Black_Dragon_Labs_Omni_441,128638,14.54%,
nokhud-tyran,Seething_Black_Dragonscale_437-Whispering_Incarnate_Icon_2_421,128558,14.47%,
nokhud-tyran,Idol_of_Pure_Decay_441-Seething_Black_Dragonscale_441,128521,14.44%,
nokhud-tyran,Irideus_Fragment_441-Seething_Black_Dragonscale_441,128469,14.39%,
nokhud-tyran,Irideus_Fragment_447-Seething_Black_Dragonscale_437,128437,14.36%,
nokhud-tyran,Seething_Black_Dragonscale_441-Whispering_Incarnate_Icon_1_421,128409,14.34%,
nokhud-tyran,Erupting_Spear_Fragment_447-Idol_of_Debilitating_Arrogance_441,128386,14.31%,
nokhud-tyran,Idol_of_Pure_Decay_441-Seething_Black_Dragonscale_437,128315,14.25%,
nokhud-tyran,Irideus_Fragment_441-Seething_Black_Dragonscale_437,128259,14.20%,
nokhud-tyran,Erupting_Spear_Fragment_447-Idol_of_Debilitating_Arrogance_437,128223,14.17%,
nokhud-tyran,Seething_Black_Dragonscale_437-Whispering_Incarnate_Icon_1_421,128207,14.16%,
nokhud-tyran,Spoils_of_Neltharus_447-Idol_of_Debilitating_Arrogance_441,128206,14.15%,
nokhud-tyran,Seething_Black_Dragonscale_441-Whispering_Incarnate_Icon_0_421,128128,14.09%,
nokhud-tyran,Spoils_of_Neltharus_447-Idol_of_Debilitating_Arrogance_437,128081,14.04%,
nokhud-tyran,Erupting_Spear_Fragment_441-Idol_of_Debilitating_Arrogance_441,128029,14.00%,
nokhud-tyran,Spoils_of_Neltharus_441-Idol_of_Debilitating_Arrogance_441,128024,13.99%,
nokhud-tyran,Seething_Black_Dragonscale_441-Voidmenders_Shadowgem_421,127994,13.97%,
nokhud-tyran,Erupting_Spear_Fragment_441-Idol_of_Debilitating_Arrogance_437,127949,13.93%,
nokhud-tyran,Seething_Black_Dragonscale_437-Whispering_Incarnate_Icon_0_421,127909,13.89%,
nokhud-tyran,Idol_of_Debilitating_Arrogance_441-Whispering_Incarnate_Icon_2_421,127851,13.84%,
nokhud-tyran,Idol_of_Pure_Decay_447-Idol_of_Debilitating_Arrogance_441,127851,13.84%,
nokhud-tyran,Spoils_of_Neltharus_441-Idol_of_Debilitating_Arrogance_437,127836,13.83%,
nokhud-tyran,Black_Dragon_Labs_Omni_441-Idol_of_Debilitating_Arrogance_441,127828,13.82%,
nokhud-tyran,Idol_of_Debilitating_Arrogance_437-Whispering_Incarnate_Icon_2_421,127727,13.73%,
nokhud-tyran,Seething_Black_Dragonscale_437-Voidmenders_Shadowgem_421,127722,13.72%,
nokhud-tyran,Black_Dragon_Labs_Omni_441-Idol_of_Debilitating_Arrogance_437,127712,13.71%,
nokhud-tyran,Rotcrusted_Voodoo_Doll_447-Seething_Black_Dragonscale_441,127676,13.68%,
nokhud-tyran,Idol_of_Pure_Decay_447-Idol_of_Debilitating_Arrogance_437,127609,13.62%,
nokhud-tyran,Seething_Black_Dragonscale_441-Furious_Ragefeather_421,127594,13.61%,
