profile,actor,DPS,increase,
smbg-fort,Furious_Ragefeather_421-Whispering_Incarnate_Icon_2_421,86805,14.76%,
smbg-fort,Furious_Ragefeather_421-Whispering_Incarnate_Icon_1_421,86346,14.15%,
smbg-fort,Furious_Ragefeather_415-Whispering_Incarnate_Icon_2_421,86279,14.06%,
smbg-fort,Furious_Ragefeather_421-Whispering_Incarnate_Icon_2_408,85905,13.57%,
smbg-fort,Furious_Ragefeather_421-Whispering_Incarnate_Icon_0_421,85859,13.51%,
smbg-fort,Furious_Ragefeather_415-Whispering_Incarnate_Icon_1_421,85807,13.44%,
smbg-fort,Furious_Ragefeather_421-Whispering_Incarnate_Icon_1_408,85494,13.02%,
smbg-fort,Eye_of_Skovald_421-Furious_Ragefeather_421,85377,12.87%,
smbg-fort,Furious_Ragefeather_415-Whispering_Incarnate_Icon_2_408,85366,12.85%,
smbg-fort,Voidmenders_Shadowgem_421-Furious_Ragefeather_421,85361,12.85%,
smbg-fort,Furious_Ragefeather_415-Whispering_Incarnate_Icon_0_421,85343,12.82%,
smbg-fort,Infernal_Writ_421-Furious_Ragefeather_421,85326,12.80%,
smbg-fort,Eye_of_Skovald_421-Whispering_Incarnate_Icon_2_421,85288,12.75%,
smbg-fort,Voidmenders_Shadowgem_421-Whispering_Incarnate_Icon_2_421,85269,12.73%,
smbg-fort,Infernal_Writ_421-Whispering_Incarnate_Icon_2_421,85234,12.68%,
smbg-fort,Furious_Ragefeather_421-Whispering_Incarnate_Icon_0_408,85066,12.46%,
smbg-fort,Voidmenders_Shadowgem_415-Furious_Ragefeather_421,85058,12.45%,
smbg-fort,Furious_Ragefeather_421-Desperate_Invokers_Codex_424,85055,12.44%,
smbg-fort,Eye_of_Skovald_415-Furious_Ragefeather_421,85052,12.44%,
smbg-fort,Whispering_Incarnate_Icon_2_421-Desperate_Invokers_Codex_424,85004,12.38%,
smbg-fort,Voidmenders_Shadowgem_415-Whispering_Incarnate_Icon_2_421,84977,12.34%,
smbg-fort,Eye_of_Skovald_415-Whispering_Incarnate_Icon_2_421,84949,12.30%,
smbg-fort,Furious_Ragefeather_415-Whispering_Incarnate_Icon_1_408,84940,12.29%,
smbg-fort,Furious_Ragefeather_421-Conjured_Chillglobe_415,84917,12.26%,
smbg-fort,Furious_Ragefeather_421-Iceblood_Deathsnare_415,84884,12.22%,
smbg-fort,Eye_of_Skovald_421-Furious_Ragefeather_415,84849,12.17%,
smbg-fort,Conjured_Chillglobe_415-Whispering_Incarnate_Icon_2_421,84838,12.16%,
smbg-fort,Eye_of_Skovald_421-Whispering_Incarnate_Icon_1_421,84837,12.15%,
smbg-fort,Voidmenders_Shadowgem_421-Whispering_Incarnate_Icon_1_421,84837,12.15%,
smbg-fort,Voidmenders_Shadowgem_421-Furious_Ragefeather_415,84791,12.09%,
smbg-fort,Infernal_Writ_421-Furious_Ragefeather_415,84768,12.06%,
smbg-fort,Iceblood_Deathsnare_415-Whispering_Incarnate_Icon_2_421,84758,12.05%,
smbg-fort,Infernal_Writ_421-Whispering_Incarnate_Icon_1_421,84749,12.04%,
smbg-fort,Furious_Ragefeather_415-Desperate_Invokers_Codex_424,84553,11.78%,
smbg-fort,Horn_of_Valor_421-Furious_Ragefeather_421,84552,11.78%,
smbg-fort,Eye_of_Skovald_415-Whispering_Incarnate_Icon_1_421,84543,11.77%,
smbg-fort,Whispering_Incarnate_Icon_1_421-Desperate_Invokers_Codex_424,84542,11.76%,
smbg-fort,Eye_of_Skovald_415-Furious_Ragefeather_415,84529,11.75%,
smbg-fort,Furious_Ragefeather_415-Whispering_Incarnate_Icon_0_408,84506,11.72%,
smbg-fort,Voidmenders_Shadowgem_415-Whispering_Incarnate_Icon_1_421,84491,11.70%,
smbg-fort,Voidmenders_Shadowgem_415-Furious_Ragefeather_415,84482,11.69%,
smbg-fort,Eye_of_Skovald_421-Whispering_Incarnate_Icon_0_421,84435,11.62%,
smbg-fort,Eye_of_Skovald_421-Whispering_Incarnate_Icon_2_408,84428,11.61%,
smbg-fort,Infernal_Writ_421-Whispering_Incarnate_Icon_2_408,84409,11.59%,
smbg-fort,Furious_Ragefeather_421-Windscar_Whetstone_421,84385,11.56%,
smbg-fort,Conjured_Chillglobe_415-Whispering_Incarnate_Icon_1_421,84382,11.55%,
smbg-fort,Voidmenders_Shadowgem_421-Whispering_Incarnate_Icon_2_408,84381,11.55%,
smbg-fort,Furious_Ragefeather_415-Conjured_Chillglobe_415,84358,11.52%,
smbg-fort,Voidmenders_Shadowgem_421-Whispering_Incarnate_Icon_0_421,84356,11.52%,
smbg-fort,Infernal_Writ_421-Whispering_Incarnate_Icon_0_421,84348,11.51%,
smbg-fort,Horn_of_Valor_421-Whispering_Incarnate_Icon_2_421,84339,11.50%,
smbg-fort,Iceblood_Deathsnare_415-Whispering_Incarnate_Icon_1_421,84338,11.49%,
smbg-fort,Furious_Ragefeather_415-Iceblood_Deathsnare_415,84303,11.45%,
smbg-fort,Windscar_Whetstone_421-Whispering_Incarnate_Icon_2_421,84298,11.44%,
smbg-fort,Furious_Ragefeather_421-Desperate_Invokers_Codex_411,84288,11.43%,
smbg-fort,Horn_of_Valor_415-Furious_Ragefeather_421,84280,11.42%,
smbg-fort,Horn_of_Valor_415-Whispering_Incarnate_Icon_2_421,84147,11.24%,
smbg-fort,Whispering_Incarnate_Icon_2_421-Desperate_Invokers_Codex_411,84142,11.24%,
smbg-fort,Whispering_Incarnate_Icon_0_421-Desperate_Invokers_Codex_424,84135,11.23%,
smbg-fort,Eye_of_Skovald_415-Whispering_Incarnate_Icon_2_408,84127,11.22%,
smbg-fort,Eye_of_Skovald_415-Whispering_Incarnate_Icon_0_421,84120,11.21%,
smbg-fort,Whispering_Incarnate_Icon_2_408-Desperate_Invokers_Codex_424,84109,11.19%,
smbg-fort,Whispering_Incarnate_Icon_2_421-Spiteful_Storm_424,84095,11.17%,
smbg-fort,Furious_Ragefeather_421-Spiteful_Storm_424,84091,11.17%,
smbg-fort,Voidmenders_Shadowgem_415-Whispering_Incarnate_Icon_0_421,84087,11.16%,
smbg-fort,Voidmenders_Shadowgem_415-Whispering_Incarnate_Icon_2_408,84069,11.14%,
smbg-fort,Eye_of_Skovald_421-Whispering_Incarnate_Icon_1_408,84016,11.07%,
smbg-fort,Conjured_Chillglobe_415-Whispering_Incarnate_Icon_2_408,84007,11.06%,
smbg-fort,Infernal_Writ_421-Whispering_Incarnate_Icon_1_408,83999,11.05%,
smbg-fort,Voidmenders_Shadowgem_421-Whispering_Incarnate_Icon_1_408,83993,11.04%,
smbg-fort,Horn_of_Valor_421-Furious_Ragefeather_415,83975,11.01%,
smbg-fort,Conjured_Chillglobe_415-Whispering_Incarnate_Icon_0_421,83945,10.98%,
smbg-fort,Infernal_Writ_421-Eye_of_Skovald_421,83927,10.95%,
smbg-fort,Iceblood_Deathsnare_415-Whispering_Incarnate_Icon_2_408,83916,10.94%,
smbg-fort,Horn_of_Valor_421-Whispering_Incarnate_Icon_1_421,83913,10.93%,
smbg-fort,Iceblood_Deathsnare_415-Whispering_Incarnate_Icon_0_421,83897,10.91%,
smbg-fort,Eye_of_Skovald_421-Voidmenders_Shadowgem_421,83847,10.85%,
smbg-fort,Windscar_Whetstone_421-Whispering_Incarnate_Icon_1_421,83842,10.84%,
