profile,actor,DPS,increase,
2T,Nymues_Unraveling_Spindle_IMMOBILIZED_489,246948,11.03%,
2T,Nymues_Unraveling_Spindle_IMMOBILIZED_483,245625,10.43%,
2T,Belorrelos_the_Suncaller_489,244811,10.07%,
2T,Pips_Emerald_Friendship_Badge_489,244519,9.94%,
2T,Nymues_Unraveling_Spindle_489,244234,9.81%,
2T,Sea_Star_489,243914,9.66%,
2T,Energy_Siphon_476,243912,9.66%,
2T,Nymues_Unraveling_Spindle_IMMOBILIZED_476,243737,9.58%,
2T,Pips_Emerald_Friendship_Badge_483,243460,9.46%,
2T,Balefire_Branch_489,243406,9.44%,
2T,Living_Flame_476,243343,9.41%,
2T,Belorrelos_the_Suncaller_483,243161,9.33%,
2T,Sea_Star_483,243032,9.27%,
2T,Mirror_of_Fractured_Tomorrows_489,242833,9.18%,
2T,Nymues_Unraveling_Spindle_483,242785,9.16%,
2T,Eye_of_the_Broodmother_476,242766,9.15%,
2T,Pips_Emerald_Friendship_Badge_476,242628,9.09%,
2T,Balefire_Branch_483,242538,9.05%,
2T,Mirror_of_Fractured_Tomorrows_483,241963,8.79%,
2T,Sustaining_Alchemist_Stone_483,241823,8.72%,
2T,Necromantic_Focus_476,241599,8.62%,
2T,Scale_of_Fates_476,241497,8.58%,
2T,Belorrelos_the_Suncaller_476,241497,8.58%,
2T,Flare_of_the_Heavens_476,241473,8.57%,
2T,Nymues_Unraveling_Spindle_476,241275,8.48%,
2T,Sea_Star_470,241220,8.45%,
2T,Augury_of_the_Primal_Flame_496,241196,8.44%,
2T,Nymues_Unraveling_Spindle_IMMOBILIZED_463,240836,8.28%,
2T,Balefire_Branch_470,240787,8.26%,
2T,Pips_Emerald_Friendship_Badge_463,240733,8.23%,
2T,Neltharions_Call_to_Suffering_457,240647,8.19%,
2T,Lady_Waycrests_Music_Box_489,240632,8.19%,
2T,Augury_of_the_Primal_Flame_489,240614,8.18%,
2T,Ominous_Chromatic_Essence_Emerald_ALL_ALLIES_447,240354,8.06%,
2T,Vessel_of_Skittering_Shadows_489,240321,8.05%,
2T,Ashes_of_the_Embersoul_489,240281,8.03%,
2T,Elemental_Focus_Stone_476,240150,7.97%,
2T,The_Skull_of_Guldan_476,240131,7.96%,
2T,Darkmoon_Deck_Box_Dance_Emberscale_483,239955,7.88%,
2T,Spoils_of_Neltharus_447,239880,7.85%,
2T,Mirror_of_Fractured_Tomorrows_470,239874,7.85%,
2T,Verdant_Gladiators_Badge_of_Ferocity_463,239788,7.81%,
2T,Ominous_Chromatic_Essence_Ruby_ALL_ALLIES_447,239769,7.80%,
2T,Augury_of_the_Primal_Flame_483,239759,7.80%,
2T,Darkmoon_Deck_Box_Dance_Sagescale_483,239712,7.77%,
2T,Darkmoon_Deck_Box_Dance_Jetscale_483,239666,7.75%,
2T,Darkmoon_Deck_Box_Dance_Bronzescale_483,239658,7.75%,
2T,Darkmoon_Deck_Box_Dance_Azurescale_483,239654,7.75%,
2T,Darkmoon_Deck_Box_Dance_483,239565,7.71%,
2T,Lady_Waycrests_Music_Box_483,239562,7.71%,
2T,Ominous_Chromatic_Essence_Azure_ALL_ALLIES_447,239457,7.66%,
2T,Ashes_of_the_Embersoul_483,239338,7.61%,
2T,Ominous_Chromatic_Essence_Obsidian_ALL_ALLIES_447,239272,7.58%,
2T,Vessel_of_Skittering_Shadows_483,239206,7.55%,
2T,Augury_of_the_Primal_Flame_476,239155,7.52%,
2T,Spoils_of_Neltharus_441,239102,7.50%,
2T,Pandoras_Plea_476,238899,7.41%,
2T,Nymues_Unraveling_Spindle_463,238847,7.39%,
2T,Spoils_of_Neltharus_437,238750,7.34%,
2T,Belorrelos_the_Suncaller_463,238653,7.30%,
2T,Dancing_Dream_Blossoms_463,238621,7.28%,
2T,Darkmoon_Deck_Box_Inferno_Emberscale_483,238615,7.28%,
2T,Darkmoon_Deck_Box_Inferno_483,238526,7.24%,
2T,Darkmoon_Deck_Box_Inferno_Bronzescale_483,238504,7.23%,
2T,Darkmoon_Deck_Box_Inferno_Sagescale_483,238471,7.22%,
