profile,actor,DPS,increase,
4T,Tome_of_Unstable_Power_528,742851,12.81%,
4T,Tome_of_Unstable_Power_522,737792,12.04%,
4T,Ominous_Chromatic_Essence_Emerald_ALL_ALLIES_528,737469,11.99%,
4T,Whispering_Incarnate_Icon_FULL_528,736881,11.91%,
4T,Neltharions_Call_to_Suffering_535,736521,11.85%,
4T,Ominous_Chromatic_Essence_Bronze_ALL_ALLIES_528,735468,11.69%,
4T,Whispering_Incarnate_Icon_TankDPS_528,735364,11.67%,
4T,Whispering_Incarnate_Icon_HealerDPS_528,734078,11.48%,
4T,Spoils_of_Neltharus_528,733712,11.42%,
4T,Ominous_Chromatic_Essence_Obsidian_ALL_ALLIES_528,733429,11.38%,
4T,Whispering_Incarnate_Icon_DPS_528,732812,11.29%,
4T,Ominous_Chromatic_Essence_Ruby_ALL_ALLIES_528,731501,11.09%,
4T,Pips_Emerald_Friendship_Badge_528,730777,10.98%,
4T,Spoils_of_Neltharus_522,730662,10.96%,
4T,Screaming_Black_Dragonscale_528,730321,10.91%,
4T,Energy_Siphon_515,730250,10.90%,
4T,Ominous_Chromatic_Essence_Azure_ALL_ALLIES_528,729536,10.79%,
4T,Ominous_Chromatic_Essence_Emerald_528,728715,10.66%,
4T,Ominous_Chromatic_Essence_Bronze_528,728024,10.56%,
4T,Eye_of_the_Broodmother_515,727918,10.54%,
4T,Ruby_Whelp_Shell_SRW6_528,727445,10.47%,
4T,Erupting_Spear_Fragment_528,727343,10.46%,
4T,Ruby_Whelp_Shell_URW6_528,726786,10.37%,
4T,Ominous_Chromatic_Essence_Obsidian_528,726755,10.37%,
4T,Scale_of_Fates_515,726598,10.34%,
4T,Living_Flame_515,726443,10.32%,
4T,Iceblood_Deathsnare_528,726074,10.26%,
4T,Ashes_of_the_Embersoul_528,725664,10.20%,
4T,Ominous_Chromatic_Essence_Ruby_528,725605,10.19%,
4T,Igneous_Flowstone_528,724780,10.07%,
4T,Ruby_Whelp_Shell_SRW6_522,724562,10.03%,
4T,Ruby_Whelp_Shell_URW6_522,724521,10.03%,
4T,Flare_of_the_Heavens_515,724331,10.00%,
4T,Irideus_Fragment_528,724197,9.98%,
4T,Erupting_Spear_Fragment_522,723836,9.92%,
4T,Pandoras_Plea_515,723810,9.92%,
4T,Nymues_Unraveling_Spindle_IMMOBILIZED_528,723454,9.87%,
4T,Belorrelos_the_Suncaller_528,723343,9.85%,
4T,Ominous_Chromatic_Essence_Azure_528,723313,9.84%,
