profile,actor,DPS,increase,
Composite,Whispering_Incarnate_Icon_2_421,83576,8.87%,
Composite,Desperate_Invokers_Codex_424,83309,8.52%,
Composite,Whispering_Incarnate_Icon_1_421,83201,8.38%,
Composite,Furious_Ragefeather_421,83191,8.37%,
Composite,Furious_Ragefeather_418,82957,8.06%,
Composite,Whispering_Incarnate_Icon_0_421,82819,7.88%,
Composite,Whispering_Incarnate_Icon_2_408,82808,7.87%,
Composite,Furious_Ragefeather_415,82761,7.81%,
Composite,Voidmenders_Shadowgem_421,82735,7.78%,
Composite,Voidmenders_Shadowgem_418,82620,7.63%,
Composite,Horn_of_Valor_421,82605,7.61%,
Composite,Darkmoon_Deck_Box_Inferno_Jetscale_418,82496,7.46%,
Composite,Whispering_Incarnate_Icon_1_408,82482,7.45%,
Composite,Furious_Ragefeather_411,82471,7.43%,
Composite,Voidmenders_Shadowgem_415,82471,7.43%,
Composite,Horn_of_Valor_418,82461,7.42%,
Composite,Desperate_Invokers_Codex_411,82421,7.37%,
Composite,Infernal_Writ_421,82378,7.31%,
Composite,Horn_of_Valor_415,82342,7.26%,
Composite,Alacritous_Alchemist_Stone_418,82324,7.24%,
Composite,Furious_Ragefeather_408,82297,7.20%,
Composite,Conjured_Chillglobe_415,82290,7.20%,
Composite,Static_Charged_Scale_395,82289,7.19%,
Composite,Voidmenders_Shadowgem_411,82283,7.19%,
Composite,Infernal_Writ_418,82234,7.12%,
Composite,Whispering_Incarnate_Icon_2_395,82168,7.04%,
Composite,Horn_of_Valor_411,82148,7.01%,
Composite,Spiteful_Storm_424,82140,7.00%,
Composite,Voidmenders_Shadowgem_408,82132,6.99%,
Composite,Whispering_Incarnate_Icon_0_408,82120,6.97%,
Composite,Infernal_Writ_415,82117,6.97%,
Composite,Eye_of_Skovald_421,82098,6.95%,
Composite,Furious_Ragefeather_405,82095,6.94%,
Composite,Voidmenders_Shadowgem_405,82032,6.86%,
Composite,Horn_of_Valor_408,82027,6.85%,
Composite,Sustaining_Alchemist_Stone_418,82024,6.85%,
Composite,Ruby_Whelp_Shell_421,82016,6.84%,
Composite,Darkmoon_Deck_Box_Inferno_Emberscale_418,81998,6.81%,
Composite,Darkmoon_Deck_Box_Dance_Jetscale_418,81979,6.79%,
Composite,Crimson_Gladiators_Insignia_of_Alacrity_408,81976,6.79%,
Composite,Eye_of_Skovald_418,81944,6.75%,
Composite,Darkmoon_Deck_Box_Inferno_418,81932,6.73%,
Composite,Darkmoon_Deck_Box_Inferno_Sagescale_418,81927,6.72%,
Composite,Furious_Ragefeather_402,81919,6.71%,
